CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	4344554	4556886	4971364	4974037	5114262	5566536	5617908	3989369	3979369	4217518	3249517	2378122	2142717	2142717	1526954	1332236	1341363	1361646	1361646	1018330	963667	959795	1071561	1071561	807544	803204	691351	694379	694379	441060	406776	403306	495025	495025	352900	440895	402140	433003	433003	277753	298434	301858	294682	294682	315854	290142	282385	284630	285054	341193	295332	241557	182826	143554	100277
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	267895	288450	291675	349696	232025	271392	482425	645475	645475	655416	610737	427748	509578	509578	239828	215305	480029	406677	406677	215528	211653	252814	470062	470062	227201	252137	216883	336808	336808	104024	57789	50406	130267	130267	38081	45884	96503	103421	103421	11299	24421	15684	32921	32921	42731	19514	7851	20196	20199	59835	40865	22041	37822	3681	8974
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	727671	840336	1251822	1193801	1111500	1096424	733640	720906	710906	436540	406540	30000	50000	50000	150000	150000	0	0	0	0	31165	0	0	0	10000	10000	30000	30000	30000	0	0	0	0	0	0	0	0	0	0	1648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8171
Các khoản phải thu ngắn hạn###Short term Account Receivables	2316600	2157057	2079279	2076687	2631685	2903328	2723205	1612785	1612785	1374378	1216552	1101806	961381	961381	541089	478263	417176	455568	455568	491816	450226	494856	363510	363510	372124	316598	209995	179293	154089	145198	129994	147411	146942	146942	137282	200967	111203	93813	93813	80536	72323	132398	110426	110426	129594	149489	185288	161950	161993	192596	147367	134730	84576	90093	42686
Hàng tồn kho###Inventory	897445	1117690	1221503	1226217	992708	1126772	1524050	862749	862749	1632012	900976	728012	536682	536682	528820	442176	403169	450591	450591	270402	237151	192656	214187	214187	178726	203972	154213	137522	137522	141327	179748	178936	200026	200026	143977	177069	154881	195578	195578	154821	169406	132932	125599	125599	122971	101703	64193	80619	80939	72135	91484	70042	48690	39978	35276
Tài sản ngắn hạn khác###Other Current Assets	134944	153352	127085	127636	146343	168619	154588	147454	147454	119171	114713	90556	85076	85076	67218	46491	40988	48811	48811	40583	33472	19469	23803	23803	19494	20497	80260	10757	35961	50511	39245	26554	17790	17790	33559	16974	39553	40192	40192	29450	32284	20843	25736	25736	20558	19435	25053	21865	21924	16626	15617	14743	11738	9802	5171
Tài sản dài hạn###Non-current Assets	3442031	3211346	3016091	3016093	2823801	2784772	2364165	3539797	3549797	2467927	3240182	2408692	2433441	2433441	2250654	2040472	1870294	1715970	1715970	1437365	1178459	945039	883204	883204	746289	733606	722531	727272	727272	701541	696793	664481	655544	655544	596465	511470	473817	467491	467491	445691	455432	514342	521936	521936	483128	447415	372785	360349	360239	259896	245629	232333	253025	127778	53233
Các khoản phải thu dài hạn###Long term Account Receivable	335245	324517	96367	96367	20667	20937	20586	21384	21384	87	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1986864	2041134	2081104	2081107	2126713	2144952	2149528	2198807	2198807	2242516	2257111	2296622	2299487	2299487	1557080	1572922	1406817	1434278	1434278	709612	690856	591620	636532	636532	623100	636892	644225	651396	651396	650384	647681	557173	605160	605160	551032	439511	435828	405350	430583	411527	422245	430934	438268	438773	405337	364849	356436	311253	344041	254425	242122	228518	210279	125999	53088
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1100504	-1043803	-983460	-983460	-920139	-857506	-801276	-744551	-744551	-682888	-621973	-562090	-504462	-504462	-456784	-414127	-401336	-364892	-364892	-348258	-329403	-308769	-305924	-305924	-284864	-271909	-251673	-232761	-232761	-215044	-197086	-187569	-175116	-175116	-162337	-150087	-138838	-126996	-126996	-115629	-103984	-92509	-81017	-81017	-72320	-64020	-55656	-47316	-47316	-40690	-33814	-27665	-21955	-9523	0
