CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q2 2010	 2009	Q4 2009	Q3 2009	 2008
Tài sản ngắn hạn###Current Assets	478306	437455	382209	385955	289223	308769	286145	292417	294051	295668	308975	290029	265955	265952	264076	257177	239519	249584	249656	263083	255764	253006	262612	262983	220543	206359	246572	249492	251001	204787	233516	209485	193045	193045	180928	191493	233953	212692	212953	219619	209561	220599	178671	178972	143195	173982	160133	155353	155353	0	134948	134948	0	95405
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	27011	72428	132036	132036	86190	94983	50016	55112	55112	57686	100335	43076	30364	30364	28862	29274	29183	18988	18988	10734	29734	41517	55549	55549	15394	40900	27561	39482	39482	30880	61601	25690	50969	50969	44636	69331	27332	33682	33682	42863	33644	17388	23047	23047	33832	11916	21593	26129	26129	0	26119	26119	0	14548
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	299503	265218	170081	170373	113304	105397	110872	83273	83273	104520	59390	109355	106112	106112	119129	137314	136919	168265	168266	167681	146992	133066	128087	128097	121820	109162	171802	165281	166003	119395	125465	152787	113738	113738	106415	81739	139657	86672	86958	128903	148298	181354	116772	117073	86323	137862	113073	90597	90597	0	86278	86278	0	68954
Hàng tồn kho###Inventory	145525	97374	78330	81030	87465	104889	121789	149372	151007	129773	144877	132784	125983	125980	112143	86596	69490	58729	58729	80548	76113	75889	76165	76816	79484	52943	43695	40410	40599	48913	41316	28776	26370	26370	27151	37934	64493	87550	87550	46743	26277	20624	37386	37386	21981	22950	23961	37835	37835	0	21887	21887	0	11776
Tài sản ngắn hạn khác###Other Current Assets	6268	2435	1761	2516	2264	3500	3468	4659	4659	3689	4372	4813	3496	3496	3943	3993	3928	3601	3673	4120	2925	2534	2812	2521	3844	3353	3513	4319	4917	5599	5134	2232	1969	1969	2726	2490	2472	4789	4763	1111	1342	1234	1466	1466	1059	1254	1505	793	793	0	665	665	0	128
Tài sản dài hạn###Non-current Assets	139608	118849	114811	113594	114804	71123	72213	74632	74479	73559	70942	73178	66924	66729	67476	69632	69095	72456	72384	74269	74710	78585	79956	80236	80323	81720	83752	86535	85521	89635	81034	51877	54425	54425	56897	59194	62208	64230	64230	67411	70370	72471	75353	75353	77824	78488	81778	84771	84771	0	86646	86646	0	76731
Các khoản phải thu dài hạn###Long term Account Receivable	3011	3011	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	2044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	75716	75214	72938	72938	74144	32465	33288	35357	35357	35775	32937	35798	37733	37733	41248	44008	43829	47030	47030	47869	49730	49164	51668	51668	49918	51991	53166	55897	55897	59557	62646	39094	41635	41635	44130	36019	39318	41233	41262	44320	47156	49134	51886	51893	54199	54656	57738	60204	60891	0	70239	70239	0	76731
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-157572	-155768	-154080	-154080	-159435	-157665	-161298	-159339	-159339	-158248	-156107	-153650	-151185	-151185	-150546	-147423	-144291	-141223	-141223	-138110	-135077	-131964	-129436	-129436	-126566	-124138	-121188	-118236	-118236	-114808	-111182	-64351	-66247	-66247	-66010	-63611	-61197	-57965	-57965	-54609	-51294	-47990	-44619	-44619	-41336	-38094	-34877	-31667	-31667	0	-18953	-18953	0	-4952
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-6876	-6516	-5734	-15764	-14974	-14438	-14316	-14205	-14205	-13854	-13388	-12982	-12632	-12632	-12217	-11804	-11516	-11084	-11084	-10535	-10034	-9512	-9085	-9085	-7567	-7190	-6792	-6366	-6366	-6005	-5596	-2110	-2006	-2006	-1902	-397	-369	-315	-315	-263	-211	-178	-144	-144	-119	-92	-68	-58	-58	0	-16	-16	0	-4
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	8584	8584	8584	8584	8584	8584	8584	8584	8584	8584	8584	8584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	26530	26530	26530	26532	26530	26350	27111	26350	26198	25181	25181	24248	24248	24053	21674	21674	21674	21674	21674	21475	21475	24777	24777	24903	26548	26548	26548	26548	26548	26548	14098	12450	12450	12450	12450	12450	12450	12450	12450	12450	12450	12450	12450	12450	12450	12450	12450	12450	12450	0	4950	4950	0	0
Tài sản dài hạn khác###Other long term assets	25279	5509	4424	3204	3502	1680	1177	2297	2297	1969	1984	1196	2645	2645	2499	1906	1527	1686	1614	1377	1296	1132	1301	1455	1447	1093	1995	4091	3076	3482	3414	295	340	340	316	10725	10440	10518	10518	10641	10764	10887	11010	11010	11175	11382	11590	11430	11430	0	11458	11458	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	617914	556303	497020	499549	404027	379892	358358	367049	368531	369227	379916	363207	332879	332681	331552	326809	308615	322039	322040	337352	330475	331591	342568	343219	300866	288078	330323	336028	336522	294422	314550	261362	247470	247470	237824	250688	296161	276922	277183	287029	279931	293070	254024	254325	221019	252470	241911	240124	240124	0	221595	221595	0	172136
Nợ phải trả ###Liabilities	344369	299784	248437	247507	169615	154429	117664	135070	135434	141931	162754	132235	109308	108111	115297	117331	83272	100715	101292	125008	125532	88893	111696	109782	82615	75026	97628	111921	110460	81467	107595	55791	49695	48809	46799	62518	76322	69824	67281	83912	89138	77967	61881	61914	38965	43252	50800	67902	67902	0	103858	103858	0	97331
Nợ ngắn hạn###Short term Liabilities	298004	253136	202757	235099	158156	142516	108114	125521	125884	136737	157597	128129	105240	104018	113440	115511	81490	98971	99548	121327	121888	85286	108126	108187	81057	73506	94332	110673	110460	80218	106346	55791	49695	48809	46799	62518	76322	69824	67281	83743	88968	77788	61698	61730	38777	43061	50601	67696	67696	0	87057	87057	0	97304
