CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	713737	813477	591014	591014	621247	546468	573929	404308	404308	452682	574661	613130	550614	550658	499046	502672	564501	564718	564808	575410	599466	879314	611138	611254	638687	643068	573532	434129	434139	646056	812984	959876	716101	717137	522475	824219	953806	869562	868704	687614	656282	591644	673431	1017216	926048
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4714	6328	37378	37378	45848	31766	36855	41512	41512	40998	178680	251223	137740	137740	22214	40696	98206	157403	157403	182117	71610	272885	234682	234682	16637	156576	11911	40188	40188	20140	140028	369924	427154	427154	225423	416698	375659	575800	575800	282036	265759	84816	346927	645821	434373
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	230046	141456	194706	194706	169186	105886	49700	28900	28900	0	0	0	27800	27800	17600	2317	0	0	0	0	3100	3900	25440	25440	94840	70200	0	20000	20000	82310	207314	123204	30000	30000	40060	40060	40371	40371	40371	0	0	0	0	41770	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	122946	122786	100457	100457	74193	73036	105837	57882	57882	95609	91598	60461	57314	57314	85812	62736	82955	52816	52816	61173	27259	101243	95595	95595	76646	48509	104491	36190	36190	39454	77634	61278	64498	64498	26261	99729	43603	35061	34203	142210	89799	90812	109602	94744	207929
Hàng tồn kho###Inventory	349729	537070	252548	252548	328287	330737	380078	272099	272099	313062	300283	298628	323725	323725	363703	386874	375167	347607	347607	327906	492294	498428	247623	247623	443929	362040	453925	332446	332446	500663	383463	404288	194066	195102	229272	266123	492506	217240	217240	262125	299962	414135	205300	221498	283229
Tài sản ngắn hạn khác###Other Current Assets	6302	5838	5926	5926	3733	5043	1459	3913	3913	3013	4100	2818	4036	4080	9716	10048	8173	6892	6982	4214	5204	2858	7798	7914	6636	5743	3205	5305	5315	3489	4545	1182	383	383	1459	1609	1667	1090	1090	1243	763	1880	11602	13384	517
Tài sản dài hạn###Non-current Assets	170479	176508	181048	181048	183336	183703	153929	147546	147655	151503	156147	161379	168435	168435	168729	172214	172331	176630	176629	173988	178446	182148	180498	180510	314919	307533	304928	299694	299694	300462	303044	301453	302492	302679	315374	315518	307868	303012	303012	277957	266105	256583	246323	219176	61274
Các khoản phải thu dài hạn###Long term Account Receivable	827	800	800	800	598	598	526	526	526	586	586	486	486	486	486	441	441	381	381	381	371	371	371	371	371	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	114825	117719	121993	121993	124444	124415	128182	122542	122542	127393	132402	137139	144131	144131	146123	147809	145216	147479	147479	151543	155693	152744	150891	150891	121008	118637	121029	128585	125470	129113	126525	132359	133328	137149	150873	150666	144116	138996	139271	113430	101549	96391	85839	57870	51884
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-205102	-200390	-195663	-195663	-192770	-188076	-183227	-170368	-170368	-166623	-161998	-157231	-150437	-150437	-145235	-140143	-140987	-135931	-135931	-130805	-125698	-120637	-116038	-116038	-111863	-107546	-106172	-103236	-103236	-99377	-95123	-90834	-86431	-86431	-88543	-83202	-84173	-79729	-79729	-75712	-72637	-69575	-66715	-58716	-51679
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
