CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008
Tài sản ngắn hạn###Current Assets	1042406	983309	1029682	1009748	878590	745244	672674	580150	580150	490184	431243	416904	445483	459284	427036	436129	394266	340557	350266	354174	310245	199967	227565	295531	196312	192570	194573	248121	248294	233178	226357	192827	193660	193065	214933	293777	199166	242885	242881	259896	256382	235400	236831	236831	253853	336563	293128	293128	375380	319688	0	331485	119884	106486	103664	102385	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	9489	6649	7924	7924	10600	9062	17227	12741	12741	2020	3560	8498	22073	22073	31122	5312	9387	3318	3317	1366	2511	4833	3573	3573	950	1231	12712	4751	4751	224	314	1406	1265	1265	1597	4209	3926	7338	7558	3077	5041	7395	6417	6417	18225	35663	47261	47261	37159	43300	0	21467	30919	15601	17407	17130	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48160	48160	48160	48160	48160	0	0	0	0	68683	0	0	0	0	0	0	0	0	0	0	0	44049	220	220	0	0	0	3913	4166	4166	0	0	0	0	0	0	0	0	17058	15908	16108	18638	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	575078	642636	714400	714269	673195	636529	582831	516760	516760	429850	328644	289322	322778	334890	251509	231965	166786	176059	185582	262287	231704	130011	138916	138322	117201	116539	132505	166566	167150	154747	159912	127869	133435	133346	144865	156430	152000	194261	194262	190115	180569	168457	184307	184307	183174	222070	196823	196823	222802	203976	235109	247889	25732	29254	26072	23361	145246
Hàng tồn kho###Inventory	433596	315746	291735	267619	192762	98767	70978	50440	50440	58082	98031	115807	97790	97517	95800	149938	167724	111322	111214	87130	74770	64376	82055	81345	74286	71515	47594	72146	71488	73343	61965	56816	53549	53043	62363	84385	41762	39598	39598	64302	68322	53334	40668	40668	51833	75659	46851	46851	105328	66963	0	45915	44947	44320	40577	37653	0
Tài sản ngắn hạn khác###Other Current Assets	24242	18277	15622	19935	2033	887	1638	209	209	232	1009	3277	2842	4803	445	753	2208	1697	1993	3392	1260	747	3020	3608	3875	3284	1763	4659	4903	4864	4167	6737	5411	5411	6109	4703	1257	1468	1464	2403	2450	2301	1273	1273	620	3171	2193	2193	10091	5449	0	16214	1227	1404	3501	5603	0
Tài sản dài hạn###Non-current Assets	77631	78950	80679	88807	91275	93695	93859	96402	96402	80585	81398	83528	85368	85307	107508	108988	111019	106780	106843	156725	154362	154589	153915	85875	153153	151785	147406	116357	116349	113831	115026	112434	84819	84819	93469	95120	71037	73975	75050	67994	66310	64728	66051	66051	76035	77038	79278	75315	68417	64100	0	69688	144944	145804	148435	147676	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	9841	10293	10927	10927	11263	23116	23360	24463	24463	7827	8247	8603	9068	8962	9775	8913	9254	9725	9725	5719	6253	5951	3087	3087	3098	3364	3636	3909	3909	4467	4916	5239	5561	5561	5883	24806	14480	15230	20097	23476	20214	16597	17048	17065	17514	16930	17583	17601	18172	11371	0	12024	99627	100973	102903	102886	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-16905	-16403	-15900	-15900	-15397	-16068	-15055	-14046	-14046	-13481	-12906	-12240	-11593	-11589	-11182	-10594	-10351	-9809	-9809	-9258	-9287	-8889	-8871	-8871	-8985	-8719	-8447	-8175	-8175	-8503	-8411	-8089	-7766	-7766	-9312	-10520	-11455	-9674	-9674	-10209	-9789	-9378	-8980	-8969	-8575	-9045	-8073	-8073	-7570	-7207	0	-6916	0	0	0	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-546	-456	-366	-366	-275	-185	-95	-5	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
