CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	200334	202875	152742	106761	420820	288499	283378	344658	342105	428752	353510	374458	382347	379342	319178	314222	4040	10501	10752	8631	7955	7522	7852	7842	7853	8266	8304	8888	8888	11165	10662	11063	9455	9455	7517	6140	7927	6507	6815	7135	9805	10385	10413	11900	13505	15394	15524	14528	14865	9336	9713	9953	9634	10040	13244	12782	12151	11404	3894	3894	3797
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4894	12515	10661	10663	266191	2475	41487	90672	90672	60484	717	741	505	505	1023	3656	2413	2242	2242	1240	1614	1302	1053	1053	1141	1618	765	1504	1504	1884	2757	3258	2182	2182	1994	1776	1638	1784	1784	2551	2603	1768	2514	2084	1242	2669	3148	3057	3057	978	1632	1341	1856	1568	3593	4723	4901	5899	1069	1069	439
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	192	192	192	192	76	76	76	0	0	0	0	0	0	19400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	156513	136404	113746	67569	106583	192496	151294	237362	241117	192351	298217	361250	366302	343775	313397	310038	1571	7100	7352	5557	4517	4221	4104	4045	3994	4037	4251	4631	4530	6676	5400	5785	4982	4982	3547	1879	2966	1408	1708	1691	2845	3022	2967	2966	5309	5177	5905	5957	6268	2004	2371	3217	2052	2719	3749	2830	2467	2701	914	914	1726
Hàng tồn kho###Inventory	24237	39799	16256	16257	38921	85458	82734	8593	2159	170307	52564	12088	15332	15332	4115	0	0	1096	1096	1698	1670	1741	2332	2363	2211	2044	2579	2096	2096	1978	1868	1565	2000	2000	1561	1990	2843	2758	2758	2310	3584	3582	3370	5277	5331	4593	4102	4548	4548	5656	5197	4675	5400	4867	5271	4836	4531	2741	1868	1868	1509
Tài sản ngắn hạn khác###Other Current Assets	14498	13965	11887	12080	9050	7994	7788	8031	8157	5610	2013	378	208	331	642	528	56	63	63	135	154	258	362	380	506	568	709	657	759	627	636	454	291	291	415	495	480	556	564	582	773	1423	1562	1574	1623	2954	2368	967	993	698	513	720	327	885	631	393	252	63	43	43	123
Tài sản dài hạn###Non-current Assets	665482	717056	719238	727333	298416	389917	369178	307028	313113	48174	48833	35442	32939	32813	18498	2960	9623	9920	9920	12911	13365	13658	14060	14061	14470	14943	15350	16423	16349	15766	19502	20094	17588	17588	18572	18119	17279	17486	18071	16970	17043	17382	17689	18063	17480	17861	17226	15477	15635	14143	14265	13704	13929	14116	10126	10568	10999	10638	11262	11262	10913
Các khoản phải thu dài hạn###Long term Account Receivable	298008	365000	365000	365000	0	96376	81357	23357	23357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	65072	67862	70651	70651	76451	79361	74357	76626	76513	13519	9046	9452	2732	25384	18498	2960	9349	9602	9602	9965	10389	10643	11028	11028	11413	10391	10741	11091	11091	7670	11167	16569	16831	16831	17808	17345	16028	12659	16834	15701	15742	16050	13923	15664	16013	17016	16341	12878	14701	13221	13297	13628	13692	13921	9930	10373	10804	10497	10991	10991	10463
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-11485	-9883	-8282	-8282	-6702	-5093	-3478	-2203	-2195	-889	-458	-167	0	0	0	0	-5871	-5731	-5731	-5482	-5254	-4983	-4712	-4712	-4441	-4169	-3933	-3697	-3697	-3694	-3550	-3402	-3253	-3253	-3445	-3427	-2858	-2782	-2782	-2715	-2621	-2879	-2824	-2824	-2712	-3092	-2968	-2816	-2658	-2649	-2535	0	-2211	0	0	-2016	-1585	-1080	-554	-554	0
