CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008
Tài sản ngắn hạn###Current Assets	61150	66435	71721	72202	102944	107906	64943	57382	59342	60642	64543	67346	67444	67536	71674	78198	70872	57804	57803	63653	68754	54861	56337	56148	66481	82908	68706	79244	79211	100603	72786	73876	71592	71597	74043	63057	71864	62982	62125	71623	90582	106598	81266	81579	62966	71407	66942	66914	66914	64712	56665	63440	52064	52064	52608	39481	43774	41440
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2455	1916	3982	3982	6452	5141	1803	1808	1808	4384	2905	1240	1376	1376	723	3709	1489	1552	1551	1885	2774	3909	5063	5063	1655	6597	2137	8513	8513	1305	4741	1964	9768	9768	880	5542	4219	6239	6239	1053	10349	5891	2971	2971	530	3648	8244	13687	1187	1366	2802	1006	1520	1520	1299	1027	457	903
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	3000	5000	5000	5000	5000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12500	0	2500	3200	1000	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	33311	33646	32220	32536	54805	52997	23345	15926	20854	14980	15434	16087	12560	12698	14874	16755	21008	14926	14926	18223	20515	17773	13629	13545	17778	17879	21198	16112	16059	29583	21588	26617	22254	22254	23302	22940	25701	19529	18679	20905	17751	22311	18426	19109	19261	17022	17920	15921	15921	12901	15750	16055	13707	13707	15148	11326	13316	11858
Hàng tồn kho###Inventory	20892	24554	28925	28905	34527	43040	38027	37527	34574	40615	45787	49679	52641	52671	54944	56309	47627	41201	41200	43111	44379	32439	37573	37536	47047	57560	45222	54052	54022	67251	45768	44370	39571	39576	48306	33604	40136	37155	37165	49074	61366	77562	58892	58521	42737	49887	39687	37271	37271	48862	35116	42200	35217	35217	33383	26283	29126	28500
Tài sản ngắn hạn khác###Other Current Assets	1492	1319	1594	1779	2160	1727	1768	2122	2106	662	417	340	867	791	1133	1425	749	125	125	434	1086	39	72	5	0	872	149	567	617	2464	690	924	0	0	1556	972	1808	59	43	591	1117	834	977	977	437	850	1090	35	35	1583	496	979	1620	1620	2778	845	876	179
Tài sản dài hạn###Non-current Assets	31176	30654	31392	30955	28709	27343	20896	18902	13592	13807	13518	13506	14119	14119	10036	9908	6791	7024	7008	5331	4962	5265	4663	4652	5052	5390	5679	6391	6391	6389	6860	7381	7187	7187	8664	8320	8760	9334	9288	9997	10183	10868	11579	11947	11997	12745	13529	14389	14389	14066	14705	14311	14839	14839	14812	15542	16268	17001
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	13364	12804	13536	13536	21565	21580	12124	11110	11110	11700	11736	11841	12497	12497	5054	4034	4268	4485	4469	3900	3515	3752	3126	3114	3524	3826	5676	6137	6137	6133	6566	7130	6897	6897	7487	7043	7658	8203	8203	8763	8867	9434	9960	9983	10429	11017	11660	12314	12314	12540	13200	12784	13434	13434	13271	13999	14731	15455
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-38628	-37889	-37124	-37124	-39805	-38940	-36587	-36693	-36693	-36363	-35767	-35263	-34575	-34575	-34194	-33818	-34074	-33713	-33729	-33350	-32969	-32585	-32213	-32224	-31814	-31381	-30987	-30536	-30536	-30724	-30300	-29746	-29204	-28567	-29041	-28480	-28637	-28101	-28101	-27551	-27001	-26458	-25882	-25882	-25310	-24727	-24164	-23569	-23569	-22966	-22371	-21779	-21184	-21184	-20620	-19977	-19335	-18693
