CAN DOI KE TOAN	 2019	 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	74394	76550	49727	45643	39339	63146	45274	66585	96061	68815	72761	52720	49840	47910	52661	53057	67346	66841	65239	56399	56399	70503	46475	86164	46541	46541	58400	113209	43117	55022	54997	37729	47711	47062	47164	47164	25723	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	211	810	2678	3256	2108	3234	24113	3673	10488	3086	3086	3985	3931	3800	5581	5457	1430	1208	970	1425	1425	1617	2556	2546	2556	2556	7391	1990	1495	1079	1079	1138	8212	771	1951	1951	222	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70000	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	58483	8713	37031	35074	21169	44285	6009	42829	56927	45986	49865	31341	27741	25430	20957	21430	37696	34808	34885	27479	27479	54894	30222	66580	30809	30809	26897	31548	31861	23423	23308	26783	30192	37700	36314	36314	15614	1618
Hàng tồn kho###Inventory	15126	66727	9585	7115	15729	15554	15145	19705	27653	19537	19537	17353	18144	18605	25247	25251	27950	24324	28008	26244	26244	13992	13697	16681	13079	13079	22891	9671	9762	28709	28718	9809	9308	8591	8900	8900	9887	20
Tài sản ngắn hạn khác###Other Current Assets	574	300	433	197	333	73	8	378	993	206	273	41	23	74	876	920	269	6500	1376	1251	1251	0	0	357	97	97	1220	0	0	1812	1892	0	0	0	0	0	0	0
Tài sản dài hạn###Non-current Assets	41199	41291	71929	71980	71922	72083	72083	73045	73329	74195	74110	73805	73980	73935	74075	74075	74210	74290	74432	74579	74579	73827	73522	73640	73783	73783	73940	4207	4519	4852	4811	5313	5771	6143	6294	6294	6358	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	0	0	0	0	70000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1149	1291	1925	1976	1922	2083	2083	3009	3282	4127	4071	3754	3909	3872	4004	4004	4137	4270	4404	4537	4537	3784	3439	3578	3715	3722	3888	4062	4215	4398	4475	4687	4899	5090	5250	5250	5011	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1798	-5906	-4703	-4656	-5814	-5690	-5690	-6419	-6170	-6867	-6903	-7031	-6900	-6769	-6636	-6636	-6504	-6370	-6237	-6103	-6103	-5962	-6174	-6035	-5898	-6002	-6025	-5853	-5664	-5481	-5487	-5331	-5122	-4843	-4684	-4684	-3407	0
