CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	 2015
Tài sản ngắn hạn###Current Assets	113801	113394	113866	76866	78633	70847	64966	76970	78167	82903	103433	95829	85767	88354	77088	68186	63829	69672	69812	62186
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2732	2913	3640	3640	3404	3078	1177	957	957	1787	1374	1502	1272	1272	1340	1201	1219	2854	2854	1657
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	106044	105458	105269	68269	70259	62913	59004	71234	72432	73515	94733	86995	77861	80261	67751	58266	56150	60780	60920	23552
Hàng tồn kho###Inventory	4868	4868	4809	4809	4826	4817	4767	4767	4767	7592	7326	7332	6635	6635	7998	8719	6459	6038	6038	36977
Tài sản ngắn hạn khác###Other Current Assets	157	155	149	149	143	39	18	12	12	8	0	0	0	187	0	0	0	0	0	0
Tài sản dài hạn###Non-current Assets	113878	113947	114067	151887	151293	158912	162401	162011	160810	158182	158571	158585	158419	155832	158194	158199	158211	158238	158098	96890
Các khoản phải thu dài hạn###Long term Account Receivable	95718	95667	95667	132667	132067	149952	153352	152752	151552	151552	151552	150952	150352	147952	149752	149152	148552	147952	147812	83552
Tài sản cố định ###Fixed assets	13233	13338	13442	14262	14296	4049	4304	4559	4559	4815	5287	5828	6390	6390	6951	7557	8169	8796	8796	11795
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-27498	-27393	-27289	-28024	-27991	-27799	-27544	-27289	-27289	-27033	-30752	-30211	-29649	-29649	-29088	-28482	-27871	-27244	-27244	-25158
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	57	72	92	92	130	186	210	266	266	323	241	314	187	0	0	0	0	0	0	52
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	227679	227341	227934	228753	229926	229759	227367	238980	238977	241085	262003	254414	244186	244186	235282	226385	222040	227910	227910	159077
Nợ phải trả ###Liabilities	81635	80491	80295	80295	80781	79770	76525	87244	87239	88466	108429	100259	90765	90765	83075	74985	72664	77861	77861	78698
Nợ ngắn hạn###Short term Liabilities	57903	57095	57235	38710	39820	39433	36814	48143	87239	88466	108429	100259	90765	90765	83075	74985	72664	77861	77861	78698
Nợ dài hạn###Long term Liabilities	23733	23397	23061	41585	40961	40336	39712	39101	0	0	0	0	0	0	0	0	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	146043	146850	147638	148458	149145	149989	150842	151736	151738	152619	153574	154155	153421	153421	152207	151400	149376	150049	150049	80379
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	146043	146850	147638	148458	149145	149989	150842	151736	151738	152619	153574	154155	153421	153421	152207	151400	149376	150049	150049	80379
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q3 2016	 2015
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	31	15	89	13	5	68	3	22160	321	76	8464	13299	35099	14812	10247	8444	1597	70283	22985	56185
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	479	190	0	289	0	305	290	15	0	0	454	0	0
Doanh thu thuần###Net Sales	31	15	89	13	5	68	3	21681	130	76	8175	13299	34794	14522	10232	8444	1597	69829	22985	56185
Giá vốn hàng bán###Cost of goods sold	26	26	194	47	47	47	54	19368	110	26	7691	11482	26377	12071	8281	4948	1077	53904	18252	43548
Lợi nhuận gộp###Gross profit	5	-11	-105	-34	-42	22	-51	2313	21	50	485	1817	8417	2451	1951	3496	520	15926	4733	12636
Doanh thu hoạt động tài chính###Financial activities Revenues	600	600	2400	600	600	600	600	2401	600	600	600	601	2402	600	600	601	601	2917	602	2417
Chi phí tài chính###Financial Expenses	1132	1132	3874	971	971	973	959	4108	989	1029	1043	1047	4717	1105	1120	1122	1370	6766	1680	5881
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	276	243	1524	223	370	437	423	2113	499	538	695	441	1848	416	421	587	424	2021	568	2476
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-803	-785	-3104	-628	-783	-789	-833	-1507	-867	-917	-653	930	4254	1530	1011	2387	-673	10056	3087	6697
Thu nhập khác###Other incomes	0	0	0	0	0	0	0	59	0	57	2	0	11	0	11	0	0	204	0	0
Chi phí khác###Other Expenses	3	3	989	59	61	59	61	236	90	95	50	0	0	0	0	0	0	544	254	179
Lợi nhuận khác###Other profits	-3	-3	-989	-59	-61	-59	-61	-178	-90	-38	-48	0	11	0	11	0	0	-340	-254	-179
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-806	-789	-4093	-687	-844	-848	-895	-1685	-957	-955	-701	930	4266	1530	1022	2387	-673	9715	2834	6517
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	-120	196	894	316	215	363	0	2045	658	1256
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	-120	196	894	316	215	363	0	2045	658	1256
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-806	-789	-4093	-687	-844	-848	-895	-1685	-957	-955	-581	734	3372	1214	808	2024	-673	7671	2175	5261
---Cac Chi So Tai Chinh---																				
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.70	0.50	0.80	0.80	0.80	0.90	0.70	0.70	0.70	1.00	1.10	1.40	1.40	1.40	3.00	0.00	0.00	0.00	0.00	0.00
