CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	Q4 2014	 2013
Tài sản ngắn hạn###Current Assets	17279	31481	39706	15768	27212	26300	48234	33692	40750	42845	48214	51222	48638	116713	74295	41861	36075	32961	39543	48687	41229	47649	39377	39377	28947	42447	16484
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1126	1599	1133	1133	1039	1104	3330	1478	1478	1040	975	1303	2056	2056	2936	2717	6438	2143	2143	3771	1575	5457	1687	1687	1186	1186	42
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	11773	27193	35931	10017	22995	20160	39473	24486	31545	37552	44233	46870	41761	109836	68178	35825	27568	29069	28761	31745	37810	28352	33968	33968	21506	21506	3253
Hàng tồn kho###Inventory	75	33	42	42	683	2706	4003	6484	6484	3413	3005	3049	4821	4821	3180	3319	2069	1749	1749	1280	1844	2240	3722	3722	5979	5979	4871
Tài sản ngắn hạn khác###Other Current Assets	4304	2655	2601	4577	2496	2330	1427	1244	1244	840	0	0	0	0	0	0	0	0	6890	11890	0	11600	0	0	276	13776	8318
Tài sản dài hạn###Non-current Assets	35889	19799	11811	38171	24595	25012	14032	28693	23293	23968	24639	25294	25908	26548	26238	23923	32550	32657	26057	16517	21498	15287	22383	22383	26831	13331	4086
Các khoản phải thu dài hạn###Long term Account Receivable	30147	6047	6047	32407	12500	12500	0	12647	6747	6747	6747	6747	6747	7240	7240	7247	7240	7247	0	0	7247	0	7247	7247	14147	0	0
Tài sản cố định ###Fixed assets	27	52	64	64	212	629	1238	3136	3136	3693	4243	4793	5293	5293	3885	4356	4827	5297	5297	5769	6245	6720	7195	7195	9157	9157	1813
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-74	-11982	-11971	-11971	-11822	-11405	-10796	-10803	-10803	-10246	-9696	-9146	-8596	-8596	-8099	-7629	-7158	-6688	-6688	-6215	-5740	-5265	-4790	-4790	-2828	-2828	-1989
