CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	 2014	 2013	 2012	 2011	Q2 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	 2004
Tài sản ngắn hạn###Current Assets	67138	64960	66705	54975	49870	36826	36150	26243	20350	59457	21876	21876	20768	26724	26144	24629	39031	31153	31517	32972	28567	30067	28031	26599	24654	27900	25706
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	8145	2063	3615	925	852	2163	1873	2046	2907	1327	538	538	446	1026	1599	1115	5306	2623	227	437	2364	2363	959	1346	1061	1497	2009
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	5150	21637	31803	26679	23692	13983	9696	5355	577	0	1078	1078	2097	2097	4121	4031	1564	3026	2801	2801	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	28609	17946	15820	14600	15230	8822	13244	7009	5064	39243	2424	2424	2119	8692	9035	8395	21388	14674	12859	9898	9474	10140	9949	9788	7113	7075	8051
Hàng tồn kho###Inventory	25023	23152	15278	11848	9944	10341	9315	9204	9104	17239	14812	14812	13132	11872	8962	9074	9311	8894	12711	16858	15231	16132	13966	12496	12847	14618	14863
Tài sản ngắn hạn khác###Other Current Assets	210	162	188	923	153	1517	2021	2630	2698	1648	3023	3023	2974	3037	2426	2014	1462	1935	2920	2977	1498	1432	3157	2969	3632	4710	784
Tài sản dài hạn###Non-current Assets	32288	31164	33539	42143	34527	27471	32086	47573	55658	91742	81161	81161	82719	82604	82684	82543	83518	83932	84870	85648	86726	86464	87054	88610	90112	91036	94398
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	14	50	0	0	0
Tài sản cố định ###Fixed assets	26235	25991	27705	16267	18722	21023	25693	41879	49985	90798	74310	74310	75809	75665	75685	75707	76929	77417	78419	78994	80085	79897	80882	82330	83846	84964	88440
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-48239	-61681	-58557	-55904	-52652	-61102	-55902	-71879	-64107	0	-43981	-43981	0	0	-40820	-39297	-34735	0	-35586	-34116	0	0	0	-29475	-27960	-27129	-21531
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-16	-8	0	-590	-590	-590	-590	-571	-547	0	0	0	0	0	0	0	-469	0	-469	-469	0	0	0	0	0	0	-469
