CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	911835	851396	632428	632423	1252296	1214502	1170338	1042274	1042274	1277925	1157323	1225148	1175390	1176177	1359946	1364295	1393724	976417	976519	1168638	1064693	1145029	1107847	1083924	1207615	1173326	1115521	1265908	1281127	1185123	1282767	1312211	1156834	1179468	1208896	1308996	1367454	1211189	1211189	1277483	1345637	1274366	1182628	1191143	1244901	1213061	1160528	964037	964160	1103404	2862070	2806861	2784400	2785395	2777652	2804976	2737009	2737009	2747071	2561840	2304028	2346133	1251134	1251134	853324	726394	651238	680966	680966	468436
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	36777	36883	122117	122117	39872	47293	81677	115897	115897	116997	35920	63682	112446	112446	21957	46360	36609	162263	164763	47197	39539	55524	158034	158034	64073	105932	75672	352260	352260	129570	174371	76252	131894	131894	49634	83502	218940	91443	91443	95781	88697	47127	67027	156027	29605	68009	226040	61187	51197	33844	50621	39723	93577	93577	58987	52066	84825	84825	84828	22137	26383	137129	85554	85554	29584	39686	82194	119421	119421	116140
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	6832	13432	28432	143032	88032	88032	84032	84532	64000	130000	130000	76000	129971	139000	89000	0	1238	1140	2084	33458	33458	865	3795	20000	40000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	415151	387413	130308	130302	390728	352667	326705	117016	117016	394048	364998	335511	148610	149267	424106	500458	464939	191256	188756	479115	451218	557465	345238	343752	499042	440535	472840	449984	434826	517123	540165	534826	430774	443896	588021	644860	652247	527865	527865	595183	555828	432774	402255	434425	582360	518750	363295	280608	285706	480904	332845	288076	231920	273925	268170	331400	340214	340214	338332	446251	455458	446207	369579	369579	354688	337790	293005	286556	286556	82975
Hàng tồn kho###Inventory	436649	414608	353129	353129	806049	790006	725984	775940	775940	747918	732569	788182	887773	887773	894230	788475	865641	605912	606230	629824	557175	509486	584128	561690	614391	614513	549699	445263	461478	496185	510107	530470	475336	475762	452276	464692	424897	454130	454130	490488	551983	637549	611450	587704	604706	602698	556234	558856	558583	537214	2447642	2424817	2400481	2400333	2425871	2389937	2285712	2285712	2298510	2078581	1808598	1753891	786419	786419	467785	344558	275566	272524	272524	265961
Tài sản ngắn hạn khác###Other Current Assets	23258	12492	21875	21875	10647	19537	30971	28420	28420	13962	23837	37773	26561	26692	19653	29003	26534	16987	16771	12503	16761	22553	20448	20448	30109	12345	12309	18401	25730	28812	29691	27631	30798	39885	34933	31411	7370	7751	7751	20030	19157	17917	12896	12987	26991	22464	12875	29928	35216	50577	27168	34244	18423	17561	24625	31572	26258	26258	25401	14871	13589	8907	9583	9583	1267	4359	473	2465	2465	3360
Tài sản dài hạn###Non-current Assets	3756095	3837404	3906502	3906502	3445560	3476561	3494470	3508943	3508943	3529674	3578276	3606320	3664838	3666305	3670243	3705324	3761560	3764911	3762758	3821445	3889696	3962024	4021813	4063373	4133315	4193408	4247273	4347195	4328828	4408544	4455336	4536238	4628046	4647355	4700905	4707980	4441677	4516426	4515557	4538271	4599000	4678906	4870156	4874075	4947759	5038198	4856821	4751109	4751169	4828520	2853339	2773870	2585615	2584302	2429948	2183106	1898695	1898695	1907896	1529042	1340915	1206454	1090214	1090214	1115287	1118325	1122763	1144141	1144141	1208122
Các khoản phải thu dài hạn###Long term Account Receivable	5555	5470	4979	4979	2364	2364	2364	2120	2120	2120	2120	2120	1885	1885	1885	1885	1885	1657	1657	1657	1657	1657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	3574436	3626373	3699535	3699535	2945074	3007095	3070222	3135077	3135077	3199875	3260838	3326761	3390098	3391564	3457912	3520496	3599770	3666295	3666295	3723681	3780557	3848820	3908873	3908873	3965191	4034559	4106024	4178753	4180969	4240436	4277081	4358317	4510847	4523222	4611861	4617130	4370527	4430228	4435988	4531648	4592307	4669712	4661320	4863590	4935677	5024565	4842391	4675693	4734652	4801288	2852663	2768740	2580533	2578465	2424612	2177985	1893675	1893675	1902395	1523608	1335778	1201454	1084944	1084944	1110053	1113131	1117738	1138206	1138206	1202808
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4029813	-3953380	-3881573	-3881573	-3813680	-3758077	-3701898	-3637066	-3637066	-3590326	-3529930	-3520795	-3397416	-3395950	-3391071	-3267447	-3256457	-3189750	-3189750	-3116013	-3051258	-2982849	-2916332	-2916332	-2850460	-2781815	-2709237	-2645470	-2645470	-2570904	-2488323	-2406051	-2323186	-2320997	-2233828	-2158352	-2108627	-2086668	-2086668	-2003083	-1924856	-1853023	-1771796	-1767579	-1683932	-1605457	-1528588	-1462088	-1462318	-1392299	-1323221	-1283735	-1252117	0	0	0	0	-1124706	0	0	0	0	-954064	-954064	0	0	0	-778785	-778785	0
