CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	29148072	28341744	27964818	28451207	29749085	30551995	30275438	30513455	30378937	37552312	38104274	36967012	37181907	37024004	33489913	29496455	26955468
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	424344	320330	416724	405820	1066553	2560880	2687250	2577622	2572638	2775777	2806329	2042957	2967781	1667163	2549931	3043045	5120174
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	154995	334795	326295	337795	755454	479661	479024	424024	430704	452114	451345	602774	616351	2006548	463938	353888	101109
Các khoản phải thu ngắn hạn###Short term Account Receivables	4442255	4080089	4318893	4875668	4396119	4442881	4894140	5831761	6128914	6597370	6868665	6811634	6592210	6801389	6820433	4415935	3311188
Hàng tồn kho###Inventory	24076108	23555354	22877134	22804943	23382019	23002129	22123203	21618842	21180701	27651716	27928314	27417444	26896603	26270282	23036475	21205034	18244355
Tài sản ngắn hạn khác###Other Current Assets	50369	51176	25773	26982	148941	66444	91821	61206	65979	75335	49621	92204	108961	278623	619137	478553	178642
Tài sản dài hạn###Non-current Assets	15761955	15682759	15550779	15050535	14636137	14490765	14318987	14671588	14250254	16113494	15588469	14383508	13986574	20222328	17981758	17779227	14581225
Các khoản phải thu dài hạn###Long term Account Receivable	308495	312571	325794	451674	431938	384712	449715	450578	516327	491063	379147	969388	980608	326049	287889	1274347	1303607
Tài sản cố định ###Fixed assets	1852756	1812849	1844300	1844877	1851607	1541233	1705812	1728858	1730245	1733894	1823210	1565896	1592601	5401219	5150025	4628812	6072967
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1585497	-1536718	-1486027	-1486698	-1439960	-1383072	-1442904	-1556453	-1555444	-1504589	-1511526	-1427974	-1393862	-3129680	-2550294	-2122324	-1734084
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-37406	-34339	-31639	-31639	-29212	-27194	-25367	-37985	-38011	-36397	-34976	-39008	-37464	-37363	-32318	-24725	-19268
Lợi thế thương mại	48	53	58	58	63	68	73	78	78	82	87	92	97	6340	9950	13560	17169
