CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q2 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	2525511	2441352	2485377	2493212	2826026	2906783	2869282	2881250	2880966	2966958	3038410	3047225	3000839	3005317	3084363	2986225	2852989	2622523	2620553	2879597	2911477	2667539	2810625	2826258	2769141	2688734	2602620	2496670	2496670	2364238	2433755	2099370	2240556
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	301041	192669	397285	397286	328629	243450	152922	318248	318012	249611	281099	137302	344735	344735	317472	389577	114689	393311	393262	452376	466544	193156	425568	425691	160100	214452	166616	411281	411281	532651	365203	383599	179547
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	4000	0	24347	24347	33847	33847	33847	46472	46472	48000	48000	36000	17500	17500	3000	16500	14000	11500	11500	9000	10000	10000	10000	10000	10322	10000	43800	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	932052	730088	695918	703820	1021537	1007597	682334	577522	577522	1161355	953652	804118	499228	503145	892658	867315	697036	606346	603778	854721	865856	547481	481285	495907	832453	823636	798853	477722	477722	922573	467533	468372	558205
Hàng tồn kho###Inventory	1265752	1495170	1347103	1347040	1406110	1581268	1955884	1898574	1898574	1480396	1730441	2029305	2099093	2099093	1847374	1691361	2005755	1564226	1564829	1515877	1488698	1829758	1760076	1760815	1629908	1508656	1450182	1454798	1454798	810993	1490113	1159099	1403296
Tài sản ngắn hạn khác###Other Current Assets	22666	23425	20724	20719	35903	40621	44295	40434	40386	27596	25218	40500	40283	40845	23859	21472	21509	47140	47184	47623	80380	87145	133697	133845	136358	131990	143170	152869	152869	98020	110907	88299	99508
Tài sản dài hạn###Non-current Assets	823941	842755	852151	847188	876089	875546	844578	836252	836252	852872	835089	829893	840012	836275	830737	830476	816614	803119	841073	784344	791703	779975	758917	755555	596109	531731	500592	489245	489245	479860	483795	457275	444317
Các khoản phải thu dài hạn###Long term Account Receivable	3738	3738	3738	3881	4001	4442	6412	6412	6412	6412	6412	7412	8670	4933	5032	5032	5032	5032	5038	4032	4032	4032	5032	2773	2773	4032	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	736231	749891	760586	760586	795749	745357	763138	763191	763191	740435	754438	764383	776665	776665	727422	742941	734535	742125	742125	688143	659427	658871	652335	652335	416383	419668	419326	472211	426608	439444	466150	425142	365822
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-489246	-469849	-451188	-451187	-434839	-400165	-379201	-360743	-360743	-356335	-338020	-310147	-289014	-289014	-273819	-257033	-240566	-227997	-227997	-212943	-196842	-182285	-169446	-169446	-158863	-154317	-144897	-137430	-137430	-126041	-118254	-84971	-59212
