CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	256135	253560	230422	231062	243180	221409	183286	149071	154447	143338	130171	124178	112422	127744	116645	112916	116352	95727	96152	92057	103092	91121	85067	85236	98591	77083	73997	84095	86366	73248	65331	37281	37434	37423	36693	36964	43666	50783	50866	57688	67328	57982	50676	51361	50433	54062	67734	68750	68706	63433	65292	70566	76967	74305	80762	94999	79670	47237	23929
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	561	924	2659	2659	2306	1296	2384	316	316	364	7054	12513	16123	16123	11408	15037	12509	8731	8731	1076	4993	4002	1351	1351	1397	1914	1129	1758	1758	5977	6254	1601	2924	2924	1127	4597	2630	759	759	1204	4227	1316	2030	1348	1034	6251	22525	22051	22051	2087	1960	1289	4342	4342	14056	1070	1820	3737	10185
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	135269	125197	113669	114097	125036	45298	29604	23204	23040	31640	40623	37439	27910	33227	41497	42910	47939	28332	24832	37433	20565	18121	30965	30958	38301	27116	34041	30875	32359	19706	14901	14167	15008	15025	14971	12465	16202	20891	20530	12116	14306	10424	10042	11020	11739	15737	16950	14543	14585	13284	16094	16467	16245	18624	14522	13736	11443	27142	3658
Hàng tồn kho###Inventory	116006	123531	110047	109992	112027	171170	147649	122125	122125	102412	73616	61738	56727	63857	51015	44766	46945	48744	48744	50243	75381	60790	44777	44777	44369	33343	32848	42992	43011	26613	27792	16314	16450	16424	18004	17662	21845	26864	26705	41057	45062	41706	34642	33947	35347	29978	26182	29856	29840	43721	43266	48442	51251	48205	48153	73871	62532	11820	8322
Tài sản ngắn hạn khác###Other Current Assets	4299	3908	4046	4313	3812	3645	3649	3426	8967	8922	8879	12487	11662	14536	12724	10203	8959	9920	13845	3305	2153	8208	7973	8150	14524	14710	5979	8469	9239	7707	16385	5199	3051	3051	2591	2240	2989	2268	2872	3311	3733	4536	3961	5047	2313	2096	2077	2300	2231	4341	3972	4368	5129	3134	4030	6322	3876	4538	1765
Tài sản dài hạn###Non-current Assets	127763	130049	131051	130580	131047	135351	140834	146287	140911	144160	144935	148452	154262	148728	159643	159979	168044	170331	169686	169028	164208	159944	156958	157167	134342	134847	138098	122376	122239	109733	89671	77882	79494	79494	87615	91984	91927	90386	90219	87868	86508	85354	83724	82441	75820	74291	75153	73689	73689	76084	74645	69168	68631	67920	64451	62977	61918	36307	32691
Các khoản phải thu dài hạn###Long term Account Receivable	2054	2154	2024	2024	2024	1547	2113	2258	2258	2252	2252	1744	1538	1538	1487	1429	1429	1432	1432	1363	1363	1233	1057	1057	6057	6057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	133	131	14	14	14	14	13	13	13	13	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	79114	79388	82553	81383	86081	89101	85984	90497	90497	94350	96929	111119	107651	107591	57680	57781	55901	54420	54420	53567	55391	57161	59333	59333	44413	45384	46747	95448	48077	49787	40152	68503	70286	70286	78096	82340	82611	51022	80958	77572	76335	75386	51406	70265	69520	68109	66695	23088	65515	64399	62467	57772	57432	56781	50615	49212	46032	27399	18861
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-127341	-123415	-119424	-119132	-114938	-113136	-108282	-103642	-103642	-99000	-94398	-90715	-87077	-87137	-84245	-82767	-82127	-79868	-79868	-68322	-66147	-63983	-61809	-61809	-59718	-57894	-56009	-54063	-54063	-52070	-50148	-48403	-46655	-46655	-46238	-43069	-43946	-42798	-42798	-41582	-40393	-39175	-37987	-38167	-37048	-35932	-34773	-33622	-33539	-32964	-31926	-31082	-29667	0	-28610	-27343	0	-18141	-11307
