CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	1932449	1757718	1501805	1527504	1628687	1710160	1833255	1806688	1805073	1733640	1667407	1713905	1815271	1811041	2050998	1958141	2035839	2185930	2181054	2095457	1942217	1791558	1886340	1892557	1845428	1651727	1538628	1485968	1512590	1397437	1328610	1296028	1224403	1224483	1150786	1280001	1092171	1052349	1054653	949088	958254	896160	788220	803328	860185	818036	795786	708383	707330	759056	638119	539116	550257	550453	488537	453008	367523	341933	339719	410079	418002	398257	348998	348998	368601	353537	326164	341192	346102	199276	177756	153326	185120
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	327616	348301	313509	303509	281923	394998	457492	412303	412303	289143	325230	257091	445326	445326	395318	352060	356088	404984	434984	247062	147709	300775	370745	370556	313732	234816	796395	243691	453691	526334	600204	479063	438728	438727	442740	550255	418507	345293	345287	249281	214337	141683	88672	88672	107777	82367	219125	66991	66991	102915	121935	91336	94337	88332	112496	101802	61246	18123	18123	12214	17244	24630	8066	8066	48845	59999	57244	102254	102254	33718	24973	8342	16363
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	836000	606000	376000	386000	356000	200000	200000	200000	200000	200000	200000	200000	450000	450000	450000	450000	380000	490000	460000	660000	810000	670000	670000	670000	600000	600000	0	460000	250000	100000	0	40000	0	0	0	0	0	0	0	0	0	45000	0	15068	15023	15841	15841	15841	16400	16400	17400	27400	17400	23400	14432	13432	13432	13432	12310	14000	14000	22000	22150	22150	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	355850	365366	357163	382863	448827	568080	641737	599424	598365	581084	553774	611295	509513	502614	692741	644997	770206	810290	805359	780069	642613	464087	504946	506723	565092	505935	414978	393973	394343	386882	388433	367558	366476	366556	314194	365634	312304	351159	353438	336768	355413	313574	352314	352354	283178	289159	201091	300721	300795	313367	193755	135238	134653	135737	165803	167780	123450	90365	90871	93376	164839	190307	156000	156000	159202	148738	112266	102722	115593	57281	64515	57436	59499
Hàng tồn kho###Inventory	406897	426403	453880	453880	538434	519766	502269	567339	567339	637033	538636	578099	384706	384706	502167	503068	507299	471566	471568	400872	334820	350904	332550	339150	359884	305795	324077	373502	373502	340532	306332	353764	367793	367793	385096	346084	340921	336502	336517	354303	372195	362519	317385	317385	422197	407290	337078	305166	304331	295916	262759	256186	269551	268650	179175	156803	154595	188776	188776	257113	184649	136632	138254	138254	123940	115037	126239	123308	123308	103339	88162	87491	103311
Tài sản ngắn hạn khác###Other Current Assets	6085	11648	1252	1252	3503	27317	31758	27622	27067	26380	49767	67421	25727	28396	10772	8016	22246	9090	9143	7455	7075	5792	8098	6128	6722	5182	3178	14801	41055	43689	33641	55643	51406	51406	8755	18027	20440	19395	19411	8735	16309	33384	29849	29849	32011	23378	22651	19665	18813	30458	42270	28956	34315	34334	16630	13191	14800	31236	29638	33377	37270	24688	24528	24528	36614	29763	30415	12907	4947	4939	105	57	5947
Tài sản dài hạn###Non-current Assets	1073755	1191234	1348102	1322403	1210574	1060724	966498	1005510	1005510	1047639	1071989	1053810	1056977	1054195	855455	811826	721056	705145	704429	604128	564313	565188	551995	527219	443849	438179	472789	442550	441911	442785	435675	441227	456879	456867	463659	359007	373024	370320	370215	390432	406376	376839	378267	363374	381023	355035	311395	273770	273875	248280	261291	265396	273993	273958	224951	223889	225456	224078	225768	235515	212075	163258	148739	148739	96168	75478	76061	77043	77043	66153	71415	77723	84344
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	568640	603034	640141	640141	675720	568144	820391	857158	857158	894522	912080	911170	934707	934707	607389	604601	570364	593846	593846	552975	530910	531604	281173	280935	169007	172953	188685	211167	201106	203182	196772	201588	225088	225088	235074	248936	263046	274167	280589	295880	310879	281166	284189	284686	301140	298546	254943	259628	265449	239857	252904	257039	265581	265581	218289	217458	218958	217557	217557	212750	188740	163228	148709	148709	57236	39435	43908	44778	44778	48703	52798	57939	63393
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1224411	-1173952	-1124274	-1124274	-1076457	-1032725	-992719	-951456	-951456	-910545	-869620	-829966	-796680	-796680	-772143	-748590	-727958	-705821	-719456	-699113	-667217	-646394	-625197	-625197	-610392	-594573	-580605	-564448	-564463	-546910	-528445	-511360	-494694	-494694	-478920	-462662	-448054	-430702	-430702	-413230	-394903	-376673	-358037	-357862	-339742	-321244	-305328	-290818	-290818	-277277	-264096	-251829	-239283	-239283	-227456	-216516	-205653	-195438	0	-184500	-175370	-167537	-160612	-160612	-153980	-148224	-143061	-138323	-138323	-133319	-128046	0	0
