CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Tài sản ngắn hạn###Current Assets	155152	138279	140153	140158	150718	156316	157391	153782	154564	135579	136742	133514	135952	135796	136214	147847	147610	138814	139673	139072	159716	129109	128363	128249	130012	130030	130780	137179	137067	147655	150248	147867	137377	148734	141814	149564	146290	168667	168748	124426	123396	131763	119827	121368	116701	108025	108025	96153	96153	79103	79103	32585
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	15913	16038	13980	13980	12816	14038	19956	17255	12255	5297	19771	13140	10775	10775	11112	38449	15549	11872	21872	18886	35683	32873	35172	40272	27130	34251	45181	55487	55487	54774	55065	61541	54223	54223	29315	42192	34283	43918	44011	41843	47463	44335	37979	40138	37204	38127	38127	43334	43334	47272	47272	4421
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	3000	3000	3000	3000	3000	3000	7000	3000	8000	8000	7000	7000	7000	7000	7000	7000	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4615	4190	4190	4190	4190	4190	3668	3668	3668	3668	0	3300	3300	8000	8000	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	66731	60127	64270	64275	76133	69652	66828	78340	78933	73425	62471	70654	70167	69643	59743	51186	69013	67891	67965	60932	66131	52528	50808	45613	55239	49323	49639	38967	39246	49021	42415	46337	44606	56829	73012	63641	67010	87262	87262	34511	29424	40743	33802	35417	39474	32911	32911	28257	28257	8417	8417	17766
Hàng tồn kho###Inventory	68013	58455	58722	58722	58620	68947	63071	54824	55342	48684	47190	42230	47849	48217	58173	50932	52516	48806	47699	57053	54897	38616	38942	38942	43132	40865	28793	33133	32829	32493	38867	28027	29628	28993	25993	33462	34044	32213	32214	35091	32712	40728	40484	40412	31615	30884	30884	14459	14459	22933	22933	9759
Tài sản ngắn hạn khác###Other Current Assets	1495	660	181	181	149	679	536	363	34	173	309	490	161	161	186	280	533	246	2138	2202	3005	5092	3441	3422	4510	5591	7167	9592	9504	11367	13901	11963	8920	8689	8879	6079	6763	1084	1071	8791	10129	2289	3894	1734	8408	2802	2802	2104	2104	481	481	639
Tài sản dài hạn###Non-current Assets	123447	125225	128833	128845	131482	132599	109098	112709	112258	114944	116623	118391	120872	120558	121118	124622	129199	133319	133960	136705	138812	151431	153377	154242	157247	156566	154688	156108	155160	153573	152564	151455	154195	142007	85290	57270	55538	57203	57222	56650	58935	61126	61998	62107	62760	65383	65383	45256	45256	42304	42304	37926
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	92235	93475	96672	96672	99720	101246	104251	107866	107866	110446	110131	112615	114182	114182	114789	117807	119227	122721	122730	124787	128169	131501	134898	135473	138911	131578	74662	136825	75440	75331	77626	131661	136280	124647	72172	43878	41973	43090	43205	44234	46105	47540	48521	48521	49447	54268	54268	34415	34415	39720	39720	35800
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-147623	-143982	-140337	-140337	-136705	-133113	-129508	-125969	-125969	-122389	-118852	-115373	-111912	-111912	-108437	-105065	-101671	-98365	-98365	-95519	-92167	-88799	-85433	-85539	-82131	-78989	-76432	-74182	-74003	-71755	-70165	-66864	-64557	-64557	-62586	-61030	-60856	-58928	-58928	-57004	-55018	-53043	-51054	-51054	-49087	-43245	-43245	-37092	-37092	-31815	-31815	-29527
