CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	21879	14692	16762	16873	21850	22525	14657	19177	19196	24912	19244	16467	15992	15931	25663	23659	15196	15967	15851	25111	19991	14971	15910	15837	18682	18554	14923	16848	16832	20920	16947	15381	17703	17703	20609	16039	15803	16967	16943	18058	14648	13549	15039	14768	16417	14762	13854	16927	16927	14403	18579	13089	14997	15132	15932	19779	14087	14848	14848	15002	19235	13597	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	676	135	1308	1308	9363	614	521	2585	9585	9784	928	2809	2483	6483	7594	1555	6004	8038	8038	10342	609	6795	8197	8197	8373	1500	3696	5088	9138	9091	877	5964	8150	8150	1922	1237	2730	7580	1680	1272	811	406	5704	2204	1709	634	385	1055	1055	565	697	323	1861	1861	1018	1708	354	3942	3942	3226	5506	1604	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	5500	7000	7000	0	0	1500	7000	0	0	0	0	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	4670	0	690	738	773	891	1119	1119	5082	1189	1095	1404	7304	8082	2394	7197	1870	5370	5040	1544	4766	4822	4822	4818	4869	5247	4961	5096	5103	5990	6021	4127	4127	2185	0	4971	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	8682	5570	4931	5043	7356	11696	9515	6617	6636	8285	10724	10286	6120	6059	12652	11690	5587	4420	4304	7007	8747	4809	4407	4346	5000	9951	3004	8748	3879	7023	8265	5252	5339	5334	7584	6385	8883	4729	4707	4429	6714	2476	4253	3982	5467	5868	4266	7569	7569	5344	7529	2962	4429	4429	5223	6343	3471	2721	2721	5447	8506	3851	3360
Hàng tồn kho###Inventory	12399	3484	3522	3522	5131	10178	3121	2975	2975	6828	7591	3372	3388	3388	5405	10392	3434	3509	3509	7755	10629	3362	3293	3293	5309	7103	3415	3011	3011	3754	6523	2683	2475	2475	5186	6909	2881	3043	3043	4045	4588	3167	2873	2873	3846	6291	3983	3156	3156	3219	4913	4038	3447	3447	4003	5386	3853	3679	3679	4032	5036	3024	0
Tài sản ngắn hạn khác###Other Current Assets	122	3	0	0	0	37	0	0	0	15	0	0	0	0	11	23	171	0	0	6	6	5	13	0	0	0	138	0	113	314	510	591	620	625	835	319	214	210	208	231	141	303	338	338	355	425	454	325	325	457	571	520	299	299	584	351	388	379	379	112	186	148	0
Tài sản dài hạn###Non-current Assets	1447	1451	1484	1374	1327	1335	1402	1463	1476	1652	1626	1546	1590	1659	1799	1785	1811	1872	1993	2049	1970	2154	2179	2192	1803	1870	1909	1985	1974	1391	1470	1494	1483	1474	1502	1620	1648	2193	2215	2312	2265	2308	2368	2345	2279	2339	2510	2603	2646	2717	2856	2693	2717	2582	2665	2681	2788	2763	2763	2833	2954	2550	0
Các khoản phải thu dài hạn###Long term Account Receivable	30	6	9	70	33	12	49	81	94	117	98	22	26	95	70	14	-1	19	139	152	30	157	151	151	159	182	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	688	718	747	747	776	805	834	864	864	893	885	920	960	960	1002	1043	1084	1126	1126	1169	1212	1256	1300	1300	1344	1388	1434	1481	1481	946	975	1004	1034	1034	1066	1098	1229	1268	1268	1297	1281	1323	1350	1350	1266	1295	1336	1373	1373	1427	1478	1512	1574	1574	1635	1651	1717	1785	1785	1857	1921	1529	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-2750	-2720	-2691	-2902	-2873	-2843	-2814	-2785	-2785	-2756	-2727	-2692	-2651	-2651	-2610	-2568	-2527	-2486	-2486	-2443	-2399	-2355	-2312	-2312	-2268	-2224	-2180	-2137	-2137	-2386	-2361	-2335	-2307	-2307	-2279	-2250	-2407	-2371	-2371	-2335	-2299	-2258	-2214	-2214	-2172	-2131	-2090	-2042	-2042	-1987	-2181	-2122	-2061	0	0	0	0	0	0	0	0	-1523	0
