CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	814350	790253	709804	709804	837885	895427	840342	667688	666823	919896	783679	770870	740095	740307	950663	928445	928511	820037	820037	880346	950129	826894	776358	770656	900990	871987	801886	802223	808503	885387	918812	1000654	1069228	1046622	1015243	926801	857927	889489	890322	1061436	1100503	1027727	975649	975867	889550	933603	782317	791632	2544160	2601006	2463646	2240828	2239470	2278063	2302592	2249172	2267581	2268214	2209009	2094973	720408	650373	650373	626130	573245	543840	525043	520926	301080
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	81572	32295	244224	244224	49177	33658	33382	104845	104845	106554	36910	47381	220893	220893	16902	79101	84417	149924	149924	94786	54812	34820	136883	187883	75049	95195	94690	217558	217558	39517	93711	71135	316084	172084	38227	38846	31556	195111	195111	42629	95706	48398	146611	146611	48163	90347	128906	128906	52036	155310	249835	93031	93031	81689	127982	96145	126106	126106	50280	31957	40466	109337	109337	11994	29323	11064	45056	45053	6572
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	4525	4525	4244	4244	4244	4244	4244	4244	60709	60709	55000	4000	4000	15000	0	0	0	0	0	0	0	144000	0	0	0	0	0	0	0	0	30000	30000	0	0	0	0	0	98974	0	10080	10080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	285317	291895	58488	58488	355933	344376	358575	150504	148762	354824	280295	247002	52581	52581	371380	336947	298036	95454	95454	336434	376591	258061	55862	53289	313987	274404	253429	172336	178616	436429	421369	514582	333275	308871	541654	468508	435834	340127	340961	596858	593824	532455	443032	443426	399733	381377	209593	211787	190296	154273	158998	76070	76070	186223	185410	222761	222032	222665	272154	211814	318296	216317	216317	352510	272474	273592	235878	231108	40203
Hàng tồn kho###Inventory	424151	427629	381372	381372	384338	480342	389478	395610	395158	388765	388557	383029	439367	439367	498347	453195	496503	545076	545076	403616	433721	437097	491828	491828	493213	474984	444761	397255	397255	386043	390930	387578	383055	383993	414399	410310	380696	347578	347578	408847	400168	431576	349138	349138	432678	453485	426004	433124	2285962	2178442	2035945	2044069	2041632	1992938	1952759	1904464	1896836	1896836	1867824	1842657	356771	313288	313288	258416	268907	257262	243938	243938	247291
Tài sản ngắn hạn khác###Other Current Assets	23309	38435	25720	25720	48438	37051	58906	16729	18058	69754	77917	93457	22729	22941	59790	54958	45310	25339	25339	41267	24296	36208	36785	33655	14741	12404	9006	15074	15074	23398	12802	27359	36815	37674	20963	9137	9840	6672	6672	13103	10805	15298	6869	6692	8976	8394	17814	17814	15866	14007	18869	17578	18657	17213	36441	25802	22607	22607	18752	8545	4875	11431	11431	3209	2541	1923	171	827	7013
Tài sản dài hạn###Non-current Assets	2734058	2774321	2798708	2798708	2747351	2783061	2843657	2864630	2864630	2925339	2986676	3064179	3079469	3078291	3126727	3184543	3288244	3257603	3256276	3260023	3204170	3270330	3288874	3300614	3512002	3541357	3607881	3655397	3658164	3747498	3861222	3916873	3952149	3969975	4054351	4101934	4182015	4203810	4203810	4258717	4319987	4423885	4516178	4516695	4620789	4649510	4783400	4728807	2635588	2577775	2497681	2401436	2402863	2255163	2201367	2046538	1918902	1918902	1807395	1736254	1671347	1695403	1695403	1563962	1537134	1575514	1603354	1608419	1759179
Các khoản phải thu dài hạn###Long term Account Receivable	11927	11927	11071	11071	11071	11071	11071	10214	10214	10214	10214	10214	9358	9358	9358	9358	9358	8501	8501	8501	8501	8501	4045	4045	4045	4045	4045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	68	68	68	68	68	68	68	4022	4022	4022	4022	4022	68	4022	0
Tài sản cố định ###Fixed assets	2488622	2449019	2477415	2477415	2490772	2541219	2608900	2676421	2676421	2745611	2813548	2876346	2928072	2925901	2958396	3024298	3081802	3104800	3103473	3077361	3109664	3127826	3180441	3202748	3456276	3495706	3558058	3639097	3602578	3628654	3716594	3854648	3884237	3906221	3983620	4029619	4143096	4146173	4179510	4244036	4307075	4369756	4414254	4446290	4506114	4569232	4678520	4715549	2618852	2556820	2472149	2370076	2369614	2226343	2174537	2015320	1883222	1883222	1783362	1713722	1655468	1674359	1674359	1553568	1524271	1560919	1589994	1591089	1745358
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4161435	-4107412	-4055341	-4055341	-4003014	-3952443	-3883613	-3814843	-3814843	-3745456	-3676880	-3610063	-3540277	-3540277	-3471918	-3403564	-3336060	-3268806	-3268760	-3204740	-3140003	-3072615	-3010068	-3010332	-2972104	-2905581	-2839613	-2776506	-2776391	-2702804	-2637549	-2571682	-2509398	-2508848	-2443770	-2378540	-2316898	-2251874	-2251874	-2186459	-2121076	-2083962	-2018429	-2017957	-1971926	-1904323	-1754064	-1754064	-1713514	-1689127	-1664967	-1640834	-1640834	-1608826	-1566547	-1524621	-1482959	-1482959	-1441182	-1400133	-1359830	-1318552	-1318552	-1279139	-1237556	-1195686	-1154342	-1153679	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-434	-403	-372	-372	-341	-310	-279	-248	-248	-217	-186	-155	-124	-124	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1899	-1856	-1814	-1814	-1771	-1729	-1686	-1644	-1644	-1601	-1559	-1516	-1474	-1474	-1485	-1375	-1236	-1304	-1236	-1058	-925	-792	-658	-1379	-811	-430	-426	-422	-422	-417	-413	-409	-405	-405	-401	-397	-28060	-27056	-27056	-26042	-25032	-24022	-23012	-23012	-22001	-20991	-18970	-18971	-17960	-16950	-15940	-14929	-14929	-13897	-12873	-11850	-10831	-10831	-9800	-8789	-7778	-6767	-6767	-6344	-5218	-4092	-2966	-2966	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	59	59	59	59	59	59	59	59	59	59	59	59	59	309	509	509	509	509	509	509	509	493	509	492
Tài sản dài hạn khác###Other long term assets	107252	111577	101724	101724	79106	73966	78356	64736	64736	81520	84082	102668	81316	76159	80460	80920	108928	85194	85194	81811	58338	63079	63983	53416	24375	20211	12323	16300	16300	56375	56793	62224	67912	63754	70731	72315	38919	24300	24300	14681	12912	54129	70405	70405	114616	80220	67706	13200	16677	20897	25474	31301	33190	28710	26703	31092	35554	35554	23656	21955	15303	16513	16513	5864	8333	10065	12799	12799	13328
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	3548407	3564574	3508511	3508511	3585236	3678488	3684000	3532318	3531453	3845236	3770355	3835049	3819565	3818599	4077391	4112988	4216755	4077641	4076313	4140369	4154298	4097225	4065233	4071270	4412992	4413344	4409767	4457620	4466667	4632885	4780034	4917527	5021377	5016598	5069594	5028736	5039942	5093299	5094133	5320153	5420490	5451612	5491827	5492562	5510339	5583113	5565717	5520439	5179748	5178782	4961327	4642264	4642332	4533226	4503959	4295710	4186483	4187116	4016404	3831227	2391755	2345776	2345776	2190092	2110379	2119355	2128397	2129345	2060259
Nợ phải trả ###Liabilities	2136160	2142888	2098231	2099336	2188468	2291467	2309867	2180207	2179901	2495393	2420692	2520836	2487355	2486389	2747875	2779325	2834151	2709896	2709630	2816299	2846469	2845172	2829894	2835706	3197191	3172932	3181149	3363666	3372598	3676917	3852855	4001427	4108220	4103131	4134179	4078474	4101835	4109649	4108132	4335656	4385218	4380214	4423347	4426268	4268416	4345386	4270330	4222670	3980566	3901058	3718529	3632616	3627113	3391143	3317335	3148517	3063877	3064639	2894031	2732005	1352695	1325035	1315519	1147876	1077614	1122609	1155785	1151882	998906
Nợ ngắn hạn###Short term Liabilities	2105761	2111454	2063073	2064178	2149587	2218362	2203363	1954824	1954518	2228172	1933209	1897518	1746874	1695908	1933451	1847016	1891237	1689149	1688884	2000275	1928884	1895095	1794993	1789509	1880820	1780933	2037829	2032334	2041266	2218208	2261483	2134330	2240123	2235034	1808429	2207496	2238899	2246821	2245304	1969510	2019006	2013817	2056821	2059742	1574513	1651391	1675960	1628300	1086868	960068	781143	829038	823535	845324	828924	783529	863631	864524	718055	1379116	753522	848027	838511	657200	727395	774714	968809	809597	738239
Nợ dài hạn###Long term Liabilities	30399	31435	35158	35158	38881	73105	106504	225383	225383	267222	487483	623318	740481	790481	814424	932309	942914	1020747	1020747	816024	917585	950077	1034901	1046198	1316371	1391999	1143320	1331332	1331332	1458709	1591372	1867097	1868097	1868097	2325749	1870978	1862935	1862828	1862828	2366146	2366212	2366398	2366526	2366526	2693902	2693995	2594370	2594370	2893697	2940990	2937386	2803577	2803577	2545819	2488411	2364988	2200246	2200115	2175975	1352889	599174	477008	477008	490676	350218	347895	186976	342285	260666
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
