CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	298676	301670	300948	301387	291730	263056	238548	91896	183734	199732	185961	127422	98400	98400	89159	102930	99971	88232	64802	36079
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	9792	15184	13814	13620	2450	2010	1575	1176	1172	1822	1267	1650	1542	1542	94	178	461	418	299	136
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	122547	131638	132938	133169	88154	87332	91933	37826	37758	53641	37972	39269	53164	53164	51670	63641	51072	29320	9759	8069
Hàng tồn kho###Inventory	161618	153969	152757	152939	196944	171142	144513	52591	144231	143921	146166	85998	43016	43016	37171	38906	48355	58326	54299	27679
Tài sản ngắn hạn khác###Other Current Assets	1720	878	1439	1659	4181	2572	527	302	573	348	556	506	678	678	224	204	83	168	444	194
Tài sản dài hạn###Non-current Assets	41229	42850	44444	44306	46062	47612	47006	137179	45294	45200	42586	42167	42885	42885	27998	30228	18572	31488	27213	24687
Các khoản phải thu dài hạn###Long term Account Receivable	378	0	0	0	0	0	12000	12000	12000	12000	12000	12000	12000	12000	0	12000	0	12000	0	0
Tài sản cố định ###Fixed assets	36674	38481	39404	39404	42354	43736	34782	33010	33033	32914	30213	30167	30885	30885	18692	17604	17958	18716	15250	13196
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-17031	-16244	-15117	-15165	-13740	-12601	-12949	-12003	-11979	-14305	-13168	-12393	-10978	-10978	-10567	-10903	-10111	-10881	-9265	-9140
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-1924	-1680	-1436	-1436	-1192	-949	-714	-573	-573	-877	-580	0	-147	-147	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	3172	3281	3391	3391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	1005	1087	1127	988	208	376	224	495	260	286	373	0	0	0	663	623	614	772	276	161
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	339905	344519	345392	345692	337793	310669	285554	229075	229028	244932	228547	169589	141285	141285	117156	133157	118543	119720	92015	60766
Nợ phải trả ###Liabilities	186751	187820	189196	189443	227528	201901	178066	122800	122746	139995	174857	114308	87217	87217	61808	78875	65366	67565	71987	42182
Nợ ngắn hạn###Short term Liabilities	183515	187820	184240	184446	221620	195081	173774	117969	119064	136261	170963	107205	82076	80673	61808	70777	64366	57935	61357	38182
Nợ dài hạn###Long term Liabilities	3236	0	4956	4996	5908	6820	4292	4830	3682	3734	3894	7103	5141	6544	0	8099	1000	9630	10630	4000
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	153155	156700	156196	156250	110265	108767	107488	106276	106282	104937	53690	55282	54068	54068	55348	54282	53177	52155	20028	18584
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	153155	156700	156196	156250	110265	108767	107488	106276	106282	104937	53690	55282	54068	54068	55348	54282	53177	52155	20028	18584
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	65690	71519	387317	211047	69803	73795	68125	199290	51689	53853	58334	44110	180184	60974	28837	50735	39638	142887	87492	60707
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	33177	0	0	0	26	1057	3136	4530	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	65690	71519	387317	177869	69803	73795	68125	199264	50632	50718	53804	44110	180184	60974	28837	50735	39638	142887	87492	60707
Giá vốn hàng bán###Cost of goods sold	60410	65380	349195	152980	57448	60562	55084	175207	44263	44863	46210	39599	163671	54739	24627	43550	35927	127243	77827	58096
Lợi nhuận gộp###Gross profit	5280	6139	38121	24889	12355	13233	13041	24057	6369	5854	7594	4512	16513	6235	4211	7185	3711	15644	9665	2611
Doanh thu hoạt động tài chính###Financial activities Revenues	1047	1274	364	166	57	90	52	241	1	7	161	1	37	12	0	0	24	45	2	3
Chi phí tài chính###Financial Expenses	1658	1641	7006	1932	1971	1775	1292	4301	1600	1053	1110	760	1561	409	323	450	349	1519	1476	1610
Chi phí bán hàng###Selling Expenses	2405	1842	14626	17316	7473	7428	7225	5417	535	1308	2772	802	2324	1679	713	4017	25	4609	1608	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1983	2397	10872	3130	2363	2790	2332	8817	3141	2116	1955	1581	7898	2458	1402	1241	2210	6742	4206	2406
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	282	1533	5981	2677	604	1330	2244	5764	1093	1383	1919	1370	4767	1701	1772	1478	1152	2820	2377	-1402
Thu nhập khác###Other incomes	566	414	2530	354	1921	554	172	1317	1163	395	-139	157	12751	12627	0	0	125	693	16	0
Chi phí khác###Other Expenses	-454	1113	2070	1860	543	243	721	505	691	14	16	12	12515	12438	0	77	0	702	726	42
Lợi nhuận khác###Other profits	1020	-699	459	-1506	1378	310	-548	812	473	382	-155	145	236	189	0	-77	125	-9	-710	-42
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1302	834	6440	1171	1982	1640	1696	6576	1566	1765	1763	1514	5003	1890	1772	1401	1277	2811	1666	-1444
Chi phí thuế TNDN###Corporate Income Tax Expenses	256	331	1520	187	489	360	483	1368	313	353	353	303	1106	378	709	296	255	684	222	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	256	331	1520	187	489	360	483	1368	313	353	353	303	1106	378	709	296	255	684	222	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1046	503	4920	984	1493	1279	1212	5208	1253	1412	1410	0	3897	0	0	0	0	2127	1444	-1444
---Cac Chi So Tai Chinh---																				
EBITDA	1.36	1.43	0.74	0.74	0.21	0.07	0.07	0.09	0.09	0.02	0.02	0.06	-0.70	-0.70	-0.32	0.33	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.68	4.24	7.51	7.51	28.92	13.00	5.67	3.94	3.94	4.02	4.33	3.63	4.47	4.47	5.17	4.43	0.00	0.00	0.00	0.00
