CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	311382	313539	315838	315838	314445	287184	260581	261989	261968	255849	273413	239831	250558	250910	266919	263847	292642	281420	284247	303740	273587	259712	274905	274725	308094	261669	261397	214577	214907	232268	247526	195612	196438	177240	180086	164135	139958	167668	167668	157153	158944	170419	170260	170809	150177	130071	154330	173594	172753	143218	145779	122832	118910	118910	128838	111723	104535	99205	99205	88493	78354	74241	65550	65550	79962	81963	81963	79541
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2551	494	17950	17950	357	251	9100	16155	16155	10789	23498	2861	4298	4298	14139	9669	17596	10998	15998	18032	12035	14721	9660	9660	22113	24257	14026	15261	15261	28061	34217	16213	9903	10971	19315	15363	11923	16594	16594	4500	9956	37237	26044	26044	6671	7716	10710	17503	17503	8062	29294	6378	4997	4997	11343	6366	4345	4587	4587	1773	3178	8663	3540	3540	4045	1470	1470	1853
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	3500	0	0	0	8320	8320	0	0	0	0	0	0	0	0	0	7000	5000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25277	0	30287	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	121625	120406	111747	111747	119472	106860	108673	113957	106825	112992	132996	114617	132696	132696	119063	113876	125862	139457	139309	107540	94761	93707	86644	86653	90321	74955	118464	114300	114460	84628	92470	90350	106950	106950	66655	74410	66384	71723	71723	63728	62779	52466	49748	49748	44567	27380	34974	43544	43544	23674	21153	33034	31428	31428	571	35131	829	29670	29670	20913	17929	20268	21239	21239	31903	38905	38905	34626
Hàng tồn kho###Inventory	178609	186882	180290	180290	179664	166301	140445	130191	136427	129450	115917	122353	113564	113916	133716	133302	144184	125965	128940	174569	163476	148302	172910	172798	187907	156735	126852	85016	84011	115324	116801	83430	78003	58804	86650	65162	59073	78001	78001	78254	74546	74483	93582	94131	82798	83823	94721	112340	111499	97053	85120	72776	82302	82302	81009	64501	60583	63773	63773	61245	51331	39032	38935	38935	33491	40644	40644	40948
Tài sản ngắn hạn khác###Other Current Assets	5097	5757	5851	5851	6633	5451	2364	1686	2561	2619	1002	0	0	0	0	0	0	0	0	3598	3315	2982	5691	5615	7754	5723	2055	0	1175	4255	4037	5619	514	514	7467	9200	2578	1349	1349	10670	11663	6233	886	886	16141	11151	13926	207	207	14428	10213	10644	183	183	10637	5725	8490	1174	1174	4561	5916	6277	1836	1836	10523	944	944	2113
Tài sản dài hạn###Non-current Assets	23921	25965	27482	27482	29309	30212	32162	33963	40083	41169	43700	45608	45758	45758	45735	48165	46135	46331	47650	49754	51640	53154	53111	53111	48354	42093	39780	39582	38725	31898	31148	32574	36695	36695	45385	46738	45405	47932	47932	47258	40197	40587	41042	41520	42888	42008	43312	46146	45454	44128	41801	42222	43364	43364	37744	38099	22489	22800	22800	22529	24190	25749	25082	25082	23005	23252	23252	22329
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	6120	6120	6120	6120	6120	6120	6120	6120	6120	6120	6120	6120	6120	6120	6120	6120	6120	6120	0	0	-1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	20758	22046	22703	22703	23636	24644	25625	26365	26365	27633	28763	29098	28331	28331	29493	30660	32296	33123	33123	34400	35723	36921	36721	36721	33420	28159	31649	28253	28253	21944	23571	25852	28255	28255	33463	35510	33031	34864	34937	35532	32538	32219	32356	33211	34076	35823	36531	38240	38313	38422	36649	36570	37711	37711	32561	33847	18733	19045	19045	19682	20811	21942	22002	22002	20464	21726	21726	21373
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-104059	-102771	-102114	-102114	-101089	-100082	-98692	-97952	-97952	-105133	-104003	-103799	-103002	-103002	-101839	-101702	-100741	-99913	-99913	-98636	-97778	-96270	-94414	-94414	-94122	-91915	-89811	-87787	-87787	-87643	-86917	-84710	-82277	-82277	-78106	-76058	-75506	-73515	-73515	-71501	-69329	-67620	-68308	-68308	-66498	-64641	-62996	-61111	-61111	-59463	-57589	-55263	-54226	-54226	-52439	-51153	-50180	-49833	-49833	-48732	-47603	-46634	-45486	-45486	-46307	-43066	0	0
