CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tài sản ngắn hạn###Current Assets	119370	101873	101873	76521	142429	155425	95903	94447	71504	92919	102685	91562	91183	63384	80150	78509	78543	78447	66550	93711	96656	76648	76704	55910	60818	113601	61951	62100	44421	67515	80403	55639	54767	41550	46009	53111	62563	62513	31068	53799	64734	41306	40943	44009	42853	46886	37310	38229	28041	14928	26168	22447	22399	13010	15092	24205	26978	27892	30536	27672	29087	18762	18762	19732
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	13873	37351	37351	50546	8273	3455	12459	12459	39794	49331	2291	11039	11039	38304	37268	20718	32455	32455	42735	49819	18611	23492	23492	34655	29129	39399	20815	20815	20706	37217	1844	13137	13137	12983	15993	15560	29690	29690	8447	10109	2864	9123	9123	14521	2373	2946	8892	8892	9892	3211	702	5259	5259	2123	1860	1235	2757	2757	506	3365	2994	1585	1585	4395
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2526	2526	2469	2469	2416	2416	2416	2387	2353	2680	2280	2280	2202	2202	2116	5319	5802	6928	17070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	20523	20292	20292	8811	15541	10230	12799	12799	11321	9967	9538	6895	6895	10336	8798	6938	5121	5121	5024	7737	8336	8421	8421	7004	8698	32437	8083	7604	6967	5833	7968	7888	7878	7228	6516	5053	5734	5706	4123	11783	9036	6200	5985	7132	3153	3290	2620	2509	10606	5611	6590	4741	4693	4374	7052	11389	7344	7391	2182	3372	6253	6531	6531	4987
Hàng tồn kho###Inventory	83790	43110	43110	16995	118304	140669	68763	68763	17279	32056	90114	73455	73249	12843	32440	49937	40856	40871	15965	34950	69031	41980	41980	10566	20207	38949	30046	30047	12556	20529	66355	31094	30894	17600	20479	29285	20873	20873	10193	14020	51897	25445	25297	20924	36334	39491	25439	26470	5504	4698	18115	11355	11355	5394	5355	10707	16051	16925	22883	19504	18703	10258	10258	9953
Tài sản ngắn hạn khác###Other Current Assets	1185	1120	1120	169	311	1070	1882	425	3110	1565	742	173	0	1901	1643	916	111	0	2826	1206	678	229	285	1215	314	401	591	1218	1804	1583	1556	1240	578	1537	818	1097	947	442	1377	818	938	537	538	1432	993	1160	359	359	2039	1407	761	1092	1092	1120	824	875	826	819	4964	1431	1136	387	387	397
Tài sản dài hạn###Non-current Assets	25958	26682	26682	26048	24640	25810	24053	23952	24534	26691	27954	28035	28060	24945	23427	25103	26937	27020	28246	32485	34115	34615	34452	36497	38468	41036	42965	42824	43199	41234	43183	46003	45954	49468	49892	52055	50140	50255	52516	40803	42398	44543	44543	40999	40928	42028	41648	41052	44062	43391	41188	44323	44212	48800	48371	49589	52097	51176	50413	50119	42794	41807	41807	39599
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	148	148	148	148	148	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	24979	20385	20385	20187	21892	24087	24053	23952	24336	26547	27500	28035	27932	21336	23336	24851	26875	26875	27960	31422	33562	34327	34220	35963	38159	40784	42531	42539	38376	41065	43183	46003	45954	49468	49892	52055	36544	50255	52516	40803	42398	41695	44543	40999	40928	42028	32392	40781	43947	43378	41175	44311	44199	48788	48358	49566	52074	51153	50390	50096	42771	41784	41784	39577
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-139649	-137609	-137609	-136148	-144229	-142049	-146053	-146153	-143860	-141524	-139334	-136897	-137091	-134952	-132643	-130509	-128724	-128724	-126038	-123931	-121619	-119585	-119692	-117371	-115046	-112778	-110242	-110234	-109277	-106458	-106240	-103396	-103533	-99296	-97363	-95995	-93916	-93916	-92089	-91107	-88349	-85803	-85803	-82493	-80342	-78617	-75338	-76113	-70298	-68125	-66262	-62935	0	0	0	0	-52730	0	0	0	0	-44560	-44560	-35121
