CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	3436941	3492059	2706744	2701600	2659527	2660970	2767098	2430911	2430911	2444440	2453042	2362785	1913883	1915252	1982768	2095471	1894095	1475926	1478053	1475268	1394552	1442349	1580675	1583703	1479523	1409259	1349086	1263558	1263806	1462176	1467259	1505280	1395537	1395537	1470837	1162466	1059548	796536	594731
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	56111	61714	132271	132271	145097	128068	88403	218360	309360	348511	184641	197461	123230	123230	78427	65203	111299	112370	112970	84490	93268	122351	258122	258122	94742	105890	117737	71856	76211	138281	88328	60220	76862	76862	31437	49860	58593	122039	93083
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	90000	90000	94504	94504	388306	517609	426609	91500	162400	212600	317124	317124	130400	130048	130648	30048	30048	25048	0	0	0	0	0	0	10418	4355	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1770441	1838967	1153076	1147932	1293035	1152953	1094591	825479	825479	951963	1002725	898818	703834	703834	867766	906423	703999	662430	663319	764210	623523	618868	643167	646194	839154	617910	561825	482010	479922	582305	660624	663216	616044	616044	762198	546895	369943	275792	199729
Hàng tồn kho###Inventory	1543195	1487897	1278206	1278206	1089057	1251249	1157806	856829	856829	1035057	1082343	1029459	758676	760045	888420	964769	919066	660105	659399	590661	668777	685714	660575	660575	543359	641611	631726	649391	651726	711911	699250	743838	679393	679393	659233	559481	605367	386763	300603
Tài sản ngắn hạn khác###Other Current Assets	67193	103481	53191	53191	37833	34196	37991	12634	12634	17409	20933	24447	11019	11019	17755	29028	29084	10974	12317	10858	8983	15416	18812	18812	2269	43848	27380	55947	55947	29678	19057	38006	23239	23239	17969	6231	25646	11941	1317
Tài sản dài hạn###Non-current Assets	1553449	1471605	1348333	1348333	1271738	1082387	1071233	1053914	1053914	1239122	1204696	1057050	1049191	1047822	777441	762813	716974	711811	711621	663625	618240	487781	460358	459870	430385	416670	422995	422378	420927	417080	415657	402488	407726	407726	405606	406982	210717	170152	153978
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	595	405	0	0	395	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	975454	978062	877806	877806	654329	675183	603705	592234	592234	671165	697778	517483	519925	519925	357622	364834	350024	337977	338733	327524	319471	318558	328734	328734	288300	293496	300015	323918	307725	299989	293548	301172	312718	312718	309580	190347	103633	107344	115405
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-709331	-673977	-640281	-638461	-602726	-583999	-548653	-537496	-537496	-965149	-945134	-480883	-462620	-462620	-444129	-435802	-421871	-409082	-409327	-395091	-384096	-372842	-361720	-361720	-349233	-338837	-328619	-317842	-317894	-308255	-297886	-288874	-280645	-280645	-276070	-257671	-243505	-224404	-201413
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-17347	-14981	-13216	-13216	-13070	-12670	-12269	-11869	-11869	-13485	-13085	-10667	-10266	-10266	-9866	-10590	-10238	-9983	-9983	-9728	-9473	-9218	-8963	-8963	-8708	-8453	-8198	-7943	-7943	-7688	-7434	-7179	-6924	-6924	-6671	-5904	-4884	-3864	-2594
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	161755	165923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	4256	4256	4256	4256	4256	4256	4256	4256	4256	56221	4256	159817	161041	161041	5202	5247	4826	5353	4753	9728	9728	9492	9601	9601	9563	9784	9271	9151	9151	8938	8938	8830	8830	8830	8869	8843	8667	8667	8897
Tài sản dài hạn khác###Other long term assets	318312	329699	201065	201065	193040	192867	187439	188378	188378	317989	323893	147285	150348	150348	140623	140746	138767	139705	138441	142000	132040	122890	107716	107623	85767	86428	88398	89308	87910	84011	84765	85422	86178	86178	87158	47431	49844	43959	29676
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	4990390	4963664	4055076	4049932	3931265	3743357	3838331	3484826	3484826	3683562	3657737	3419836	2963074	2963074	2760209	2858284	2611069	2187736	2189673	2138893	2012792	1930130	2041033	2043573	1909909	1825929	1772081	1685936	1684733	1879255	1882916	1907768	1803262	1803262	1876443	1569448	1270265	966687	748709
Nợ phải trả ###Liabilities	3373168	3283291	2456799	2451655	2427101	2247011	2259857	2014073	2014073	2083443	2189800	2145873	1682341	1683066	1446631	1630505	1223118	1439519	1441158	1420390	1366888	1357480	1401245	1405231	1317982	1278105	1180026	1113964	1110033	1343926	1377313	1340352	1260100	1260100	1437569	1171362	891184	648313	499890
Nợ ngắn hạn###Short term Liabilities	2896343	2813976	1993471	1988327	2121995	1992125	1958824	1753720	1731160	1961610	2061396	2018335	1550717	1551328	1325610	1505199	1119978	1338354	1343715	1359717	1321325	1301497	1383794	1373684	1285876	1249503	1151468	1085371	1081494	1291502	1324858	1297527	1217275	1217275	1379530	1113340	843455	639695	496982
Nợ dài hạn###Long term Liabilities	476824	469315	463328	463328	305106	254887	301033	260353	282913	121833	128404	127538	131624	131738	121021	125307	103140	101165	97443	60672	45564	55983	17451	31546	32105	28602	28558	28593	28538	52423	52455	42825	42825	42825	58039	58022	47730	8618	2908
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1617222	1680373	1598277	1598277	1504164	1496346	1578474	1470753	1470753	1600118	1467937	1273962	1280733	1280008	1313578	1227778	1387951	748217	748516	718504	645904	572650	639788	638342	591927	547824	592055	571972	574701	535330	505603	567416	543162	543162	438874	398086	379081	318374	248819
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1617222	1680373	1598277	1598277	1504164	1496346	1578474	1470753	1470753	1600118	1467937	1273962	1280733	1280008	1313578	1227778	1387951	748217	748516	718504	645904	572650	639788	638342	591927	547824	592055	571972	574701	535330	505603	567416	543162	543162	438874	398086	379081	318374	248819
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
