CAN DOI KE TOAN	 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	195651	188304	253306	230674	190822	236643	174419	182925	173850	221687	190820	148183	154605	151781	151277	185158	159521	185062	159332	104108	143282	140082	151837	151755	139119	151939	138709	144923	129538	132305	133172	132737	138527	131806	140967	135465	133279	146390	163821	166064	92252	140436	130990	134642	115221	113920	101685	102393	76300	79909	61439	70711	73085	67004	60683	50877
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	34353	25936	25936	27493	27249	31306	33239	33357	10680	62245	26637	26982	26981	12648	13392	16215	17971	17970	8934	8030	6951	4782	4802	3435	7078	5392	11020	11021	2187	4415	1195	6487	6487	2366	1966	949	5217	5235	3315	3454	6159	16760	8990	7990	5679	5551	8377	18377	2942	13614	2683	14337	14337	1536	5252	4852
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1002	2385	2	2	2	2	2	2	2	362	362	500	0	0	0	1809	0	0	85	85	148	148	148	4238	6506	14314	9886	10786	16373	15388	7000	935	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	110967	91903	140277	138036	84674	103489	66610	65540	55002	73172	81941	60918	64479	70777	73438	82598	74561	90549	78072	72172	70765	72683	83635	77334	67556	81576	71109	79556	69673	70303	68656	67260	70710	69327	72784	69267	74916	86851	95672	101629	62744	76198	86138	88279	71232	63545	57143	56617	49159	46207	39655	33991	36364	33938	42063	38053
Hàng tồn kho###Inventory	45593	59694	59907	53241	66946	76621	61779	65153	94053	76689	72562	50936	53168	60660	58547	76151	63819	72922	67653	21896	63479	59710	60774	67270	62457	62990	54430	52353	52837	55167	59739	56017	56753	55214	61045	58623	48639	48630	58892	53561	9746	31821	13904	17662	21597	23303	17931	17552	18245	17233	18067	22039	22039	30469	12920	7629
Tài sản ngắn hạn khác###Other Current Assets	4736	10769	27185	11902	11952	25224	12788	18872	14114	9579	9678	9346	9976	7695	5898	10192	3168	2620	2289	2009	2087	2906	2624	3715	2026	1979	1788	1632	4340	2420	3583	2973	2768	4899	5172	6542	4421	5526	5795	7271	9365	9152	7645	10825	5928	5148	2846	2846	5019	2856	1035	344	344	1061	449	343
Tài sản dài hạn###Non-current Assets	342129	310002	282786	270635	272735	290406	249029	257283	237200	180562	170708	161603	164941	136831	126840	77169	83654	83088	81240	120828	83422	82677	83761	85601	83794	82975	84881	87916	93225	86639	88183	88277	84138	83755	84621	84469	86037	92843	85167	78518	105339	71057	163065	65923	42383	45984	45426	45426	37861	33888	35013	35611	35611	27806	22229	20848
Các khoản phải thu dài hạn###Long term Account Receivable	189	24341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	296962	253067	253065	252517	251249	275468	226158	235323	172657	157737	149392	141140	146864	87758	69885	63165	61907	70242	57699	57954	59505	77344	64351	66187	57146	62172	76972	83096	83671	78875	79881	21722	75737	75307	76092	76449	25042	84656	76841	70058	17206	22787	86820	57986	23942	20482	20677	20677	19835	20648	21711	22532	22532	18189	17742	18081
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-114535	-84487	-84487	-77873	-71486	-65071	-58994	-59140	-54633	-50608	-47047	-44290	-44290	-42348	-40826	-39687	-38627	-38481	-37824	-37040	-36197	-35436	-35440	-34874	-34072	-33032	-35301	-34987	-34453	-33635	-32404	-31692	-31370	-30456	-29526	-28430	-27558	-27541	-25076	-24441	-23210	-22578	-22500	-22847	-21772	-20479	-19064	0	0	0	0	-18027	0	0	-13101	-8672
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-786	-471	-471	-393	-314	-236	-157	-254	-79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-6137	-5278	-5278	-5063	-4848	-4633	-4418	-4418	-4203	-3989	-3774	-3559	-3560	-3344	-3129	-2914	-2700	-2485	-2485	-2260	-1821	-1811	-1811	-1372	-1363	-923	-914	-479	-470	-453	-300	-283	-281	-264	-247	-229	-211	-211	-193	-175	-158	-141	-141	-123	-116	-108	-100	0	0	0	0	-69	0	0	-2041	-1452
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	18000	0	-167	0	0	0	0	0	0	0	-3769	0	1168	0	0	0	0	-92	-92	0	2178	2178	-2911	-2448	2178	-919	4852	1753	7501	6189	7526	7526	7526	7526	7526	7526	7526	7526	7526	7526	87128	7566	74989	6449	16761	23361	22649	22649	15649	10599	10397	10277	10277	6750	2060	0
Tài sản dài hạn khác###Other long term assets	19625	13342	10635	10796	14184	7981	15360	14564	15355	14139	14354	13490	12527	10115	10444	2828	9326	2648	2734	2682	2808	3155	2277	1976	2781	2762	3056	3068	2054	1574	776	804	875	922	1002	494	1187	661	800	933	1005	1817	1256	1488	1680	2142	2099	2099	2377	2641	2905	2802	2802	2868	2428	2767
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	537781	498307	536092	501309	463557	527049	423448	440208	411050	402249	361528	309785	319546	288612	278117	262327	243175	268150	240573	224936	226704	222759	235597	237356	222913	234914	223589	232840	222763	218944	221355	221014	222665	215561	225587	219934	219315	239234	248989	244582	197591	211494	294055	200565	157604	159904	147110	147818	114161	113798	96452	106322	108696	94811	82913	71725
Nợ phải trả ###Liabilities	246737	264268	302552	272665	243179	305849	225615	233160	214332	237425	200207	172446	177232	159821	151520	137973	119663	134526	112042	101675	103442	102674	114640	118696	105932	116691	104945	112579	101326	103876	102056	103703	100753	99512	110055	107086	108174	114080	127682	127207	86251	102583	100086	85987	55847	56638	50592	50418	58274	63427	52453	65644	65972	49037	41419	37894
Nợ ngắn hạn###Short term Liabilities	144721	156331	242593	210837	151887	240014	164092	166125	146832	174415	134389	118290	116533	115402	120579	137973	119663	134526	112042	101675	103442	102674	114640	118696	105932	116691	104945	112579	101210	103756	101947	103583	100753	99505	110055	107225	108173	114069	127653	127113	86251	98979	100086	85992	55847	56638	50592	50418	58274	63427	52415	65597	65925	49004	41396	37866
Nợ dài hạn###Long term Liabilities	102016	107937	59960	61829	91291	65834	61524	67035	67500	63010	65818	54157	60699	44418	30941	0	0	0	0	0	0	0	0	0	0	0	0	0	115	120	109	120	0	8	0	-139	0	11	29	94	0	3604	0	-5	0	0	0	0	0	0	37	47	47	34	24	28
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	807157	8	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	291044	234039	233540	228644	220378	221200	197833	207048	196718	164823	161321	137339	142314	128792	126596	124354	123512	133625	128531	123261	123263	117545	120957	118661	116982	118223	115956	117376	118553	112302	116174	117311	116625	112752	112235	111027	111142	116467	117686	113602	111340	108911	193969	114578	101757	103266	96519	97401	57064	50371	43999	40678	42723	45773	41493	33831
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	2	3	2	2	2	3	2	3	3	3	3	2	3	3	3	3	2	3	3	3	3	2	-202	-178	-32	-958	-200	-200	-157	2	2
Vốn chủ sở hữu ###Owners equity	291044	234039	233540	228644	220378	221200	197833	207048	196718	164823	161321	137339	142314	128792	126596	124354	123512	133535	128531	123261	123263	117545	120957	118661	116982	118220	115954	117373	118551	112300	116171	117309	116622	112749	112233	111024	111139	116464	117684	113600	111338	108908	193966	114576	101754	103263	96516	97603	57241	50403	44958	40879	42924	45930	41491	33829
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1489	1489	2679	1653	2688	2884	2884	2766	3126	3126	5287	3297	3297	1822	2965	8688	3620	3772	0	1817	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222913	234914	223589	232840	222763	218944	221355	221014	222665	215561	225587	219934	219315	239234	248989	0	228779	211494	294055	200565	157604	159904	147110	147818	114161	113798	96452	106322	108696	94811	82913	71725



