CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	637483	638727	583983	584606	584260	509938	438023	473510	474128	490581	544652	673382	298847	298847	271455	362505	437182	530091	530688	549370	576730	510791	480406	480406	336471	300085	254768	340803	277564
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	27737	44252	36465	36465	59145	70974	82867	138035	138035	119186	182018	535810	140952	140952	126785	166028	181520	280625	280625	62712	142066	192425	225261	225261	174660	140606	76570	125164	139769
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	421047	404409	379644	379644	340494	264116	191143	179760	179760	206679	206679	1600	1200	1200	1200	41179	117378	109992	109992	339503	333275	214961	161021	161021	51283	51171	79374	132995	14500
Các khoản phải thu ngắn hạn###Short term Account Receivables	122407	142465	119947	120491	132878	121467	106239	97310	97298	101551	89212	84912	103294	103294	98206	115495	114866	126312	126419	133547	90722	91161	81591	81591	97902	95175	81056	66794	110866
Hàng tồn kho###Inventory	16234	13386	10967	11403	13361	11102	9191	9183	9813	9380	9665	9363	9540	9540	9542	10338	9336	7660	7590	8025	9889	9991	9710	9710	10803	10760	15116	12274	5527
Tài sản ngắn hạn khác###Other Current Assets	50058	34216	36960	36602	38383	42278	48583	49222	49222	53786	57078	41696	43860	43860	35722	29467	14082	5503	6063	5584	777	2253	2824	2824	1823	2372	2652	3577	6901
Tài sản dài hạn###Non-current Assets	1049650	1057779	1078312	1077912	1085773	1101827	1128148	1152893	1130280	1167008	1150949	1089919	987992	987777	873332	816567	600243	515198	514547	459703	419013	494901	513266	513155	636200	659707	675324	670222	510267
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	480	480	0	0	0	0	0
Tài sản cố định ###Fixed assets	999397	1010012	1029409	1029409	1047768	1063404	1089523	1114865	1092252	1082030	890552	922945	493025	493025	451906	398185	422189	446396	446186	361802	379227	474555	498077	497938	493793	517488	532780	533132	376500
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1163733	-1135710	-1106514	-1106514	-1101888	-1075715	-1045843	-1013318	-1013415	-974007	-948316	-918188	-890066	-890066	-865817	-839312	-841812	-816625	-816625	-794873	-770301	-796442	-770888	-771026	-744358	-718995	-696955	-672846	-422895
