CAN DOI KE TOAN	 2019	 2018	 2017	 2016	Q2 2016	 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	34942	20725	23020	28967	23674	22401	20447	26717	33123
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2741	2513	2078	2583	2349	4957	4195	2314	19261
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	7321	10958	8649	16246	12495	8796	6403	14210	6645
Hàng tồn kho###Inventory	23027	6460	11439	9322	7072	7225	8016	9009	6221
Tài sản ngắn hạn khác###Other Current Assets	1854	795	854	816	1758	1422	1832	1183	996
Tài sản dài hạn###Non-current Assets	81160	82857	84787	68289	56544	55552	63340	65086	68070
Các khoản phải thu dài hạn###Long term Account Receivable	117	134	10172	10193	145	145	0	0	0
Tài sản cố định ###Fixed assets	11778	12796	11473	12378	12097	12586	13914	15326	17225
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-11303	-11807	-18431	-17616	-17122	-16646	-15819	-14757	-13164
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-2753	-2524	-3201	-2971	-2857	-2742	-2512	-2282	-1867
Lợi thế thương mại	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	7480	8096	8712	4067	4212	4359	4692	5056	5422
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	61739	61739	53295	41466	37281	37781	44590	44440	45317
Tài sản dài hạn khác###Other long term assets	47	92	116	185	77	126	145	264	106
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	116102	103581	107808	97256	80218	77953	83786	91802	101193
Nợ phải trả ###Liabilities	31868	19384	21906	19174	8558	6303	7579	8796	11877
Nợ ngắn hạn###Short term Liabilities	30430	16767	19339	18611	8558	6303	7579	8796	8444
Nợ dài hạn###Long term Liabilities	1437	2617	2566	564	0	0	0	0	3433
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	84234	84198	85902	78082	71660	71650	76207	83006	89316
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	84234	84198	85902	78082	71660	71650	76207	83006	89316
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	46155	28141	50032	47001	18849	21855	17865	16067	14070
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	46155	28141	50032	47001	18849	21855	17865	16067	14070
Giá vốn hàng bán###Cost of goods sold	35631	23015	36080	34406	15329	17502	12656	10134	10087
Lợi nhuận gộp###Gross profit	10523	5126	13952	12595	3520	4354	5209	5934	3983
Doanh thu hoạt động tài chính###Financial activities Revenues	1365	3522	4265	2312	1221	1349	2069	2123	8218
Chi phí tài chính###Financial Expenses	1132	1189	892	320	-75	338	515	814	8617
Chi phí bán hàng###Selling Expenses	330	1048	1140	770	803	836	987	899	890
Chi phí quản lý doanh nghiệp###Managing Expenses	8593	8175	8344	7456	8354	9837	12098	9957	12216
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1833	-1763	7841	6361	-4341	-5308	-6323	-3613	-9522
Thu nhập khác###Other incomes	229	78	126	93	17	29	47	225	111
Chi phí khác###Other Expenses	1143	20	146	22	0	0	34	155	115
Lợi nhuận khác###Other profits	-913	59	-21	71	17	29	14	70	-5
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	920	-1705	7820	6432	-4324	-5279	-6309	-3543	-9527
Chi phí thuế TNDN###Corporate Income Tax Expenses	883	0	0	0	0	1520	0	0	727
Chi phí thuế TNDN###Corporate Income Tax Expenses	883	0	0	0	0	1520	0	0	727
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	37	-1705	7820	6432	-4324	-6799	-6309	-3543	-10254
---Cac Chi So Tai Chinh---									
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.50	3.90	2.00	0.00	0.00	0.00	0.00	0.00	0.00
