CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	322766	287467	263841	342191	338625	304428	339820	303609	303669	297553	261961	308387	251912	303263	226004	202250	247929	237676	237671	239624	212488	239262	238911	238846	184401	211606	55191	49736	49261	43385	49613	51416	57644	57167	39322	23606	107834	46587	18233
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	147862	94879	53410	53263	57805	81444	232462	235144	235146	129882	133683	186829	88053	88053	72587	126506	193579	200688	200688	183778	179146	142946	179036	179043	131448	131178	12820	17187	17187	17061	29672	13406	34964	34964	9711	8004	83132	35735	10153
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	114000	129000	129000	129147	129000	90000	0	0	0	16000	16000	16000	111000	111000	95000	0	0	0	0	0	0	0	1000	1000	1000	1000	1000	1000	1000	900	900	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	53513	55834	66567	145078	142097	123042	97104	58050	58107	140517	99577	94394	45845	97067	48324	74365	51529	36618	36613	55532	32730	91330	52999	52927	47090	76685	38243	28050	28058	21724	15386	35570	20164	19874	23958	14077	9165	4655	618
Hàng tồn kho###Inventory	439	153	296	153	0	0	0	0	0	0	0	0	0	0	0	0	2500	0	0	0	0	0	0	5876	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0
Tài sản ngắn hạn khác###Other Current Assets	6951	7601	14569	14549	9723	9942	10253	10416	10416	11155	12701	11164	7013	7143	10092	1379	321	370	370	314	612	4985	5876	0	4863	2744	3128	3498	3016	3700	3655	2439	2516	2329	5652	1525	15136	6197	7462
Tài sản dài hạn###Non-current Assets	411571	421586	434612	355630	362488	374434	387317	400085	400085	390313	403337	416159	362256	310898	372597	390009	424284	436170	436170	445065	458081	467399	478681	478568	514156	464020	471757	471883	471666	470346	473538	461338	457556	457557	450955	461053	424899	372945	397410
Các khoản phải thu dài hạn###Long term Account Receivable	464	903	903	903	1679	1393	1393	1393	1393	1250	1520	1384	51495	136	136	136	1655	519	519	0	240	0	0	0	0	500	400	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	323895	314006	326147	326149	332316	344372	356385	368483	368483	380642	392771	405028	301381	301381	363027	380372	409471	422190	422190	432435	445002	457570	467019	466906	498839	449413	456305	453111	452894	447841	447294	435777	451681	451682	444595	441015	336042	363902	386786
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-380935	-369203	-357472	-357472	-345929	-334282	-322620	-310928	-310928	-299258	-287545	-275812	-249705	-249988	-272723	-270417	-272146	-260011	-260011	-247691	-235273	-222817	-210443	-210405	-204850	-199127	-187520	-176140	-176388	-165137	-154835	-144784	-135281	-135279	-125451	-98834	-77373	-49475	-22035
