CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Tài sản ngắn hạn###Current Assets	72512	60534	56777	56777	64480	62025	63264	64154	64144	61914	58228	59648	51140	67808	74436	72565	100790	97541	97541	95634	91223	100340	76566	76566	76822	75442	62403	45326	45326	43030	41469	38423	39538	51538	59467	55443	45949	52649	52649	37578	36147	43338	34182	42401	54455	60299	58333	67973	63770	63150	58395	57338	51886	51886	71366	59733	45852	54129	54129	158233	175414	88570	62825	64192	51528	49514	21068	27750	27750	25549	23873
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	812	2462	555	555	82	791	769	710	710	328	423	369	69	69	369	2048	6568	832	832	342	244	2508	24	24	169	441	441	689	689	1013	1116	1614	539	12539	17798	18817	21433	27365	27365	10718	9266	9210	2967	107	682	696	171	1227	1227	147	577	1639	1530	1530	2045	2615	2090	5311	5311	314	479	1297	2810	9410	818	596	921	896	896	375	3612
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	28879	22734	22734	22734	21966	21966	24466	25710	25710	24002	24105	32725	32063	50182	51355	49983	70265	64284	68714	66547	64792	68016	49467	49467	51237	51306	37100	21764	21764	19128	18950	15470	14906	14906	15423	14343	13733	8793	8793	10618	12851	15648	17472	20332	20805	21048	24882	24975	24975	27972	19171	25118	16948	16948	16787	14518	10475	10070	10070	53807	58207	61556	29159	30621	20465	19778	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	9622	4944	5597	5597	5311	8137	4525	5043	5047	3765	4255	9816	10131	7229	14145	16251	18135	22902	18472	17395	17806	18873	18252	18252	17215	18183	20794	18097	18085	17515	17387	17315	17212	17538	18403	17921	7160	11903	11903	9115	6383	7006	6916	15134	23547	29587	25854	29905	26117	21874	26148	23988	24532	24532	18396	20927	23610	30937	30937	77901	68318	18096	21531	17363	15209	12647	13720	17877	17877	17268	14271
Hàng tồn kho###Inventory	31159	29945	26992	26992	35512	30071	31705	31018	31005	31716	27729	16555	8577	10028	8257	4259	5785	9133	9133	10783	8233	10287	8297	8297	7715	5278	3973	4621	4621	5147	3898	3898	6214	6214	7365	4210	3619	4586	4586	7101	7575	11444	6814	6814	9222	8960	7414	11395	10979	12494	11930	6563	8854	8854	19549	9857	9163	7002	7002	24887	45117	4436	7601	5095	5544	6578	5767	8459	8459	7689	5810
Tài sản ngắn hạn khác###Other Current Assets	2041	450	899	899	1609	1060	1798	1672	1672	2104	1717	181	300	300	310	23	36	389	389	567	149	657	526	526	486	234	94	155	168	228	118	125	667	341	478	153	3	2	2	26	72	30	14	14	198	9	12	471	471	662	570	31	21	21	14589	11816	514	809	809	1325	3292	3186	1724	1703	9492	9915	660	518	518	216	180
Tài sản dài hạn###Non-current Assets	56214	56230	56659	56659	57109	57013	57038	57019	57019	57019	56611	51150	51258	35673	35782	30031	2360	2451	2468	2577	10885	10994	13450	13450	13559	26537	13776	26754	26754	26862	26107	27528	27644	15637	17752	17867	17959	18080	18080	30026	29085	29105	30245	22027	13649	14934	16434	13047	13047	14745	13493	12431	12549	12549	12455	12518	12546	12754	12754	11808	11895	9855	9032	9032	8141	7485	20351	11764	11764	9418	3824
Các khoản phải thu dài hạn###Long term Account Receivable	156	156	156	0	0	156	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	933	1041	1150	1150	1258	1367	1475	1583	1583	1692	1800	1909	2017	2017	2126	2234	2360	2451	2468	2577	2685	2794	2902	2902	3011	3119	3228	3336	3336	3444	3559	3673	3788	3789	3904	4019	4111	3275	3275	1543	1589	1635	1681	1681	491	1376	2864	2977	2977	3095	3213	3331	3449	3449	2165	2187	2265	2473	2473	2585	2672	2758	2822	2822	3041	2365	2422	2522	2522	2676	3071
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4088	-3980	-3872	-3872	-3763	-3655	-3546	-3438	-3438	-3329	-3221	-3112	-3004	-3004	-2895	-2787	-2661	-2570	-2553	-2444	-2336	-2227	-2119	-2119	-2011	-1902	-1794	-1685	-1685	-1577	-1462	-1348	-1233	-1286	-1171	-1057	-965	-843	-843	-782	-736	-690	-644	-644	-1321	-1993	-3337	-3224	-3224	-3106	-2988	-2870	-2752	-2752	-2608	-2919	-2841	-3442	-3442	-3395	-3309	-3222	-3135	-3165	-3208	-3084	-2981	-2881	-2881	0	0
