CAN DOI KE TOAN	 2019	 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015	 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	224046	201477	193315	193315	174551	171192	162161	163610	153737	140353	159581	147204
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	51607	50216	66011	66011	123452	125031	115773	122335	111402	90514	83102	47261
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	124092	101742	81254	81254	0	0	0	0	0	0	13840	30000
Các khoản phải thu ngắn hạn###Short term Account Receivables	23309	28092	19993	19993	23405	20404	20686	17544	20337	25131	33359	45664
Hàng tồn kho###Inventory	24239	21307	25952	25952	27161	25147	25510	23286	20418	24351	28932	22272
Tài sản ngắn hạn khác###Other Current Assets	798	120	105	105	532	609	193	445	1580	357	348	2008
Tài sản dài hạn###Non-current Assets	20265	25374	28204	28204	28359	30104	31694	33158	31545	29814	22904	23708
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	20265	25374	28152	28152	28359	30104	31694	32948	31334	29771	22866	23554
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-85797	-80077	-76301	-76301	-74512	-73255	-71636	-69849	-63497	-57744	-55400	-52592
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	0	0	0	0	0	0	0	0	0	43	39	154
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	244311	226852	221518	221518	202910	201296	193855	196768	185281	170167	182485	170912
Nợ phải trả ###Liabilities	103700	90408	90401	90401	77004	81989	64946	72801	61157	58919	70333	62468
Nợ ngắn hạn###Short term Liabilities	103700	90408	90401	90401	77004	81989	64946	72801	61157	58919	70333	62468
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	140612	136444	131117	131117	125907	119306	128909	123968	124124	111248	112152	108444
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	140612	136444	131117	131117	125907	119306	128909	123968	124124	111248	112152	108444
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q1 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	625260	601820	556411	163483	136862	129691	126375	461027	110216	478071	487579	556628
Các khoản giảm trừ doanh thu###Deduction revenues	3227	2102	2946	625	807	458	1055	2153	501	964	702	1052
Doanh thu thuần###Net Sales	622033	599719	553466	162858	136055	129233	125320	458875	109714	477108	486876	555576
Giá vốn hàng bán###Cost of goods sold	471780	453256	415054	122159	102427	96179	94289	340265	80616	350881	359243	404045
Lợi nhuận gộp###Gross profit	150253	146462	138412	40699	33628	33053	31032	118610	29098	126226	127633	151531
Doanh thu hoạt động tài chính###Financial activities Revenues	7592	6068	2091	419	355	871	446	3820	487	3660	3489	4401
Chi phí tài chính###Financial Expenses	80	35	31	14	1	8	8	21	2	27	11	28
Chi phí bán hàng###Selling Expenses	94444	95538	88685	26910	21524	20323	19925	77818	18393	73682	87788	97939
Chi phí quản lý doanh nghiệp###Managing Expenses	32099	25091	23153	7219	4412	6117	5407	20093	4828	15685	16670	14853
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	31222	31867	28635	6975	8045	7476	6138	24498	6362	40492	26654	43111
Thu nhập khác###Other incomes	707	725	304	-19	243	40	39	601	76	193	1363	1876
Chi phí khác###Other Expenses	508	20	36	-2	38	0	0	61	0	171	1744	1521
Lợi nhuận khác###Other profits	199	705	268	-16	205	40	39	540	76	21	-381	355
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	31421	32573	28902	6958	8250	7516	6177	25038	6439	40514	26273	43466
Chi phí thuế TNDN###Corporate Income Tax Expenses	6642	6759	6137	1748	1650	1503	1235	5343	1288	9370	5545	17733
Chi phí thuế TNDN###Corporate Income Tax Expenses	6642	6759	6137	1748	1650	1503	1235	5343	1288	9370	5545	17678
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	55
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	24780	25813	22766	5211	6600	6013	4942	19695	5151	31144	20728	25733
---Cac Chi So Tai Chinh---												
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	43.12	34.99	27.57	27.57	32.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00
