CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	277298	307515	342380	350871	340078	342669	373073	368917	364483	276533	268159	246836	218206	216836	213002	258694	339801	326568	320518	318048	348280	221218	243174	243430	267061	177971	187695	203551	203551	231407	214856	234092	178140	156600	165533	143619	122709	172306	172353	165677	172350	171880	113151	123990	90386	92587	90954	87938	87938	89913	63531	57395	45394	45394	26615	2206
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	16646	10910	10222	10226	21423	14059	21217	78843	78843	4265	2902	13200	16342	16342	14034	14769	41402	32693	32693	25535	33654	80006	60821	60821	68031	34781	36123	55032	55032	32512	43427	49461	18400	18400	14131	3847	9287	37579	37579	2607	6824	6645	9793	9793	8242	4481	6442	3695	3695	6779	6023	7820	6551	6551	7137	5
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	41892	32383	44512	44512	38506	41050	47384	23457	17724	19024	14886	4951	4951	4886	10225	7691	11264	5446	5446	3823	20888	19202	17743	17743	17543	2543	5293	5888	5888	10180	7044	10484	2000	2000	1500	1500	432	0	0	0	0	23174	22821	22765	20363	27258	21541	19731	19731	19744	9176	6660	2950	2950	2600	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	111797	133267	139153	144577	169149	179793	179373	164922	166683	161331	139712	132970	117011	115609	90803	104207	138428	113292	110597	108165	110976	50352	78215	78215	94811	49568	66390	69489	69489	85070	58248	62912	66429	44888	64154	49872	50447	74021	74066	106632	111426	99761	44732	45070	37706	40632	31616	27918	27918	40786	30766	31703	22771	22771	9173	2059
Hàng tồn kho###Inventory	82165	101806	122507	120263	87611	83075	95618	80825	80371	77793	102130	87535	72393	72393	90733	123864	140072	163547	159953	169525	167776	57384	72053	72053	75143	77629	70041	61978	61978	86897	93420	91450	78390	78390	66847	73890	51443	49186	49186	47123	43480	29702	28273	38889	18752	12958	25146	29908	29908	12046	13234	5199	8141	8141	5453	0
Tài sản ngắn hạn khác###Other Current Assets	24798	29149	25986	31294	23388	24691	29481	20870	20862	14120	8529	8180	7508	7606	7207	8163	8636	11590	11829	11000	14986	14273	14342	14599	11534	13450	9849	11163	11163	16749	12717	19784	12922	12922	18902	14511	11101	11521	11522	9315	10620	12598	7532	7472	5323	5189	6209	6686	6686	10557	4331	6013	4980	4980	2252	143
Tài sản dài hạn###Non-current Assets	274858	281634	283961	284610	287759	286623	259054	252242	259325	206256	184219	193825	191286	192799	181442	122338	127615	105834	111501	131508	125739	103451	101786	102283	78094	75012	67193	61869	61869	48307	47768	48516	50830	72370	72060	47357	45911	48246	48268	46539	47748	46099	42637	42727	36015	27077	31479	31597	31597	25818	19032	11377	11498	11498	1963	23
Các khoản phải thu dài hạn###Long term Account Receivable	25344	25659	20827	20827	22098	18689	15783	15126	14872	13342	12495	16544	16073	17539	38022	37059	48928	40281	46187	53952	54605	53212	49137	49137	42668	41146	32629	27051	27051	20324	18058	17635	17395	38935	38935	15483	15015	15015	15015	13935	12949	11732	10266	10266	9749	6201	5415	3995	3995	2174	1962	1805	1191	1191	0	0
Tài sản cố định ###Fixed assets	222288	222716	224281	227321	227737	228892	118817	121886	121886	126394	130743	143975	148022	148069	66289	74910	70576	56102	55863	60622	62805	14192	16234	16234	18362	16823	19199	30235	18495	14859	16550	18228	31998	31998	31952	30862	30681	22134	33039	32390	33392	32379	28045	30473	24133	18743	22540	21227	23277	19321	12746	7381	7861	7861	1963	23
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-158599	-142413	-151700	-140178	-132498	-142621	-128449	-137997	-125385	-120864	-128320	-123473	-118393	-118377	-113850	-116880	-112453	-108306	-108296	-106830	-114714	-32418	-34429	-34507	-32905	-31357	-29810	-28096	-28513	-13786	-24493	-22134	-19753	-19753	-17258	-16225	-14773	-12421	-12421	-10753	-8433	-6146	-3503	-3500	-5525	-7193	-6857	-5488	-5488	-4129	-3104	-2407	-1831	-1831	-171	-2
