CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	185731	207306	206077	205620	258775	252712	226254	275771	275067	272919	260377	265945	237180	237080	283253	270787	240628	256166	256613	261027	242660	192819	177000	179793	252579	252189	192265	155371	157643	225569	220548	269064	324078	322920	289219	269561	334371	372202	372702	245207	227448	293197	230217	231289	295870	247810	285435	265481	265481	276329	276697	326835	347878	347540	300047	325975	254034	231462	231040	259027	226353	262926	239145	238509	105404	79273	125400	94701	94701	81338	82627	77178	74113
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	53450	124035	10588	10589	129442	76088	43792	169443	169443	59000	148121	37964	51271	51271	113627	180952	72695	26489	26489	122199	129888	113757	77339	77339	171192	136391	13466	37888	37888	30996	27734	23226	28376	28042	26434	41346	45458	56543	56543	49535	33590	31127	38142	38142	34430	11877	24328	22936	22936	80343	56737	39168	19611	19611	71485	112787	100130	97497	97497	115468	46192	128611	116790	116790	16068	10277	16083	18597	18597	12055	6318	12770	8302
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	12877	12877	12877	12877	11783	12304	12622	12772	12772	11594	12285	12498	12153	12053	12938	13883	13883	14827	14827	13211	12619	12248	11637	14003	13596	13418	13708	11687	14053	13303	13719	13623	15059	15059	30755	30345	53885	53988	53988	52937	57783	54670	46863	46863	49020	43466	52673	48580	48580	48468	51201	68435	67442	67442	55510	38007	28007	27974	27105	37629	37767	43143	32478	32710	6854	6860	1354	1354	1354	579	579	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	56127	52034	47854	47396	52198	54715	51019	44508	15347	24176	23784	22243	14099	14099	20036	29125	24246	32668	31502	14803	15919	12401	12310	11707	17479	21250	25799	30520	28218	37464	37671	37236	50253	50153	48771	58533	58381	52298	52798	57972	76757	96007	95208	96279	81958	76808	172673	101901	101901	93498	98160	179508	80265	75794	136395	71990	73330	44258	75259	76200	113478	56959	59441	66027	42438	41281	89090	37047	37047	55670	58376	47618	30928
Hàng tồn kho###Inventory	58739	17996	125054	125054	61577	102249	109977	47492	47492	163913	71702	178003	147630	147630	126302	44569	120015	168099	168099	101737	77711	50082	70886	70886	43765	73577	125098	70252	70252	129813	128200	177006	208498	208589	168258	126439	161113	191985	191985	78003	55500	102351	42122	42122	123531	106398	28521	83324	83324	48885	64233	28234	174857	174857	26282	98363	45966	51726	24232	19433	24373	26539	22724	22424	16554	17325	15807	34483	34483	12265	17277	15600	32743
Tài sản ngắn hạn khác###Other Current Assets	4538	364	9703	9703	3773	7358	8844	1558	30015	14235	4485	15237	12025	12025	10351	2257	9788	14083	15697	9077	6524	4332	4828	5858	6548	7553	14194	5023	7232	13994	13225	17973	21893	21078	15001	12897	15534	17389	17389	6759	3818	9042	7881	7881	6930	9262	7240	8740	8740	5136	6366	11490	5703	9836	10375	4829	6601	10007	6947	10297	4543	7674	7712	557	23491	3530	3066	3221	3221	770	78	1190	2140
Tài sản dài hạn###Non-current Assets	321671	306535	309235	309239	291667	290609	290661	293325	293325	296422	296062	292486	292210	292210	291045	280297	279361	273418	272894	269138	268173	270294	272381	269421	268174	270656	270703	273039	270673	271961	271882	272122	273713	274537	274014	262016	248567	234409	232989	233794	233861	230696	218338	218338	211893	205791	199195	198846	198846	150442	139987	131932	122704	122704	110779	105879	101225	98553	98618	92816	93064	93055	93235	94185	55250	55915	56092	51831	51831	50882	50186	50559	50820
Các khoản phải thu dài hạn###Long term Account Receivable	1590	1590	1590	1590	1590	1590	1590	1770	1770	1770	1590	1590	1590	1590	1590	1590	590	590	590	590	590	590	590	0	0	0	0	590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	256621	259436	262365	285828	264294	267211	270135	272514	272514	270739	273674	202785	203990	203990	203950	194223	194472	196167	196167	188881	190636	193135	194888	194888	193788	192831	193911	195090	195090	196481	183295	258029	258575	258575	257674	245658	245610	150936	230343	230959	230837	227483	130705	214936	208302	202011	195226	129510	194688	146095	135451	127018	122704	122704	110779	105879	101225	98553	98618	92816	93064	93055	93235	94185	55250	55915	56092	51831	51831	50882	50186	50559	50820
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-84370	-82337	-80220	-80242	-78161	-76215	-74185	-72451	-73346	-70377	-68952	-67025	-65878	-65878	-63958	-64465	-63124	-61612	-61612	-60649	-59339	-58515	-57249	-57249	-55890	-55280	-54248	-52904	-52931	-51575	-50255	-48999	-47841	-47841	-46718	-45538	-46840	-45688	-45688	-44391	-43496	-42257	-40956	-40956	-39851	-38603	-37892	-36473	-36473	-35014	-33853	-33919	-32354	-32354	-30399	-29932	-29473	-28290	0	-26855	0	-25540	-24885	-24813	-24232	-23578	-22922	-22154	-22154	-22252	-21016	0	0
