CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	116439	109202	109277	108849	104922	129348	114027	139695	139209	136689	128381	119618	129047	129140	129446	120750	101309	111275	111465	105012	99713	82367	102756	103880	86902	112458	91898	100039	100039	104034	124880	107532	115655	115323	110948	89558	90514	97152	96781	92074	119869	88321	92835	92835	116949	123156	91430	72936	73173	80377	92520	90391	68982	68626	67277	74199	91563	87339	105407	64445
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	38386	28936	25809	25809	4798	32738	18798	23802	26802	55473	55030	34178	33429	35429	46868	45324	48064	38618	40617	44384	33356	18211	30791	30791	17753	26288	19324	27285	27285	22199	30810	10706	15138	15138	17350	8505	2890	25261	1796	1184	28314	1586	9469	3969	990	3919	6411	2832	2832	4054	1778	2598	2497	2497	1485	2362	11499	852	837	907
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	21000	5000	5000	5000	5000	5000	2000	5000	2000	2000	2000	2000	2000	0	0	2000	0	2000	0	0	2000	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	28264	0	23465	5100	0	15700	0	5500	14500	30600	34500	11500	11500	0	0	5000	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	32009	40873	45305	44950	43445	38777	41162	25625	25575	35621	36515	35806	28509	28524	34633	36480	29243	35152	35179	34657	39330	29832	37239	38630	25860	38381	29308	29512	29512	27736	36197	25070	41087	40755	24646	26629	18987	19297	18925	22732	22518	21965	21444	21444	28913	22266	21810	26363	26600	31725	32497	34310	18231	17875	12661	21866	36737	30900	54681	35284
Hàng tồn kho###Inventory	24815	33789	32478	32561	50699	51519	49680	81411	81246	43057	34158	46190	62808	62808	47077	36531	23915	35226	35226	25656	24894	33695	34210	34210	43289	45676	42059	42227	42227	53041	57080	70989	58937	58937	67691	53393	39772	51772	51772	61462	67231	48307	61288	61288	71283	63808	28312	31985	31985	43894	56994	47223	47499	47499	52632	49190	43063	55141	47984	27617
Tài sản ngắn hạn khác###Other Current Assets	230	604	685	529	979	1314	2387	3857	3586	538	677	1444	2301	2379	869	415	87	280	443	315	133	628	515	249	0	113	1206	1016	1016	1059	793	768	493	493	1261	1031	601	822	822	1596	1806	763	634	634	1264	2564	396	256	256	704	1252	1259	755	755	500	782	264	447	1906	637
Tài sản dài hạn###Non-current Assets	15631	16559	17769	18341	18406	18163	19764	20478	21070	19410	18498	18814	18862	18862	18445	17075	17554	17025	16970	17056	18028	16510	17774	16001	15201	15144	15360	16059	16059	16082	15733	16456	17016	16385	14889	13986	14008	14757	14757	12424	11805	12217	12283	12317	10058	9957	9906	11586	11586	12110	12438	14387	14056	14476	14547	11824	12008	11500	12472	2186
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	11779	12704	13490	13773	14562	15313	16749	17453	16838	15519	14821	15396	15136	15136	14619	13253	13739	12923	12923	12842	13268	13033	12640	13302	12563	12474	12094	12798	12798	12223	11756	13119	13701	13070	11574	10670	10844	10372	11614	9281	8663	9075	9182	9216	6957	7195	7144	7108	7193	5768	6095	5953	6042	6042	6113	3498	3790	3281	4254	2186
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-36029	-37529	-36768	-36692	-35929	-35166	-33752	-33249	-33214	-33608	-33819	-33145	-32578	-32578	-32039	-31552	-31087	-30655	-30655	-30246	-29953	-29798	-29429	-29322	-29322	-29322	-28854	-27997	-27997	-27130	-27120	-26809	-25917	-25726	-24863	-25521	-25857	-25093	-25093	-24410	-23780	-23182	-22809	-22809	-22663	-22129	-21559	-20999	-20999	-20517	-20026	-19552	-19095	-19095	0	-18147	-21937	-21598	-20243	-18586
