CAN DOI KE TOAN	 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Tài sản ngắn hạn###Current Assets	414667	418995	444517	439511	489496	568365	577640	601131	603255	613806	400828	421712	434358	434642	451041	454011	495829	522680	522480	550484	588966	548006	524653	525048	496505	467929	468854	428910	470896	408373	381720	413846	354750	415417	412948	384843	351174	258107	352957	318837	316658	291311	179025	179025	254535	235177	226457	123791	123791	36374	52551
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	5605	739	1850	1860	699	1737	8381	36239	6239	15426	8925	8008	4966	4966	1905	3626	2380	2709	2709	1771	6019	3637	2536	2608	7554	11652	10351	11652	10372	5809	27492	17717	5809	5806	49398	21992	4507	15810	15817	4128	12932	5782	35428	35428	5795	6742	27241	24598	24598	3923	2878
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	93	0	99	117	80129	110151	110030	140129	180129	131	1400	1500	1500	1602	1604	2149	2067	2067	2267	2390	2519	2701	4544	4971	6496	9856	4611	6625	1725	4780	1675	3930	5815	16025	5295	4945	5320	5320	10079	14529	34295	6107	6107	5587	9140	12232	8225	8225	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	218417	269007	290136	285222	264421	251647	265804	293056	288368	262907	219104	241569	257189	255533	281796	272576	300472	306588	307088	330061	332305	319525	262364	260882	257678	252654	250547	215519	252699	269017	188109	223374	213189	271072	185914	177721	195147	106833	197098	175782	162682	161471	50629	50629	159924	153768	141157	68702	68702	20922	28750
Hàng tồn kho###Inventory	189752	148986	152531	149763	215384	230502	182775	161806	161806	148390	164440	162843	164164	166104	158344	169149	183280	204847	204241	210825	240740	214122	242231	242231	211031	183697	182582	183697	186483	122824	145273	160978	122824	123669	151203	167553	132226	122774	126308	125114	121191	81873	82165	82165	79858	58180	39711	15963	15963	11347	19441
Tài sản ngắn hạn khác###Other Current Assets	892	170	0	2567	8874	4350	10528	0	6713	6953	8229	7892	6539	6539	7394	7055	7547	6470	6375	5560	7513	8202	14821	14783	15270	13430	15519	13430	14717	8997	16066	10102	8997	9056	10408	12282	14349	7371	8415	3735	5323	7890	4696	4696	3371	7348	6116	6304	6304	183	1482
Tài sản dài hạn###Non-current Assets	67593	87294	131428	83339	71231	63654	56712	53860	53860	56137	59713	57966	58446	57811	60603	64176	67702	73060	73608	87074	87764	93642	96375	96292	110866	128573	127072	167592	135488	110304	165099	103232	164542	79299	81637	86242	95269	163573	98931	80049	79552	85768	126883	126883	66138	66707	54626	121775	121775	15692	86072
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39019	0	0	47705	0	54238	0	0	0	0	66463	0	0	0	0	69014	69014	0	0	0	69014	69014	0	25977
Tài sản cố định ###Fixed assets	24069	30708	26527	31709	31821	27548	25718	22811	22811	25331	28351	30639	33650	33650	36663	39926	42738	47473	47493	54543	55059	57873	62439	62439	66506	76300	71203	76300	76300	83658	74510	78583	83658	53332	54375	57289	59790	62497	62463	37425	39821	50993	42591	42591	45942	52721	51525	50558	50558	9595	57699
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-135931	-129732	-69047	-128247	-126387	-126595	-124246	-122650	-122650	-122271	-119251	-116274	-113263	-113316	-110303	-107822	-108629	-108238	-108218	-101168	-102526	-99364	-94701	-94704	-99273	-90551	-95803	-90551	-90551	-81662	-90576	-87117	-81662	0	0	0	0	-61463	0	0	0	0	-51623	-51623	0	0	0	-35238	-35238	0	0
