CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q2 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	2579849	2346463	2136161	2151222	2210988	2194394	2083981	2258571	2259667	2254031	2128387	1766955	1792002	1809664	1617091	1929875	1295556	1262865	1262861	1223019	1418050	1029683	796770
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	872581	684594	809012	808985	755386	592856	223327	423994	426423	466763	361782	198654	83509	86498	83868	378386	146882	111350	111350	104624	106470	49800	13547
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1273971	1251282	907804	923639	1020830	1147221	1249291	1361978	1296373	1190762	1066559	972019	1142636	1122196	1071148	1062148	809717	818163	818030	639074	703263	454063	318812
Hàng tồn kho###Inventory	397757	372864	371398	371942	384986	404616	510265	440495	466099	556537	681243	574128	537517	552009	410042	435705	315456	325792	326521	470198	587111	465363	428107
Tài sản ngắn hạn khác###Other Current Assets	35540	37723	47947	46656	49786	49701	101097	32105	70772	39969	18802	22153	25340	48960	52032	53635	23500	7560	6960	9123	21207	60457	36304
Tài sản dài hạn###Non-current Assets	528188	323825	312379	312778	302485	269616	244300	62288	44859	48490	51272	39069	30923	49869	28896	29907	30602	32152	32800	33057	40218	47412	47450
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	490961	284440	274063	274063	246588	217500	226158	43309	43233	36074	36956	36665	27966	26910	27106	27967	29200	28584	28571	30356	32119	32914	30526
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-135775	-119601	-105593	-105592	-93133	-82127	-71967	-63665	-65030	-63263	-61638	-59845	-58799	-58989	-58156	-57377	-56163	-54928	-54941	-52581	-50098	-47044	-45926
