CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	992859	1013675	1063241	1089523	1166572	1079618	1812349	2049385	2081709	1931786	1842192	1845867	1781821	1834223	1626778	1669107	1787717	1566661	1682914	1612685	1504035	1206714	1271035	1250675	1311064	1273591	1319941	1750936	1563089	1574881	1545926	1435052	1852543	1676200	2208390	2391481	2035719	3003349	2867639	1976600	1755805	1304851	1003858	1027206
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	37587	88571	53922	299715	316061	43473	439302	500119	500014	398346	394254	502690	411387	427447	388635	308356	337864	313950	23816	19169	13120	23575	34543	5336	13824	41067	41750	86014	84712	64640	59556	75033	399752	399149	164582	170114	203607	833540	833570	175349	124595	130293	105923	85168
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	184287	196377	246377	204	204	190204	1066	1066	1066	1066	1066	1066	1066	1066	1066	1066	1066	1066	290401	1882	1882	1882	2455	22714	21854	4749	10755	16604	4749	4644	15916	3629	15483	3629	3336	15191	3182	24570	2658	3111	21124	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	426646	364309	399716	421514	395476	368338	383665	344448	408288	579573	582429	506041	569838	709118	645457	786196	675998	494470	535487	594798	557305	371644	618229	389602	404953	614325	458314	673609	618954	575834	580676	497782	577918	422242	555438	713122	627574	885254	950574	816031	895674	837808	572281	544046
Hàng tồn kho###Inventory	295011	306372	308921	309075	396472	409707	916272	1123627	1114646	867606	777130	756619	723578	634460	548035	522953	724081	699633	650068	816973	868799	656004	563803	659005	673316	566613	650182	847132	707329	798716	750778	712688	720758	706879	1320958	1350681	1105393	1119415	953426	899579	580330	288870	279026	306021
Tài sản ngắn hạn khác###Other Current Assets	49328	58046	54305	59016	58360	67896	72044	80124	57695	85195	87314	79451	75953	62132	43585	50536	48709	57543	183143	179863	62928	153608	52005	174018	197116	46837	158940	127577	147345	131048	139001	145920	138631	144301	164076	142373	95964	140571	127411	82530	134082	47880	46628	46970
Tài sản dài hạn###Non-current Assets	1287216	1285643	1309987	1279086	1348125	1325760	882054	856641	867430	851316	788508	769979	747511	780536	737056	695824	776076	781354	751054	806414	792898	832716	868190	776466	754266	780467	657845	433575	439701	433938	417061	389151	371815	389856	385002	393296	397831	381811	469724	460714	620185	685169	580035	501509
Các khoản phải thu dài hạn###Long term Account Receivable	3	3	8582	8579	8679	8682	8579	8582	11640	11748	8582	3	6	3	3	6	3	3589	3	3709	4490	0	4594	0	0	25536	0	0	173	143	0	0	0	3656	3456	0	3456	0	3450	5066	0	1803	1635	51065
Tài sản cố định ###Fixed assets	518105	524590	534484	513615	509793	523554	530471	536358	514985	28551	21384	34672	35298	35374	34728	35205	35837	37725	35447	37922	38791	40629	41736	41536	42463	43561	44275	285540	45194	49497	50640	50729	203028	230678	230792	225769	239456	66636	310142	289064	434585	205454	177562	191478
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-45383	-38876	-33481	-31054	-32223	-27087	-20856	-15061	-15108	-14372	-14135	-22115	-22419	-21614	-21071	-21403	-20191	-25333	-23257	-23620	-23561	-24135	-24037	-23308	-22480	-22383	-20829	-20724	-19990	-22185	-22446	-20407	-20615	-20442	-20117	-29009	-28603	-28057	-26846	-22239	-21799	-25043	-39114	-35418
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3321	-3223	-3124	-3124	-3033	-2941	-2849	-2757	-2710	-2630	-2573	-2482	-2390	-2390	-2310	-2230	-2149	-2069	-2069	-1989	-1909	-1829	-1749	-1749	-1649	-1579	-1489	-1409	-1409	-1309	-1239	-1148	-1068	-1068	-968	-898	-808	-728	-748	-668	-616	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58144	26604	34767
Bất động sản đầu tư ###Real Estate Investment	24520	24909	26159	17253	25362	25443	18248	18579	18579	18911	19242	6067	6181	6105	6256	6483	6559	6710	8927	9078	9273	9491	9709	9709	9926	10144	10361	10579	10579	10368	10576	10783	10996	10996	11208	11421	11633	11846	11736	15263	15575	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1636	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	1639	24000	24212	25973	24000	27573	32165	120769	122150	122681	122681	123171	122671	122681	124975	124675	124675	124675	138257	139761	139761	129699	123693	131952	123885	123894	123870	129106	137852	190436	222604	211735
Tài sản dài hạn khác###Other long term assets	10412	11319	12261	20862	23377	16128	50568	19390	51707	50537	11090	12353	13164	23247	6145	5348	6202	3603	3903	4259	3227	8389	4521	9385	35024	6893	12401	12782	12982	14292	15395	16917	18030	14827	15853	24153	19400	23795	20526	22215	32172	17697	8065	12465
