CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	161350	150615	152735	101307	135829	125068	123652	102536	102536	62487	48392	67184	87075	81904	47997	50826	50349	28779	47508	4490	4546	3717	3780	3931	2875	2926	4933	5225	7869	7955	7997	10906	10898	9232	14319	14580	18129	17367	17920	15709	14888	14158	14419	19841	27636	23264	39643	16307	25198	9526	5361	6648	5684	5684	4076	404
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	6119	16441	4776	4776	75731	47285	37870	3966	3966	292	351	411	10682	10682	2016	365	2070	2551	2551	40	13	23	8	8	27	27	74	7	7	31	14	482	91	91	22	98	48	76	76	221	65	1056	18	18	813	977	5642	561	598	629	1428	276	199	199	32	18
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	57596	60289	72296	22168	19110	19110	23725	23725	23725	731	1714	1051	1784	1784	3483	3239	3714	3694	22694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620	14891	3243	4521	255	255	403	403	403	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	76734	36027	35192	33891	559	400	1003	31289	31289	61384	46320	65685	72530	67359	40233	36141	19063	22391	22120	4307	4389	3689	3767	3923	2847	2899	2332	5218	5101	5101	5101	7016	7399	5730	10872	11062	13199	12887	12887	10748	10047	8287	9622	15157	15146	11248	6696	6375	14210	6631	3315	4173	3584	3584	3949	46
Hàng tồn kho###Inventory	20745	37811	40421	40421	40413	58273	60883	43383	43383	0	0	28	2055	2055	2047	10859	24999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	519	519	519	519	612	612	651	3497	3306	5468	1392	1521	95	108	232	0	0	0	0
Tài sản ngắn hạn khác###Other Current Assets	155	48	51	51	16	0	170	172	172	80	6	9	23	23	218	223	503	143	143	143	143	5	5	0	0	0	2527	0	2762	2823	2883	3407	3407	3411	3426	3421	4362	3885	4438	4221	4256	4203	4167	4015	8179	7112	6946	4736	4349	1916	256	1564	1498	1498	95	341
Tài sản dài hạn###Non-current Assets	5373	5365	2755	52755	2835	2706	3	0	0	14811	33831	33731	33731	33731	33731	33679	33679	33679	17179	17179	17179	22184	22206	22206	21922	21947	21971	21995	21995	22027	22058	19870	19966	19477	19624	19675	34267	34754	34754	35367	35853	36523	36732	31993	31728	31364	23776	23648	23623	10934	10751	10579	10646	10646	737	1501
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	50000	80	80	0	0	0	133	153	53	53	53	53	0	0	0	2500	2500	2500	7220	7220	7220	10220	10220	4720	10220	4720	4720	4720	4720	4770	3977	4077	4077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	307	307	332	356	380	404	404	429	453	779	826	826	873	924	19593	7865	20079	20566	21052	21722	10374	17192	16923	16628	14565	14538	14522	1818	1635	1702	1769	1769	720	1501
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-635	-613	-613	-588	-564	-540	-516	-516	-491	-467	-1019	-973	-973	-925	-910	-1839	-1674	-1674	-1509	-1344	-1179	-1014	-2020	-1604	-1865	-615	-523	-519	-452	-386	-319	-252	-252	-119	-91
