CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	563884	590251	619829	609419	606089	656879	684906	634312	628925	653036	673740	573554	509764	504637	572495	546611	392018	465492	467368	396713	504261	398238	383842	369430	304891	324434	364390	382063	381792	229884	216488	176017	208101	204034	171134	235095	185108	187498	217576	145334	156546	140773	138171	223668	151923	160217	153743	170242	182562	177432	105805	78671	81556	79934	80454	102183	102798	137237	122750
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	45048	21361	78804	78285	73829	33708	73785	62430	62755	57072	71655	45190	74014	88411	120325	117341	82509	149245	150992	72463	125799	45809	75417	35569	38375	19344	30664	151788	142139	48469	13040	5480	51045	60162	16639	28825	10090	21991	22795	10622	10394	16068	32263	38305	27593	29703	54381	75346	20729	94105	26277	9359	7749	16261	9579	10696	9493	12035	8663
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66761	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	34629	44339	39308	38784	44627	80514	83979	90599	97209	70297	54858	57418	56782	53211	132299	80462	25684	34105	12725	27046	39114	39161	25892	69045	30502	46284	144864	48709	66082	33047	27994	19978	26488	30443	26921	31509	29609	23588	85753	35284	38893	35836	25770	120251	56848	68541	47447	38143	35479	35886	27622	20259	26843	22185	26163	32514	32172	29617	39940
Hàng tồn kho###Inventory	483287	524550	496003	492350	487634	541262	527142	476670	468961	525667	536798	441523	348503	350587	306553	334401	264795	266620	298597	293838	331986	307149	257562	259534	229575	237634	188198	180594	173375	148114	159279	150104	130269	112930	126520	165837	138405	134929	102042	92526	95171	81053	68783	64330	66529	60939	51088	56339	59073	46445	51009	48011	46251	40767	43855	57882	59967	95058	73061
Tài sản ngắn hạn khác###Other Current Assets	920	0	5714	0	0	1396	0	4612	0	0	10429	29423	10465	12429	13317	14407	19030	15521	5054	3366	7362	6118	24971	5282	6440	21172	664	972	196	253	16176	455	299	500	1053	8923	7003	6989	6986	6902	12088	7817	11355	782	954	1033	827	414	519	995	897	1042	713	720	857	1091	1167	527	1086
Tài sản dài hạn###Non-current Assets	602839	607923	613187	607863	630336	656341	670021	700729	700425	715337	738656	726480	727430	696937	526324	522937	525320	540654	522591	542547	565107	539563	547940	529465	509273	456729	281934	273657	269537	278343	284668	289647	282997	275677	276315	275245	272986	283485	273268	265448	236450	199817	202162	93301	73269	59119	65542	69458	59893	49931	51464	54496	57126	57624	62133	66656	69260	73259	57186
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	545612	560852	587901	586441	594272	618286	643535	671307	675620	683901	714486	414374	433629	434976	458723	480724	489005	506649	499009	527055	553449	199126	251934	240816	242177	248428	253027	267717	256987	267188	272339	282148	275499	268625	268260	266967	272887	30804	272665	264844	236444	199213	43238	92395	72363	57911	65529	56627	59880	49918	51464	54444	57074	57596	62105	66628	69232	73220	57499
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-817073	-784595	-754679	-759910	-729182	-698630	-667595	-637635	-637472	-612348	-577635	-552884	-528094	-533720	-508490	-480011	-458575	-434736	-451816	-423103	-382645	-349211	-339254	-338692	-324766	-316857	-306354	-295302	-294393	-284191	-271895	-262508	-253172	-256958	-248511	-238204	-232923	-223965	-224619	-220188	-215492	-211000	-206521	-206417	-201961	-197486	-193207	-188571	-188760	-184362	-180535	-176410	-172464	-176036	-171677	0	0	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	28	28	28	28
Tài sản dài hạn khác###Other long term assets	12833	8802	8182	8828	19504	21496	14962	12863	14422	23281	20433	7953	8152	0	279	3604	2162	2970	2970	3342	3713	4084	4456	4456	4827	5186	6746	5941	6697	6697	7836	7498	7498	7052	8055	8278	99	99	604	604	6	604	607	906	906	1208	13	1806	13	13	0	24	24	0	0	0	0	11	273
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1166723	1198174	1233016	1217283	1236425	1313220	1354927	1335041	1329350	1368372	1412396	1300034	1237195	1201575	1098818	1069549	917338	1006146	989958	939260	1069368	937801	931782	898896	814164	781163	646324	655721	651329	508228	501157	465664	491099	479711	447449	510339	458094	470982	490844	410782	392997	340590	340333	316969	225193	219336	219285	239699	242455	227362	157269	133166	138683	137558	142587	168838	172059	210496	179936
Nợ phải trả ###Liabilities	482799	490668	533954	570396	647522	722648	691572	700813	693976	765735	867438	725528	696702	666486	608917	633175	487673	619488	602338	616038	775814	623613	642019	608765	542483	526769	393177	414787	394829	365240	359072	337692	368555	357927	331205	400833	343114	356529	370900	298185	282291	216136	220012	193670	106533	105042	94291	121071	110534	103931	96350	69529	79380	72893	85882	117774	125525	159626	133295
Nợ ngắn hạn###Short term Liabilities	460097	463711	524124	541019	597601	688150	571488	671625	560875	565777	672480	481151	530558	436927	380187	508167	250584	462732	358210	302222	504359	313048	384388	311689	267757	306439	217888	296619	253214	225155	285132	232819	271172	238687	212149	277259	226648	248652	241944	197390	193770	127992	147671	109709	92343	89087	78341	109954	92391	91309	85551	54472	66784	56399	68319	98715	103541	135840	124092
Nợ dài hạn###Long term Liabilities	22701	26957	9831	29376	49920	34498	120083	29188	133102	199957	194959	244377	166144	229559	228731	125009	237088	156757	244128	313816	271455	310565	257632	297076	274726	220330	175289	118168	141615	140085	73940	104873	97383	119240	119056	123574	116466	107877	128956	100794	88521	88144	72341	83961	14190	15955	15949	11118	18143	12622	10799	15057	12596	16493	17562	19059	21984	23786	9202
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	683924	707506	699062	646887	588903	590573	663355	634228	635374	602638	544958	574506	540493	535089	489901	436374	429665	386658	387621	323222	293554	314188	289763	290130	271681	254394	253148	240933	256500	142987	142084	127972	122544	121784	116244	109506	114980	114453	119944	112598	110705	124454	120321	123299	118659	114294	124998	118628	131921	123431	60919	63637	59303	64666	56706	51064	46534	50870	46642
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	13017	13017	5816	5816	5816	5816	5816	5816	1095	5816	5816	5816	5816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	197	86	0
Vốn chủ sở hữu ###Owners equity	670907	694489	693246	641071	583087	584757	657539	628412	634279	596822	539142	568690	534677	535089	489901	436374	429665	386658	387621	323222	293554	314188	289763	290130	271681	254394	253148	240933	256500	142987	142084	127972	122544	121784	116244	109506	114980	114453	119944	112598	110705	124454	120321	123299	118659	114294	124998	118628	131921	123431	60919	63636	59303	64664	56704	51063	46337	50784	46642
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
