CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q2 2010	 2009	Q4 2009	 2008	Q4 2008
Tài sản ngắn hạn###Current Assets	628624	597825	564974	587869	505380	391418	586011	537294	543972	534448	447710	329279	344978	344978	254702	215227	211583	189619	189619	181547	157637	138937	140501	141220	141564	132850	132312	156374	151464	154312	157379	161501	165740	167897	163142	143213	40892	30894	30846	26581	22686	23638	29322	29322	79622	77812	93598	110759	111194	111637	178804	178804	186305	186305
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	90106	120790	197991	197991	158095	92340	104040	86496	86496	43704	48449	41027	33931	33931	42252	47608	65821	50762	14462	39511	25321	47414	35399	35399	30175	33740	10298	20565	20565	13575	20395	21222	14755	14755	4538	17137	9051	1201	1201	2337	276	51	684	684	4753	5775	1480	11302	11302	21609	13570	13570	179	179
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	39937	29500	0	0	10000	0	0	0	0	0	0	3304	3304	3304	95	5778	8095	8267	44567	8242	17242	40042	51870	51870	67268	67268	88268	88000	83000	77400	77400	85400	93400	77635	109000	90000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	196822	204842	152309	151867	125172	107611	107871	105657	112336	109481	93620	91648	90253	90253	67128	49636	51630	52851	52851	68690	58109	38447	37857	38572	25700	19812	29169	41305	40082	47632	52549	51421	55184	55184	39487	28497	25496	24248	24414	19534	19463	20599	25851	25851	25540	23519	23115	29729	28583	25130	106405	106405	107721	107721
Hàng tồn kho###Inventory	298421	242428	214675	238011	212114	191467	372349	345140	345140	376470	303670	193300	217490	217490	144443	111095	86037	77739	77739	65104	56965	13033	15375	15379	18020	11354	4578	6504	6504	14211	5354	1571	1072	3629	9755	7304	5742	5047	5067	4442	2946	2787	2787	2787	49323	48512	57288	47130	47565	62392	58829	58829	78399	78399
Tài sản ngắn hạn khác###Other Current Assets	3338	266	0	0	0	0	1751	0	0	4793	1970	0	0	0	784	1109	0	0	0	0	0	0	0	0	401	677	0	0	1313	1494	1681	1886	1329	16695	361	275	604	398	164	268	0	201	0	0	6	6	11715	22599	23745	2505	0	0	6	6
Tài sản dài hạn###Non-current Assets	75646	76659	77676	53786	73086	69005	11841	11675	4996	6024	5915	62098	6223	6223	9598	8758	8711	6225	6225	7371	5450	23975	22761	22798	22794	22924	23144	4947	9947	11590	11732	6672	5787	3230	5993	26228	141463	141699	141699	141980	144762	145044	145326	145326	145669	8238	8814	8606	8171	8916	9676	9676	8536	8536
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	18018	14246	6679	6679	0	0	0	0	0	0	0	0	0	0	0	774	0	18346	18346	18346	18346	18346	18346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	4801	4870	4944	4944	5945	6057	1499	1564	1564	4216	1694	1759	1825	1825	1891	1814	1746	1803	1803	1888	1106	1177	114	114	143	172	200	239	239	299	363	3495	3053	497	993	1228	1463	1699	1699	1980	2262	2544	2826	2826	2998	3173	3579	2827	2827	3287	3760	3760	4569	4569
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-2135	-2179	-2105	-2105	-2507	-2779	-2619	-2554	-2554	-2489	-2424	-2359	-2293	-2293	-2227	-2166	-2112	-2055	-2055	-1969	-2111	-6652	-6623	-6623	-6595	-6566	-6538	-6499	-6499	-6439	-6375	-6308	-6241	-6409	-5913	-5678	-5442	-5207	-5207	-4925	-4643	-4839	-4557	-4557	-4385	-4210	-3804	-3418	-3418	-2932	-2435	-2435	-1409	-1409
