CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	1689179	1660890	1439076	1492174	1516593	1361180	1301595	1037991	1236991	791635	817295	799865	816166	816270	950613	984147	937967	999922	1001422	749803	713185	718256	723328	723328	742305	748180	722952	708776	766406	898242	916671	865268	860317	867341	678151	724404	667445	625021	619201	565580	551845	296283	196495	196495	272536	291650	336976	374658	374517	380245	386269	357855	343589	343569	353392	306730	229779	187929	144299	170805
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	48415	44655	80117	80117	29882	19012	92142	114445	114445	38496	51034	108412	126796	126796	258645	530032	456496	434371	436371	228507	228120	252506	279976	279976	303755	285128	265395	266378	266378	279955	275069	248335	239089	239089	148884	171108	111900	92063	92063	29669	39838	83752	34837	29837	7927	31085	22697	5802	5802	16062	22691	27567	27536	29536	34761	40569	23258	24584	15507	26324
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1266000	1316000	1083500	1083500	943500	940428	840428	598490	797490	368490	305000	280000	260000	260000	240000	0	20000	27000	26500	25000	50000	40000	40000	40000	5000	5000	5000	5000	5000	0	0	0	0	0	0	12000	12000	12000	12000	27500	27500	22500	22500	27500	137628	110837	154900	205500	205500	231000	244357	204857	198927	183427	153557	132257	74385	57935	40000	15000
Các khoản phải thu ngắn hạn###Short term Account Receivables	173446	93798	69944	122394	129128	112162	82813	37680	37680	47897	120207	25094	22919	22919	40091	73105	74954	110344	110344	98395	64751	68131	85382	85382	59204	90713	85397	91153	91605	117927	132185	120003	141919	141271	94925	138624	129604	122287	115404	71280	88536	140881	103854	103854	92839	121442	102324	123654	123637	74113	68318	65110	67588	81068	71458	90636	83091	75543	38382	56866
Hàng tồn kho###Inventory	191441	197152	196375	197023	405522	281547	276797	278047	278047	319483	323248	367676	383286	383286	406843	380766	386261	427949	427949	397655	370100	357399	313696	313696	373498	365242	362915	343862	396940	494450	503498	492781	477758	477967	413378	397206	411225	398298	399362	433046	395508	48067	32826	32826	33714	27984	55511	39424	39424	58500	50339	59006	48908	48908	65415	38397	44375	29593	49794	70577
Tài sản ngắn hạn khác###Other Current Assets	9877	9285	9140	9140	8561	8030	9413	9329	9329	17270	17806	18683	23165	23268	5034	243	257	258	258	246	214	219	4274	4274	847	2096	4245	2383	6482	5910	5920	4150	1551	9014	20964	5466	2716	372	372	4085	463	1082	2479	2479	428	302	1544	278	154	571	564	1316	631	631	28201	4871	4670	274	615	2037
Tài sản dài hạn###Non-current Assets	377913	375601	659569	639663	889242	872810	895305	552557	353557	350751	350041	430829	428255	428255	414789	362887	378749	375136	373636	363231	370780	379586	382455	382455	369435	364164	521870	405253	348500	247836	250269	253169	252044	248514	249863	198392	207588	209224	220652	224375	230532	526815	523595	530426	512755	462534	454268	448224	449232	443628	437905	434129	422597	421696	359223	359621	364911	380032	278998	282789
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13176	15323	15655	14259	14259	15458	20458	20195	0	0	0	0	0	0	1335	1335	1335	7420	8607	20291	20787	23167	14341	32908	32908	32698	20115	14026	12963	12963	13916	15709	15728	19599	19599	25539	34970	46589	61401	63743	55247
Tài sản cố định ###Fixed assets	5385	5725	5955	4655	4913	5132	5439	5715	5715	5716	6017	6318	6619	6619	6884	7185	7486	10095	10095	9353	9689	10090	9458	9458	8816	7604	59708	61117	61117	62520	64039	65490	67749	69688	69648	8323	8778	8972	9658	9925	9737	344869	50612	313582	296122	258934	256307	61553	250785	246479	235431	231114	214832	214832	233937	225019	218690	218999	151736	66841
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-15041	-15297	-14960	-11130	-10874	-10601	-10292	-9976	-9976	-9675	-9377	-9079	-8781	-8781	-8546	-8336	-8038	-14032	-14032	-13563	-13690	-13292	-12902	-12902	-13033	-13604	-42999	-41593	-41593	-40194	-38953	-37504	-36074	-34136	-33200	-13106	-13465	-13144	-13144	-12819	-12499	-90868	-87786	-87786	-86004	-82439	-78959	-75497	-75497	-72402	-68854	-65315	-61721	-61721	-58344	-54232	-51255	-48466	-36121	-25072
