CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	36103	29679	36116	36108	42418	41773	30162	29964	29964	41515	38210	31620	29655	29652	47552	38262	31590	31019	31019	39776	43206	28872	29753	29753	39365	36605	32077	30376	30376	38061	40828	33248	30111	30115	40549	40166	32332	31332	30838	45589	41202	36089	36923	36923	55495	44806	43276	43630	43630	56903	44608	37066	37061	37078	47466	40325	34642	28648	28657	43095	34672	28996	24489	24467	31356	24530	15545	12874	12874	11508
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3405	659	3442	3442	6115	1615	3106	2214	2214	1811	1873	3432	4262	4262	9309	3501	3731	8927	8927	3597	2092	2015	6789	6789	5932	1581	840	3147	3147	3835	1549	1742	5728	5728	2669	1374	623	2344	2344	2948	2129	793	1682	1682	2140	1271	1853	2398	2398	3323	1464	469	989	989	1594	732	829	749	749	2047	1204	1509	1559	1559	2542	262	200	21	21	644
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2000	6000	12000	12000	10000	8000	6000	8000	8000	8000	2000	2000	2000	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	20516	10865	8184	8184	20665	23691	14039	10503	10503	22708	21058	14017	11379	11379	28651	22475	13200	10973	10973	24590	25191	12733	9957	9957	22922	19546	13370	9993	9891	22481	20416	12950	10342	10342	26552	21173	12605	12562	12534	26209	20525	12061	11980	11980	28554	18424	15447	17248	17248	35317	20163	13905	14085	14102	31127	20521	13798	11617	11626	24277	17025	14967	13216	13193	20670	14295	7549	5581	5581	2291
Hàng tồn kho###Inventory	9409	11340	11617	11617	5081	7790	6303	8548	8548	8191	12449	10975	11213	11213	9154	11649	13842	10535	10535	10860	15175	13023	12244	12244	9630	14585	16805	16290	16290	10831	17975	17190	13147	13147	10257	16266	17315	14994	14994	15236	17376	22146	22167	22167	23640	23870	24526	22723	22723	17543	22088	21926	21240	21240	14361	18362	18984	15707	15707	16387	16007	11972	9530	9530	7946	9768	7588	7126	7126	4502
Tài sản ngắn hạn khác###Other Current Assets	774	814	874	866	558	678	715	698	698	804	831	1197	800	797	437	636	818	584	584	729	747	1101	763	763	881	893	1061	947	1049	914	888	1365	894	898	1072	1353	1788	1431	966	1197	1171	1089	1095	1095	1161	1240	1450	1261	1261	721	892	766	746	746	384	709	1030	574	574	384	436	549	185	185	199	205	208	145	145	4071
Tài sản dài hạn###Non-current Assets	15548	14147	7071	7152	6327	6524	6732	6597	6597	6812	6818	6730	7053	7083	7070	7706	7576	7892	7892	7301	6199	6981	7724	7724	3915	7958	10143	10827	10827	8811	9588	9825	9790	9790	6166	6180	8271	7884	7884	6342	9464	11781	12751	12825	8838	12520	10862	11857	11857	9009	11439	10453	10847	10869	9360	12319	14416	14789	14789	11485	15185	12805	11088	11078	11244	1545	3234	3250	3250	36
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950	950	950	950	950	950	0	950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	11600	11387	3424	3424	3461	3498	3535	3572	3572	3572	3646	3683	3720	3720	3720	3801	3841	3881	3881	3881	3962	4002	4042	4042	4042	4219	4329	4404	4404	4404	4623	4732	4842	4842	4842	5060	5189	5308	5308	5390	5589	5738	5887	5887	5995	6149	6302	6472	6472	5206	5339	5475	5516	5516	5241	5337	5441	5488	5488	4994	5062	5164	4623	4613	4612	13	19	27	27	36
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3812	-3762	-3725	-3725	-3688	-3651	-3614	-3577	-3577	-3577	-3504	-3467	-3429	-3429	-3429	-3349	-3308	-3268	-3268	-3268	-3188	-3148	-3107	-3107	-3107	-2931	-2821	-2706	-2706	-2706	-2488	-2378	-2269	-2269	-2269	-2050	-2122	-2003	-2003	-1904	-1706	-1557	-1407	-1407	-1260	-1106	-952	-1350	-1350	-1171	-1039	-832	-878	0	0	0	0	-575	0	0	0	0	-259	0	0	0	0	-214	-214	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1856	2587	2587	2669	2849	2849	2948	2948	2948	3058	3058	3138	3138	3168	3168	3168	3168	3168	3168	3168	1168	1168	1168	1168	1151	1151	2118	1168	2118	1725	1125	1165	1165	1165	998	998	928	928	928	871	871	762	762	836	886	886	1039	1039	1039	1124	1644	1600	1600	1623	1715	1715	1365	1365	1365	1013	1013	1013	824	824	951	824	826	582	582	0
