CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	581049	541468	543581	524815	411039	427267	382943	443922	437269	426864	445224	425688	449493	429955	460957	477599	372387	384294	317999	319599	344716	296919	356030	398172	382310	357526	259050	264997	260866	279211	237672	248396	225382	267950	282552	256745	299059	287686	287644	251070	249032	242924	246955	207327	192605	229034	202902	212652	173738	201487	194988	235810	225746	227667	240396	166898	153529	120827
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	30387	34743	31784	33102	27229	42843	34307	45956	48213	35166	46019	55639	68167	67925	45002	43288	33194	40535	22217	15994	19367	17528	43598	43598	14395	17594	9188	12489	12489	5120	13212	15055	14244	18857	18679	12768	5659	16906	16906	8887	9574	5438	8948	7075	3941	8065	6838	10277	9606	2686	3164	18662	6165	6165	3785	7273	4297	3727
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	52768	49838	50318	49000	49000	37136	35000	37181	35000	35000	36516	35000	37417	37641	38000	40680	18000	21011	38443	0	4549	0	5876	0	766	6055	1002	1061	1061	1017	999	1002	742	0	706	847	813	686	686	839	1062	655	788	788	619	851	975	1105	1105	1287	1279	1475	1590	1590	1179	904	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	155008	161798	157052	149231	140232	163528	170433	178819	180331	174687	176121	185707	157849	159626	183485	188485	168489	139325	106065	136301	128928	124484	114254	172353	147775	99026	74029	65129	65035	79829	86138	84640	76946	95280	111505	118395	122901	109904	109788	107710	121279	103291	101707	88962	87751	96976	82080	83363	70954	84324	78754	80472	70816	70816	76314	45881	65603	49514
Hàng tồn kho###Inventory	327896	282403	290676	279794	185329	174644	135570	174022	165702	173013	179035	143979	180418	159471	187676	196676	150558	178938	148258	163772	187400	151702	187866	177674	204556	228126	162328	173961	170087	178582	126420	131904	122850	141730	140629	113845	154795	146087	146087	121844	104318	121061	125658	102131	92271	112001	102900	110006	85287	104319	103389	126464	137789	139710	147547	104090	80282	64075
Tài sản ngắn hạn khác###Other Current Assets	14989	12685	13752	13688	9248	9117	7633	7945	8023	8999	7533	5363	5642	5291	6795	8470	2146	4485	3016	3532	4473	3205	4436	4547	14817	6726	12502	12356	12193	14663	10904	15796	10600	11340	11034	10889	14891	14102	14176	11789	12799	12479	9855	8371	8024	11142	10109	7902	6787	8872	8402	8738	9387	9387	11572	8750	3347	3511
Tài sản dài hạn###Non-current Assets	163954	166837	170403	175000	183443	180057	176489	173473	166293	167127	172618	160126	167550	161238	163484	184364	157097	147560	123416	121151	106171	106736	94263	41929	55854	56275	57112	51334	51334	47438	49357	50007	50992	53132	53010	50037	52884	54664	54664	55297	56123	55277	45535	43373	42042	42092	43312	43689	40495	40726	39087	39318	39130	39130	39350	37647	41603	42298
Các khoản phải thu dài hạn###Long term Account Receivable	4778	4550	3777	14071	23807	13108	13485	2479	1076	1478	3931	338	2142	238	230	10512	230	330	230	230	230	230	230	326	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	77181	80384	83386	83386	81156	83610	86972	89476	89476	87854	90420	91264	93850	93850	95933	101697	64470	65814	27136	25644	26710	26614	27378	27378	27380	27685	28613	29573	29234	29234	31028	31983	32918	48071	48331	32214	49070	50192	50580	51455	52036	47780	33922	21719	24102	38078	38643	36928	22462	36666	34652	35019	34633	34633	34732	18969	36024	36193
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-99816	-96704	-93557	-93557	-90455	-87643	-84353	-81074	-81074	-78952	-76030	-72955	-69965	-69965	-68823	-71640	-49935	-48178	-28592	-27116	-26159	-25200	-24249	-24249	-23596	-22696	-22062	-21168	-21168	-21168	-19520	-18640	-17761	-36069	-34643	-17127	-33410	-31930	-31930	-30431	-28951	-27789	-26785	-12418	-11648	-25575	-23717	-23135	-10903	-22483	-21108	-20159	-19168	0	-18615	-6981	-11014	-7620
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-537	-506	-474	-443	-443	-411	-379	-348	-316	-316	-316	-253	-221	-190	-682	-605	-126	-453	-376	-376	-300	-224	-179	-134	0	0	-45	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-2401	-2310	-2197	-2197	-2085	-1978	-1873	-1768	-1768	-1654	-1571	-1489	-1408	-1408	-1303	-1196	-1089	-979	-840	-742	-664	-586	-563	-563	-539	-515	-492	-468	-468	-468	-421	-397	-374	-571	-542	-326	-483	-454	-454	-424	-395	-157	-151	0	-130	-317	-247	-218	-90	-202	-187	-172	-159	0	-144	-32	-65	-37
