CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	1408770	1347333	1376618	1376618	1215216	1182756	1167288	1246520	1246520	1188852	1230061	1255919	734844	734844	676038	885345	760810	646647	646647	603354	637891	585510	586159	588191	633738	415938	357695	394441	402724	415472	430131	409481	395676	399915	425627	430590	424733	436648	435686	465385	494271	547549	591685	624795	717348	662632	617534	528690	595987	521522	458190	413293	375385	377179	356214	357762	324235	314075	314415	284806	326072	298916	257957	130946	136958
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	8808	19482	14499	14499	12606	18303	12975	22604	22604	8268	37377	26501	19920	19920	19619	18214	19611	11111	11111	9552	13357	8674	13249	13249	3680	2067	3468	18363	18363	20151	7297	12638	16470	16470	9465	7285	5981	7772	7772	7815	7996	4681	18140	17346	5716	6658	9911	24603	24606	6408	5312	11179	26013	26017	31069	22128	8779	13384	13384	4857	10426	2519	6373	9613	8736
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	895302	911905	838255	838255	705255	657255	662490	640490	640490	570219	580219	674400	224400	224400	119400	339400	214500	206000	206000	200000	200000	200000	200000	200000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	247986	221723	289232	289232	233138	221170	221377	267192	267192	255065	258224	255842	222996	222996	277542	270598	263128	236119	236119	205056	199296	200087	172370	174444	188247	205293	196009	192563	195751	193860	203430	220212	190350	194631	221264	239746	247183	250056	249059	264949	280421	302869	323320	354745	395850	382060	358641	297935	352338	279147	272539	198078	224773	226560	174554	201234	165917	160546	162392	126535	163212	165451	153588	56513	72985
Hàng tồn kho###Inventory	247697	188330	227082	227082	251571	271397	250901	297946	297946	328332	330019	274067	253714	253714	250666	250456	251311	189940	189940	185515	220782	173330	197756	197756	235137	202157	151797	175333	180781	188362	207789	161987	178070	178345	183671	172414	157195	163558	163748	176889	189057	224883	235860	237781	294244	252337	228434	193152	199173	219136	161404	185108	112277	112277	139057	123431	135600	124782	123992	139517	140635	118979	91569	60486	52448
Tài sản ngắn hạn khác###Other Current Assets	8978	5893	7550	7550	12646	14632	19545	18288	18288	26969	24222	25110	13813	13813	8811	6677	12260	3477	3477	3230	4456	3418	2784	2742	6673	6421	6421	8182	7829	13099	11614	14644	10786	10470	11228	11145	14374	15261	15107	15732	16796	15116	14365	14923	21538	21579	20547	12999	19870	16831	18935	18928	12323	12325	11534	10969	13939	15363	14647	13898	11800	11967	6426	4335	2787
Tài sản dài hạn###Non-current Assets	352635	328925	335853	335853	452736	464208	486954	484410	484410	574435	565335	509635	486312	486312	343726	345534	359462	198745	198745	189512	193479	194502	194465	194465	194476	191118	193406	198913	198200	202196	206509	211169	215994	212827	213226	218035	223350	229251	230294	234722	239875	244481	250086	249971	328687	330521	332989	263467	263467	262681	265149	263356	265335	265450	249512	244611	239380	237336	229156	226839	192905	176328	141660	137776	140388
Các khoản phải thu dài hạn###Long term Account Receivable	375	375	375	375	2	2	2	2	2	2	2	18952	18952	18952	2	2	0	0	0	0	120	120	120	120	120	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	306896	312350	318910	318910	412676	422002	430590	435707	435707	438871	276058	279570	275194	275194	272880	283675	292790	178960	178960	178526	183167	185176	185398	185398	186712	185294	188181	192707	192552	196745	201381	207714	212418	212439	212855	217678	222916	224611	229035	233469	238199	243202	244460	248816	327714	330156	332029	260295	262537	261751	264220	262426	264406	264521	248583	243681	238451	236400	228220	226473	191897	175320	140626	137414	137523
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-381204	-377229	-370136	-370136	-524067	-514809	-505403	-495858	-495858	-485916	-475825	-467526	-459504	-459504	-451237	-443604	-436858	-298860	-298860	-293832	-288795	-284265	-279346	-279346	-275696	-271686	-266929	-261875	-261875	-256547	-251155	-245834	-240438	-240531	-241409	-235481	-229577	-223666	-223308	-217461	-211699	-206523	-199736	-199741	-192376	-185920	-179155	-172449	-172449	-165880	-158875	-152349	-146358	-146243	-139939	-134028	-127339	-122446	-121662	-118250	-114951	-111744	-108593	-94822	0
