CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	83071	88936	94584	94584	85201	76757	69537	59110	59110	51788	45217	48088	52009	46327	51160	48124	45084	43694	43694	51811	48814	52247	46208	46208	48811	252118	234761	217731	59021	56008	63030	52501	49710	49710	50842	43526	44220	44582	45013	51245	55640	50760	58249	58326	32165	36096	27944	43652	44485	48517	89207	85855	73185	72893	26158	23828	37302	50424	50823	119748	107867	61368	56552	0	48049
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	5438	10645	15534	15534	19465	16251	19463	15168	15168	18508	8102	12172	8247	7489	14388	7612	1599	6245	6245	6571	4245	10408	10631	10631	9529	25856	27454	6688	6688	8976	14521	6984	6847	6847	9048	5784	4541	3107	2111	2552	2185	4832	20657	19551	3012	6685	2366	21803	21961	2632	3615	2579	6056	6056	3816	9468	3149	22137	3740	10817	12200	18316	21161	0	4970
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	20171	20000	20000	21530	21500	21250	10000	10000	10000	0	0	106	806	806	806	806	806	106	106	106	106	156	300	300	300	300	300	300	300	0	0	207	207	0	0	0	0	0	1740	1640	740	740	740	1845	900	0	0	0	0	0	0	21300	21300	21300	0	0	1000	1000	18400	0	0	0	17000	0	30000
Các khoản phải thu ngắn hạn###Short term Account Receivables	41808	35189	44467	42937	29666	28203	27861	20924	20924	18552	21409	19188	28086	21902	20761	22452	24699	20408	20408	23879	19372	22186	16832	13721	16381	202734	184389	183960	25250	24072	25424	21952	18441	18441	19611	18246	16173	21727	21565	24204	23462	29072	20996	21041	17540	17449	13289	14257	14902	25791	68789	52559	39437	39265	12551	7608	12918	7701	9218	103097	88378	31349	8898	6430	8021
Hàng tồn kho###Inventory	7718	13108	6923	6923	7647	4122	5232	5818	5818	7460	7017	7227	7658	7658	7992	10154	9385	8998	8998	12752	17663	10935	10501	10501	11517	11868	13576	16620	16620	13071	13451	14080	15250	15250	13266	10320	15418	13696	13696	15567	22764	9476	11767	11767	6238	4959	4539	3830	3830	5296	5614	4502	3888	3888	3862	2146	2394	2422	2422	1735	3027	4887	3860	0	4950
Tài sản ngắn hạn khác###Other Current Assets	7936	9993	7659	7659	6923	6931	6982	7200	7200	7268	8689	9395	7211	8471	7212	7100	8595	7937	7937	8502	7429	8563	7943	11054	11083	11359	9041	10163	10163	9889	9634	9278	8965	8965	8710	9175	8088	6052	5901	7280	6489	6639	4088	4122	4474	7003	7750	3761	3792	14798	11190	4915	2503	2384	5928	4606	17840	17163	17043	4100	4262	6816	5633	0	108
Tài sản dài hạn###Non-current Assets	555494	570185	573262	573262	585447	600628	612367	626948	626948	643644	663027	682317	700726	702480	789138	811914	830257	852442	852442	869387	887986	903299	926316	926316	946101	779555	828509	851178	851178	1019383	1046009	1077260	1104667	1104667	1135871	1151700	1199510	1206298	1206235	1225446	1235458	1241615	1247243	1247313	1262500	1275800	1278904	1293394	1300170	1318171	1330642	1349403	1391895	1391851	1443184	1182926	1193481	1203284	1201315	981800	980807	792901	537986	0	24520
Các khoản phải thu dài hạn###Long term Account Receivable	180213	181203	180483	180483	180951	180506	180468	180465	180465	179712	179135	180518	180617	180527	180993	180585	182259	185515	184349	184289	184414	182202	183094	183094	183912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	354809	368847	382887	382887	397138	411209	425182	438097	438097	452702	469530	486520	504403	504403	586851	607570	628132	648656	648656	669069	689087	709490	729070	729070	748218	768914	789610	827774	809853	987471	1012612	1034778	1076325	1076325	1100267	1124428	1166172	1155808	1172829	1179604	1185910	1192150	1180635	1197719	1210431	1211429	1222860	1215667	1234954	1246905	1258847	1275465	1317780	1317736	1369188	1107541	1171249	1179167	1176909	960645	959792	775948	520164	0	2321622
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-755240	-741203	-727162	-723492	-709800	-695728	-684818	-671340	-671340	-657183	-640355	-623365	-605446	-605446	-677350	-656631	-636069	-615545	-615545	-595047	-574788	-555377	-535145	-535145	-514465	-494264	-473568	-453524	-453524	-502866	-480451	-456407	-431884	-431884	-407594	-383046	-340720	-334275	-334275	-327501	-321625	-315554	-308917	-308842	-296215	-282359	-269822	-257446	-256982	-245979	-234186	-218551	-210170	-210214	-222190	-198633	-177240	-157432	-157549	-142545	-125352	0	-95637	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-7	-5	-2	-2	-18	0	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	0	-18	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	1800	1800	0	0	0	0	0	0	0	0	0	0	1871	10254	10254	10254	12653	15052	17451	19850	19850	25903	25903	31956	31956	31956	42984	42984	42984	42984	42984	42984	44317	44317	44317	50630	59144	59144	59094	59094	59094	58822	58822	6176	5576	5576	5576	4976	476	300	0	0
Tài sản dài hạn khác###Other long term assets	20298	19961	9718	9718	6968	8521	6325	7995	7995	10838	13971	14888	15315	15359	18863	23127	19113	17880	19045	14895	13780	10964	12933	12933	12594	8188	11412	13150	13150	1448	1324	7229	8492	8492	9701	1369	1382	1513	1450	2859	6564	6481	6602	6610	9086	20054	11728	14587	14587	12122	12651	14844	15021	15021	15174	16564	16056	18540	18830	15579	16038	16477	17522	0	13580
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	638566	659121	667846	667846	670648	677385	681904	686058	686058	695432	708243	730405	752735	748807	840298	860038	875342	896136	896136	921198	936800	955546	972524	972524	994912	1031673	1063269	1068909	910199	1075391	1109039	1129761	1154377	1154377	1186713	1195226	1243730	1250880	1251248	1276691	1291098	1292375	1305491	1305639	1294665	1311896	1306849	1337045	1344656	1366689	1419848	1435259	1465080	1464744	1469342	1206755	1230784	1253707	1252138	1101548	1088674	854269	594538	0	293251
Nợ phải trả ###Liabilities	1414552	1427866	1405747	1405747	1396098	1395589	1388659	1382376	1382376	1382936	1376701	1380635	1384863	1381764	1448487	1448777	1443813	1439907	1439907	1422029	1411958	1405833	1408192	1408192	1408828	1399741	1394143	1375092	1216382	1372279	1384121	1360226	1351480	1351480	1342757	1323394	1291735	1284122	1284121	1280244	1272355	1261815	1275005	1270594	1213014	1239666	1234844	1265127	1266303	1259681	1315683	1319262	1342926	1338144	1323573	1051751	1067355	1086319	1104086	909715	892956	705012	455111	367128	219505
Nợ ngắn hạn###Short term Liabilities	69089	86321	81127	81127	56628	61633	69397	68980	68980	59439	69333	54860	64791	61692	98567	83108	86981	88661	88661	60833	62622	66102	69251	69251	52214	658640	659364	644641	485931	398074	403791	394561	364975	364975	334263	310915	292852	284371	284371	345337	337394	326778	335288	330876	241254	270603	262420	283533	293773	245363	238655	243960	249648	203373	217013	205456	250911	310973	327016	110483	141395	164790	116264	94025	65070
Nợ dài hạn###Long term Liabilities	1345463	1341545	1324620	1324620	1339470	1333956	1319262	1313396	1313396	1323497	1307368	1325776	1320072	1320072	1349920	1365669	1356832	1351246	1351246	1361195	1349336	1339731	1338941	1338941	1356613	741101	734779	730451	730451	974205	980329	965666	986505	986505	1008494	1012479	998883	999751	999751	934907	934962	935037	939718	939718	971760	969063	972424	981594	972530	1014317	1077028	1075302	1093277	1134771	1106560	846295	816445	775346	777070	799232	751561	540222	338847	273103	154435
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	-775986	-768745	-737901	-737901	-725449	-718204	-706755	-696319	-696319	-687505	-668457	-650230	-632128	-632958	-608190	-588739	-568472	-543771	-543771	-500831	-475158	-450287	-435669	-435669	-413915	-368068	-330873	-306183	-306183	-296888	-275082	-230465	-197103	-197103	-156045	-128169	-48004	-33241	-32873	-3553	18743	30560	30486	35045	81651	72231	72005	71918	78353	107008	104165	115996	122154	126600	145769	155003	163428	167388	148052	191833	195718	149257	139426	0	73747
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4504	4825	5147	4504	8376	8376	8427	12887	8984	0	0	27595
Vốn chủ sở hữu ###Owners equity	-775986	-768745	-737901	-737901	-725449	-718204	-706755	-696319	-696319	-687505	-668457	-650230	-632128	-632958	-608190	-588739	-568472	-543771	-543771	-500831	-475158	-450287	-435669	-435669	-413915	-368068	-330873	-306183	-306183	-296888	-275082	-230465	-197103	-197103	-156045	-128169	-48004	-33241	-32873	-3553	18743	30560	30486	35045	81651	72231	72005	71918	78353	107008	104165	115996	122154	122096	140944	149856	158924	159012	139676	183406	182831	0	139426	0	0
