CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	3061224	2517501	2262978	2262149	2055976	2006275	2063824	2135742	2133941	2091411	190887	227823	370851	371741	928492	859867	757856	839492	831293	870965	782048	799406	827356	756591	910290	813641	779226	943943	948819	1049461	931779	947815	1017905	1017905	923135	849965	717429	323380	179316	79429
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	58250	44110	127680	127690	49488	44986	193346	274287	274287	165127	3652	45922	82619	82617	261524	222397	189616	186283	186292	194727	78835	14058	10915	10915	6437	19129	6420	8392	8520	5074	13254	115873	171618	171618	325519	295055	400132	1759	18544	7561
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1466589	960837	642746	642746	521606	349137	251292	245600	245600	244300	76500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	836347	900701	633777	634723	521389	593132	462892	749598	749414	593868	51641	120167	239491	239518	469081	460580	450269	469559	460719	472414	503687	634120	608515	538067	685959	553231	574495	741611	744107	767462	604741	566099	582189	582189	392305	391739	139731	137906	63427	14097
Hàng tồn kho###Inventory	647730	584711	808254	808235	909667	961863	1087680	796639	796665	925218	49372	41999	34561	34545	178957	159554	109731	172901	172923	166596	162930	124472	177667	177357	177764	194848	156693	156234	158628	245918	264074	218913	224937	224937	178883	147962	160451	161835	86359	54074
Tài sản ngắn hạn khác###Other Current Assets	52307	27140	50521	48755	53827	57157	68613	69617	67975	162898	9722	19735	14180	15062	18929	17336	8239	10750	11358	37229	36597	26755	30260	30253	40129	46434	41617	37706	37564	31008	49710	46931	39161	39161	26427	15209	17115	21880	10986	3697
Tài sản dài hạn###Non-current Assets	2438328	2416696	2458878	2459217	2494314	2533807	2587517	2594254	2610153	2457637	552618	523840	515580	515580	1301297	1222263	1166979	1165220	1160347	1121497	1033939	1019167	1007180	1052989	863173	805727	749041	733233	730663	618232	588887	458490	394567	394567	359448	325711	320005	235930	171798	159354
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	2172778	2243063	2303146	2303454	2356810	2389764	2428635	2326983	2344597	2202573	38388	37629	36037	36037	640077	622595	637966	651080	628307	588070	586997	578863	612969	612212	585444	597971	593467	535022	519739	139929	149419	158334	282799	282799	238693	228378	201868	214487	127104	138596
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1391148	-1331567	-1265288	-1265442	-1199627	-1136218	-1072171	-1009975	-1009757	-952019	-93853	-91237	-88736	-88736	-427958	-411555	-394199	-384082	-384089	-366514	-349086	-331205	-313053	-313809	-295363	-277141	-259360	-243084	-242771	-224103	-212222	-200353	-189046	-189046	-177891	-167375	-144079	-99702	-68547	-47174
