CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	Q4 2015	 2014	 2013	Q4 2013	 2012	Q4 2012	Q2 2012	Q1 2012	 2011
Tài sản ngắn hạn###Current Assets	287080	437256	437243	336318	297796	297796	245798	215984	215984	235635	235635	223153	218530	183639
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	24765	11028	18913	13722	13006	13006	44807	31213	31213	20105	20105	11565	15793	11670
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	170874	332252	322697	238480	187563	187563	123364	121760	121760	147709	147709	141830	136497	101651
Hàng tồn kho###Inventory	80304	88045	91573	83523	95951	95951	77308	62482	62482	66960	66960	64756	63752	67690
Tài sản ngắn hạn khác###Other Current Assets	11138	5932	4060	594	1276	1276	319	528	528	862	862	5002	2488	2628
Tài sản dài hạn###Non-current Assets	336248	209544	113393	69078	47567	47567	34018	30006	30006	32774	32774	33240	32932	33531
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	319287	153476	79718	47084	41660	41660	33579	29586	28351	32383	29774	29348	31763	32447
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-120994	-106122	-91904	-82288	-73339	-73339	-64567	-56420	-56420	-47465	-47465	-42290	-39470	-36669
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-2400	-2400	-2400	-2400	-2400	-2400	-2312	-2216	-2216	-2120	-2120	-1880	-1760	-1640
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	20	20	23	23	23	23	23	23	23	23	23	23	23	23
Tài sản dài hạn khác###Other long term assets	1331	3414	35	245	223	223	415	397	397	368	368	322	349	438
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	623327	646800	550636	405397	345363	345363	279816	245991	245991	268409	268409	256392	251462	217170
