CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	3300593	3176243	3133924	3133924	2804232	3274393	3155339	3147636	3148610	3010954	3069655	3052835	2939185	2941310	2907687	3006639	2661156	2746073	2760854	2398685	2348876	2290300	2221373	2217718	1971298	1938253	2011484	2386250	2386621	2075460	2071838	1943848	2232558	2229894	2062468	1983649	1968959	1817660	1817740	1761983	1694869	1529717	1490692	1477077	1449732	1625299	1528879	1442034	1426291	1315545	1225945	1162368	1212468	1210239	1071067	980896	829330	783527	838640	718653	736962	719631	673787	673787	635607	487249	429444	329550	329550	364469	315642	277010	227761
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	56192	146497	70328	70328	53233	82131	48660	75836	75836	60047	74378	445603	549777	543652	808515	752770	322710	603189	602451	337549	272454	232061	420713	594908	580867	480506	299527	498292	496512	459883	590139	481041	613287	613287	464323	590348	828046	718975	718975	602558	555377	498594	467084	461337	453301	653365	614227	642519	642519	548123	483668	502134	584129	538052	438193	424816	272348	211742	211742	159827	150111	175486	129951	129951	43980	50382	40988	35002	35002	36284	43074	31152	35466
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1891500	1876000	1768000	1768000	1363500	1681500	1581222	1459722	1459722	1478758	1564544	1248621	930615	930559	674662	812603	907041	703731	703731	759186	834655	795831	507605	333193	166193	210000	287851	258817	260617	210000	132000	90000	170000	170000	220000	165955	0	0	0	0	0	449	0	0	0	0	0	0	0	0	6389	10000	16037	52117	20464	16147	1714	2263	2337	9014	623	7027	51955	51955	131382	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	381555	385962	560792	560792	502574	594373	539559	669787	674994	554393	608302	642440	799556	807659	663799	659410	688847	692281	688568	604451	539155	620060	644064	645119	553419	509375	670017	844549	842250	563964	557256	557523	667386	664833	611946	615388	604167	574318	570943	541782	527901	489732	489939	480368	459888	442889	485351	446198	427952	395242	334448	308123	296978	298180	259648	229062	260627	255126	309930	275694	344874	312593	257382	257382	243458	252787	233523	166440	166440	192352	140921	121584	75876
Hàng tồn kho###Inventory	952996	748015	725439	725439	871227	883707	939380	891487	887241	870829	780468	686475	633808	634012	730992	753369	722570	732861	742561	689635	688304	630040	639321	634925	657717	720543	741629	780704	780270	818620	766617	785073	757949	757949	742449	597998	517709	511841	515297	603883	596425	525848	515191	513406	514096	514791	417805	347100	349931	362123	391288	328191	306732	313273	344439	300635	281065	308236	308202	265431	231676	215240	230279	230279	205939	174835	147467	121353	121353	133755	130392	122576	113322
Tài sản ngắn hạn khác###Other Current Assets	18349	19770	9365	9365	13699	32682	46518	50805	50818	46927	41963	29696	25428	25428	29719	28487	19988	14011	23543	7864	14308	12308	9670	9572	13101	17829	12461	3889	6972	22992	25826	30211	23937	23826	23750	13959	19037	12524	12524	13759	15166	15094	18477	21966	22446	14253	11495	6217	5888	10057	10152	13920	8593	8617	8323	10235	13576	6159	6429	8687	9679	9285	4220	4220	10847	9245	7467	6755	6755	2075	1255	1696	3097
Tài sản dài hạn###Non-current Assets	996539	1018016	1012894	1012894	1122935	1060793	1079255	1058328	1058328	1080448	1175553	1137777	1148295	1148295	1171111	1199261	1193905	1199269	1188648	1149086	1145092	1128274	1141826	1142130	1124600	1121335	1099297	1096468	1090232	1081383	1061745	940509	848062	844518	715909	611363	596510	560605	558954	540575	537479	511671	505015	511966	452680	437488	387768	377701	372146	349603	344540	339070	309504	320571	320423	281876	297460	298255	294838	285452	280170	290007	268421	268421	242545	184659	161329	153297	153297	67926	65627	63566	64496
Các khoản phải thu dài hạn###Long term Account Receivable	264	566	459	459	469	457	940	1560	1560	2900	2817	3002	3510	3510	13281	13776	10324	5099	5099	10693	14005	0	0	0	0	0	0	808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	72	72	86	97	100	114	114	131	151	165	200	200	235	291	375	435
Tài sản cố định ###Fixed assets	885469	894145	900117	900117	919994	936975	959367	976618	976866	989089	1002381	1020517	1027000	1027000	1044414	1070660	1082664	1103433	1109854	1045579	1055694	1054948	1067774	1066072	958106	961906	926056	913681	879837	833843	824828	890553	799083	801777	671610	567940	552376	446743	515449	496913	492672	465350	412708	457664	396533	365188	313304	295719	297944	262264	256521	252488	237015	236906	232688	243183	235137	225956	226357	225130	225728	228869	228781	228781	205049	173933	154309	148142	148142	63322	60067	57022	56993
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-729281	-708210	-686346	-686346	-670961	-650596	-628901	-606606	-607607	-654659	-636975	-615847	-592766	-592766	-570595	-549024	-527743	-515345	-515345	-508007	-485399	-463727	-440755	-440755	-418136	-400878	-379338	-357083	-357083	-337077	-316739	-297981	-282726	-282149	-271923	-263344	-256080	-242878	-242878	-224237	-213845	-200302	-187900	-188089	-174484	-160255	-150713	-142358	-142371	-133621	-126997	-120004	-113056	-113166	-105489	-96293	-91560	-84619	-82566	-75636	-70777	-63934	-57583	-57583	-51156	-45290	-39559	-34779	-34779	0	-29521	0	0
