CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	267669	262137	273842	270428	260174	419437	205051	300770	305606	279145	309231	230380	277977	278199	152252	238977	457093	374680	383926	182288	240934	155984	145718	147765	193369	185282	138957	152815	148679	155863	154476	175634	173626	174129	173614	216272	177682	136782	163608	122593	201475	198328	209089	27380	28486
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	5422	2965	37867	39020	14785	4459	7490	9174	9175	7576	7701	2644	4895	4894	4526	7628	8160	9593	9532	7548	16934	8483	10742	10742	10584	11501	11930	8047	8047	5053	6810	45218	5856	5854	967	1905	2315	2037	2037	5037	5427	2293	3438	7842	4983
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	116232	125877	111861	108697	145511	329435	100846	211895	217327	178559	213579	107184	187158	187374	53752	160486	365417	280314	282175	88081	151580	73714	60037	60035	97125	98649	65679	102859	95800	84893	62450	38780	84569	85083	51999	94051	65383	41166	68206	38136	96914	40232	22392	7969	9227
Hàng tồn kho###Inventory	143665	130215	121915	120673	97732	84340	93795	78181	77573	91061	86976	115729	84027	84028	91397	69707	77422	83333	84760	84662	71698	72881	74422	76472	84114	73705	52345	41139	41139	62153	56314	82016	74761	74754	113056	112637	107529	91142	91142	77802	95802	143893	167603	11185	12844
Tài sản ngắn hạn khác###Other Current Assets	2350	3080	2199	2039	2147	1202	2920	1520	1532	1949	975	4822	1896	1903	2577	1156	6094	1440	7458	1996	722	906	516	516	1547	1427	9003	770	3692	3764	14402	9620	8440	8437	7592	7679	2456	2437	2223	1618	3332	11910	15655	384	1431
Tài sản dài hạn###Non-current Assets	293059	297100	295446	300017	300759	302153	304536	310219	310186	305289	306240	307248	270891	279455	290719	234073	221525	222425	221254	201403	201338	201450	201852	202835	203114	201852	202288	201750	201842	229805	227591	202231	170934	170883	153530	154181	119462	112692	111871	91910	86750	86809	70724	7610	2488
Các khoản phải thu dài hạn###Long term Account Receivable	3186	4065	3186	7019	4369	4369	4369	9054	8857	18619	18854	18214	18133	18133	26542	19765	12234	19689	12193	118	94	56	56	56	36	162	0	36	0	0	0	0	0	0	0	402	2539	821	0	41	49	0	0	0	0
Tài sản cố định ###Fixed assets	90575	92305	92667	92667	92974	93844	94973	95851	95846	96895	97817	99292	100082	107889	49876	45257	44960	92910	99209	99442	99675	99966	100265	100279	100594	100046	100371	100029	100029	100302	110472	148020	116654	117102	101142	101385	64798	4173	64013	56969	54411	54497	2095	6986	2477
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-12353	-13110	-11609	-13116	-12575	-12068	-11860	-11346	-11368	-10950	-10391	-10119	-9797	-9743	-9363	-9004	-8680	-8381	-8381	-8087	-7796	-7504	-7206	-7192	-6874	-6573	-6280	-6003	-6003	-5730	-5796	-5354	-5442	-5446	-4872	-4646	-5240	-5081	-5081	-5123	-5038	-4940	-4854	-4136	-3360
