CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	652695	618049	638033	635610	522819	608799	514444	567079	567079	532250	582711	497505	570634	570634	494698	500730	428483	452961	452961	385469	421825	352563	372831	372831	304079	325035	289034	296546	296546	291332	287750	272341	254206	254206	254997	257688	243936	245722	245722	235694	253254	253254	258568	277727	219642	217904	217904	223689	225635	198763	202477	202477	199448	196715	181236	192946	180270	198900	144319
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	63156	103634	54742	54742	49302	70574	45649	45843	45843	46373	67917	37922	74620	74620	38493	35597	36672	46771	46771	33323	36604	35025	19687	19687	23378	24158	25654	38660	38660	39704	36670	47877	42202	42202	23583	33088	21582	21165	21165	18924	22973	22973	21858	28326	26855	20127	20127	12084	10990	13338	21833	21833	22638	17200	7007	14087	14087	12113	8721
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	221406	123891	230732	228308	193652	233353	112494	150165	150165	102661	130631	82786	114729	114729	74741	120323	74207	121391	121391	70630	107066	66424	131168	131168	65386	89308	67365	91667	91667	64192	71043	67690	66742	66742	70339	77879	84414	90075	90075	69511	76811	76811	72523	91973	67073	69213	69213	66829	73260	58032	66683	66683	49993	61283	50571	49517	36658	49550	50160
Hàng tồn kho###Inventory	367910	386474	345445	345445	279746	304521	356145	369952	369952	382777	383450	376751	376832	376832	375704	339097	312135	282215	282215	278974	275809	248194	219727	219727	213431	210484	193591	157010	157010	176989	174018	149914	138655	138655	154267	142507	133540	130211	130211	138947	144329	144329	157164	154832	124368	126773	126773	142543	139690	126536	112739	112739	125885	116969	122083	127895	128078	136197	85249
Tài sản ngắn hạn khác###Other Current Assets	223	4050	7115	7115	119	351	155	1119	1119	439	713	46	4453	4453	5760	5712	5469	2584	2584	2542	2346	2920	2249	2249	1884	1084	2423	9208	9208	10447	6019	6859	6606	6606	6807	4214	4400	4270	4270	8313	9140	9140	7022	2597	1346	1792	1792	2233	1694	858	1222	1222	931	1263	1575	1447	1447	1039	190
Tài sản dài hạn###Non-current Assets	112157	106296	100187	100187	91167	89853	67337	72045	72045	67859	58388	59936	64075	64075	66349	69022	63993	61006	61006	59172	64036	63219	63734	63734	61130	64703	71099	71772	71276	63768	68404	68560	70574	70574	65348	53821	44833	47310	47310	44830	50838	50838	44916	39926	42460	47960	47960	33883	35795	37795	42286	42286	35226	40122	39195	41635	41635	40882	23713
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	102089	99136	91445	91445	83096	82945	61154	63814	63814	59446	50307	53387	56442	56442	57627	60906	57084	52606	52606	51576	55163	54967	55950	55950	53398	56341	53836	57102	56026	54592	57640	59246	60895	60895	60300	41757	42602	37987	45204	42830	42016	48749	42916	37926	40460	39228	45960	31883	33795	35795	40286	40286	33226	38122	37195	39635	39635	39914	23713
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-204564	-203209	-201008	-201008	-199019	-197792	-196017	-193523	-193523	-193484	-190487	-187387	-184247	-184247	-181112	-177312	-174808	-170143	-170143	-169254	-164933	-164036	-159326	-159326	-158338	-154776	-152369	-149649	-149649	-146987	-143322	-143677	-139995	-139995	-140048	-125378	-122994	-119954	-119954	-120041	-109889	-109889	-110126	-106927	-104098	-98616	-98616	-98355	-95866	-94684	-89184	0	0	-82732	0	-75437	0	-62535	-50390
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	7163	3988	5585	5585	4723	4531	3988	5604	5604	5949	5949	4371	5349	5349	6070	5170	4163	5470	5470	5145	5145	5036	5036	5036	4661	5228	14243	13051	12554	6147	7431	5661	5661	5661	6945	11744	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	968	0
Tài sản dài hạn khác###Other long term assets	2904	3172	3157	3157	3349	2377	2195	2627	2627	2465	2132	2168	2274	2274	2642	2936	2737	2920	2920	2441	3718	3205	2738	2738	1738	1801	1945	1620	1620	3028	3334	3653	4017	4017	2308	321	231	105	105	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	764851	724345	738220	735797	613986	698652	581781	639124	639124	600109	641099	557441	634709	634709	561047	569751	492476	513967	513967	444641	485861	415782	436565	436565	365208	389738	360133	368318	367821	355100	356154	340901	324780	324780	320345	311509	288769	293031	293031	280524	304093	304093	303484	317653	262103	265864	265864	257572	261430	236558	244763	244763	234674	236837	220431	234581	221905	239782	168032
Nợ phải trả ###Liabilities	456160	386050	426074	423650	325997	385082	291800	363124	363124	330216	391764	308699	380519	380519	335765	349807	291072	311619	311619	258372	308989	239693	266413	266413	196085	229317	188705	204620	204620	186129	188706	165696	156879	156879	165978	184065	153138	160514	160514	153596	184619	184519	191792	206808	158645	164654	164644	159446	166308	146040	157527	157422	143213	149154	134445	151585	138763	155389	120350
