CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	324806	452122	434947	434947	574816	427654	541827	490858	490562	512069	658981	670711	507842	507805	455908	353798	359820	421173	422411	392174	492513	472447	399713	400449	477091	417675	346776	395032	395522	444512	392708	360490	328508	328508	385296	291124	331432	357617	296598
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	9704	45096	6100	6100	20093	26915	6158	23446	23446	12908	25142	22660	44694	44694	18814	28160	22332	6711	6547	9518	5412	8817	14580	14586	20038	2256	3094	3388	3383	39200	4765	4181	10454	10454	6426	23814	63615	108712	12313
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	25945	25945	17345	17345	7745	7745	7745	7745	7745	12072	9874	7405	70	70	70	70	0	0	165	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	56041	75537	75247	75247	52737	41978	16433	58208	57912	97976	231849	78607	55764	55727	135973	120543	126273	89490	90349	143968	182609	109555	44190	42611	63498	184017	121759	73122	73038	183002	203098	214747	122578	122578	50414	72023	86783	92834	73126
Hàng tồn kho###Inventory	225726	289204	315962	315962	457860	330353	474638	372446	372446	361581	376911	535432	376408	376408	280425	200408	205226	313899	314245	235483	297473	341328	324421	324475	362630	216703	210052	300883	301579	210341	177877	134107	178333	178333	301489	182817	140369	127206	182055
Tài sản ngắn hạn khác###Other Current Assets	7389	16340	20293	20293	36381	20663	36852	29013	29013	27532	15205	26608	30907	30907	20626	4617	5990	11072	11105	3039	7018	12747	16523	18776	30926	14698	11870	17639	17522	11970	6968	7455	17144	17144	25517	12470	40665	23865	29105
Tài sản dài hạn###Non-current Assets	148465	153118	157828	157828	162633	167226	172094	174308	173888	160847	162444	159814	163418	161300	162356	165192	170994	191814	191805	195419	199304	202860	207526	208530	213003	215365	225391	219283	219098	214372	220370	226347	231880	231880	237891	243756	209939	131998	97765
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	106393	110775	115215	115215	118650	123264	107926	111946	111324	104119	107370	108579	112468	112468	114817	118230	120470	122614	122440	126212	130154	133968	138422	138201	135994	139425	142369	169272	147835	153436	159063	165383	181861	181861	187796	57972	45286	47459	52536
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-172543	-168339	-164077	-164077	-159784	-155383	-151524	-149733	-149733	-147746	-144038	-143238	-139456	-139493	-135269	-131360	-128027	-124087	-124261	-120489	-116547	-112733	-108279	-108501	-104253	-102047	-99103	-93609	-93637	-88036	-82409	-76672	-71091	-71091	-65743	-50268	0	0	-26597
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-1433	-1361	-1288	-1288	-1181	-1074	-966	-859	-859	-751	-644	-537	-429	-393	-286	-178	-71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-858	-752	-646	-646	-540	-434	-328	-222	-222	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-126	-122	-90	0	0	-40
