CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	1070853	1318198	1411417	1411613	1307147	1206999	990363	1081265	1244505	1220546	1272430	1254495	1204687	1191628	1302319	1312531	1216350	1170283	1180156	1117572	1084153	1109810	1200132	1240263	1210294	1168381	1091471	1131742	1304468	1384420	1390460	1397320	1485375	1407855	1433250	1336321	1416063	1518183	1490559	1359119	1286549	1295236	1342763	1328084	1224577	926789	902788	747586	748033	581744	375036	332735	392512	393541	324633	224916	193588	277211	273496	364026	254120	304449	447290	447290	387000	1099509	226360
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	154049	197112	312071	312071	245154	203198	200544	277154	277154	226182	283468	417798	519399	519399	638397	678239	574778	622105	612073	645250	615880	632248	748839	838727	673648	754124	657452	598739	638733	597948	546331	502703	762152	612005	448526	588170	522899	646446	646446	604673	679768	760689	822456	871956	758102	528899	659519	507874	507874	333031	184571	248317	278717	276581	109389	25893	22110	38906	38825	163326	38098	140354	219300	219300	98247	182319	99201
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	611084	766993	789303	789303	789768	693413	543076	563467	697367	680629	701425	526209	418775	408775	389732	298763	356614	339417	349417	209831	171849	176748	169749	159748	219500	132104	140000	275484	275484	298200	370695	444526	262851	403851	495554	256956	439292	394278	394278	316056	184165	209311	170161	130454	89982	89982	36911	40261	40261	42529	29474	0	10909	10909	130284	127654	114554	140207	140207	38033	64033	96395	122632	122632	161159	170099	51515
Các khoản phải thu ngắn hạn###Short term Account Receivables	93247	85672	85095	85284	74781	92975	64342	53797	87245	93863	96434	164837	79647	79587	109432	108761	114880	56877	65132	77817	125228	138178	117765	74724	100925	90631	120314	80081	82106	137225	74713	133722	130732	98454	164212	153157	185808	177357	186688	235730	175718	164425	131478	121250	205829	144371	139419	78535	78527	117899	78092	39276	43307	46857	25441	21099	28519	28600	32659	74029	91197	51327	69664	69664	88907	699854	40920
Hàng tồn kho###Inventory	161598	167429	128359	128240	150693	159490	133766	146429	142260	175024	145295	104663	133361	131195	126334	187564	128817	113257	115066	146036	131360	120199	127722	129569	179878	155693	130430	140205	261323	283539	321426	242662	254077	246923	262568	276239	203611	225844	188395	172629	221379	114676	192242	189721	143596	132669	45253	99090	99394	50060	62902	23589	38432	39288	41505	36454	14692	60958	60208	69084	49623	10927	34378	34378	34860	45846	29594
Tài sản ngắn hạn khác###Other Current Assets	50874	100992	96589	96715	46751	57923	48636	40419	40480	44849	45807	40988	53506	52673	38423	39203	41262	38626	38468	38638	39836	42437	36057	37495	36344	35830	43275	37233	46822	67508	77295	73706	75563	46621	62390	61799	64453	74258	74751	30031	25520	46136	26426	14703	27068	30868	21686	21827	21977	38224	19997	21553	21147	19905	18014	13816	13713	8541	1597	19554	11170	5445	1315	1315	3828	1391	5130
Tài sản dài hạn###Non-current Assets	2442686	2314262	2325839	2334424	2328250	2396538	2543902	2578321	2445775	2377846	2329514	2293916	2278027	2291570	2247789	2247244	2295168	2277444	2260288	2261732	2201334	2217115	2193270	2163074	2120143	2127576	2167554	2180320	2018032	1943026	1922987	1859710	1842878	1474475	1422621	1388082	1314211	1302989	1306516	1178958	1142643	1058987	1087314	1092778	1003027	941113	927737	928455	927756	886198	889834	864396	853799	853841	812521	788208	772704	767885	769958	732882	708171	689322	686318	686318	647032	601487	293104
Các khoản phải thu dài hạn###Long term Account Receivable	45971	42828	42999	42996	41624	60044	39604	75596	75596	58227	58213	58197	58191	58191	58992	59576	59890	59212	59473	73633	25838	46189	45775	5457	6246	13865	13625	51710	11710	18386	18885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1588961	1582177	1563809	1563899	1555737	1587457	1614202	1376721	1377989	1297703	1111564	1071083	1092099	1204824	1102898	1013069	700050	713718	713799	626894	643355	615316	633815	640989	608351	597119	677139	687340	687681	643635	657025	643373	1601950	850423	836779	833334	812213	517304	803087	648020	649675	633916	389360	656007	632396	614862	598694	367002	600448	566761	563411	569353	566920	568439	553234	553187	551103	550683	507338	544558	529873	517842	517995	517995	506209	298840	232570
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-680762	-663495	-645266	-645268	-631949	-605552	-587267	-577676	-592128	-558009	-540374	-532216	-529887	-547820	-532165	-512596	-499599	-493379	-493390	-476961	-458252	-450794	-446876	-446878	-437188	-426207	-437048	-423193	-423342	-398564	-394783	-381180	-369013	-348778	-338037	-326286	-320879	-313134	-313194	-292749	-285831	-278071	-269102	-271115	-265353	-255461	-249059	-240488	-240762	-232601	-226126	-222011	-217308	-217152	-209123	0	-196297	-189558	0	-184633	-171305	-173043	-165649	-165649	-157300	-137976	0
