CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	1147084	1133443	1145859	1207720	1129521	1164797	1250108	1502678	1511275	1286404	1249708	1290053	1330753	1324802	1277099	1186346	1241920	1254673	1281202	1290324	1210825	1234860	1192150	1328859	1410512	1446525	1440715	1692477	1711184	1769013	1641853	1561888	1541055	1659436	1556900	1494045	1415266	1602154	1603725	1443998	1607225	1534117	1706444	1718478	1641039	1881307	1495302	1587794	1557045	1487805	1534809	1337022	1428149	1470783	1383100	1336172	1346563	1367559	1366637	1389635	1472502	1531476	1528407	1528407	1301118	1081021	456832	120352
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	121286	128725	150436	150731	119790	146956	158075	165711	165711	172009	178615	199126	281093	280635	226562	322828	331627	322533	323711	209708	232637	153111	287797	288248	190939	189908	228661	172543	172539	421900	452897	296934	432689	431689	312590	289339	175975	201163	353242	246733	200856	196687	184927	186533	222875	263796	60444	53731	53481	103337	159967	16741	46446	45865	8008	8598	7014	10776	7293	10906	24851	20915	34722	34722	60897	128127	3248	4397
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	151789	65292	67930	67081	58997	67529	126277	284149	284240	311786	310225	344160	316421	318881	390874	272069	331640	328140	328935	474559	367316	358478	144834	144834	275312	352312	372571	581571	581571	382991	242601	185601	18601	19593	83915	103249	173633	166133	14133	13201	13201	11593	12472	11593	12308	12849	13007	12826	12826	13499	13475	15221	13722	14202	12922	13482	27242	27090	27090	37500	37500	37500	20660	20660	12600	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	407766	461160	466929	524237	514953	529144	546751	649486	659497	440909	390302	415546	411120	400519	335302	293164	279322	309432	333423	275662	276380	423369	489000	608237	604139	502348	482983	593083	611554	597868	505521	711190	723063	839941	821714	787433	745778	905334	905675	832656	1026033	963098	1120920	1125220	1000631	1206531	1067556	1174782	1147446	994226	1025482	961060	1019577	1060686	958780	959705	949957	937742	950582	950928	990995	1110493	1166404	1166404	1015926	787185	318839	34497
Hàng tồn kho###Inventory	417343	426867	422160	421409	392275	379961	376950	361982	360753	333660	347153	315675	309190	309222	309132	283904	286901	285388	285291	319954	323682	289825	259979	276401	329242	391045	346540	328593	328585	342869	416378	347415	350636	350564	319479	295781	304786	318251	318484	334673	347618	334757	370372	369827	375153	364231	318649	311160	309887	335527	297559	298703	313193	314119	361424	317310	321199	348589	340092	359012	383021	331031	298899	298899	210506	157712	130985	78988
Tài sản ngắn hạn khác###Other Current Assets	48900	51400	38405	44262	43505	41208	42055	41351	41074	28040	23413	15546	12929	15545	15228	14381	12429	9180	9842	10441	10809	10076	10539	11139	10879	10911	9961	16688	16935	23385	24456	20748	16066	17649	19203	18242	15094	11273	12190	16735	19518	27981	17753	25305	30071	33900	35646	35296	33404	41216	38326	45297	35210	35911	41966	37077	41150	43363	41580	31288	36135	31537	7721	7721	1189	7996	3759	2471
Tài sản dài hạn###Non-current Assets	357148	346933	356185	358564	378931	376187	375721	362338	369795	317530	307076	279508	280613	278028	301128	307621	321858	334704	333205	317127	323731	298187	322016	249287	207312	211982	215854	170568	170774	200911	113279	132444	127524	142582	129588	117165	120818	113892	112338	112038	118901	118218	125596	125737	130975	135501	140205	145430	146316	151824	161111	168947	175120	175240	192964	200351	200139	207197	204697	206568	211197	290893	152521	152521	121223	114436	113938	97983
Các khoản phải thu dài hạn###Long term Account Receivable	7265	7256	7181	7181	7198	7154	7057	7139	7139	7025	12811	21438	24903	24903	60478	64478	76978	86412	86412	74672	86460	74510	86310	12482	747	662	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	147075	151634	119465	119465	141482	143788	145824	144064	144064	147083	149733	151470	155213	155213	153654	157162	160914	165288	165288	169223	162792	150309	155452	163715	137905	142911	146917	155420	150272	89515	92642	95957	104354	105377	94964	94841	77594	78995	80552	79203	85614	88800	91048	91938	97317	102566	107181	110633	112315	119811	126028	132154	137583	137591	144959	147751	146178	152002	150336	158850	163793	132742	110940	110940	105001	107920	109826	90046
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-164306	-194300	-199313	-199313	-217612	-214442	-212575	-209913	-209913	-264735	-261861	-258404	-255611	-254977	-255938	-253381	-249449	-245391	-245398	-263350	-257930	-251535	-246578	-255098	-250044	-244365	-236545	-230680	-230633	-224071	-219321	-213470	-208873	-207228	-203488	-200215	-225694	-223092	-222496	-236160	-233884	-229862	-226967	-226332	-222064	-217568	-222269	-217472	-216837	-211136	-205277	-199402	-194239	-193662	-186521	-180045	-174280	-168351	-169383	-164866	-158465	-151818	-146799	-146799	-141239	-135748	-125337	0
