CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	 2015
Tài sản ngắn hạn###Current Assets	48200	48264	48850	49030	49038	49057	66316	82264	82271	82070	85482	71819	59348	59180	37994	47652	47435	46775	49161	50568
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	22893	14394	9991	9991	8732	7253	8405	21581	21581	24493	40409	48969	43962	43836	21376	33416	12665	20471	20471	27145
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	16	0	916	1096	407	625	1614	1839	1846	833	302	0	0	0	0	168	0	0	0	0
Hàng tồn kho###Inventory	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản ngắn hạn khác###Other Current Assets	12249	2354	107	107	228	355	662	391	391	1397	1572	1389	453	411	444	487	574	0	49	0
Tài sản dài hạn###Non-current Assets	19288	19346	19433	19196	19271	19443	19616	4673	4673	4754	4925	4980	4190	4190	13918	3811	3812	3606	3557	3193
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	14960	15001	15042	15042	15084	15125	15166	535	535	500	544	468	182	182	55	75	106	137	137	276
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-2408	-2376	-2345	-2345	-2314	-2283	-2251	-2220	-2220	-2185	-2148	-2111	-2083	-2083	-2073	-2067	-2061	-2055	-2055	-2031
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1891	-1881	-1871	-1871	-1861	-1851	-1841	-1831	-1831	-1821	-1815	-1805	-1793	-1793	-1781	-1767	-1743	-1718	-1718	-1603
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	4328	4345	4390	4154	4187	4318	4450	4138	4138	4254	4381	4511	4008	4008	3393	3401	3391	3204	3156	2767
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	67487	67610	68282	68226	68309	68500	85932	86937	86944	86824	90407	76798	63538	63370	51912	51463	51247	50381	52718	53761
Nợ phải trả ###Liabilities	925	894	1588	1575	1327	1573	1215	1639	1640	1378	5171	4060	2712	2545	388	266	245	112	385	435
Nợ ngắn hạn###Short term Liabilities	925	894	1588	1575	1327	1573	1215	1639	1640	1378	5171	4060	2712	2545	388	266	245	112	385	435
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	66563	66716	66695	66651	66982	66927	84717	85298	85303	85446	85236	72738	60826	60825	51524	51197	51002	50269	52333	53326
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	66563	66716	66695	66651	66982	66927	84717	85298	85303	85446	85236	72738	60826	60825	51524	51197	51002	50269	52333	53326
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



