CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015	 2014	 2013
Tài sản ngắn hạn###Current Assets	3699852	3608823	3523743	3502104	3553136	3435539	3550907	3647447	3811382	3888687	4142675	4263661	4097728	4340010	4262919	4301530	4168886	4669937	4327496	4233480	3723982
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	179528	85679	118980	118633	118801	100999	107754	170381	170334	191790	170317	171757	256026	255376	341413	533779	464185	952810	914051	764780	549783
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	426480	501480	496480	496480	491308	346223	334480	358480	358480	346480	243480	259250	247250	247250	215251	56770	129771	282970	195859	149500	135000
Các khoản phải thu ngắn hạn###Short term Account Receivables	1711176	1710825	1582844	1584258	1750252	1750952	1728108	1635530	1830320	1720643	1776574	1985791	1907718	2197503	2226412	2240698	2238646	2102666	1806365	1835513	1852176
Hàng tồn kho###Inventory	1348354	1274340	1293222	1270439	1128944	1211035	1316016	1444584	1413777	1578164	1892163	1785728	1639689	1598895	1433774	1426739	1277068	1295456	1380533	1420557	1144695
Tài sản ngắn hạn khác###Other Current Assets	34315	36499	32216	32295	63831	26331	64549	38472	38470	51610	60141	61136	47045	40985	46068	43544	59216	36035	30688	63130	42328
Tài sản dài hạn###Non-current Assets	2221580	2184513	2185701	2134701	2076404	2168331	2145185	2066142	2073672	2073340	2087425	1988489	2016763	2057522	1892530	1858192	2432393	1638081	2457718	1442570	1386233
Các khoản phải thu dài hạn###Long term Account Receivable	2072	1932	2022	91	91	1967	126	126	217	187	193	134	10339	1060	174	174	240	215	985	0	0
Tài sản cố định ###Fixed assets	330684	335886	340049	340346	306063	311565	315141	319979	321382	320140	311870	236962	242960	247014	223243	191637	245019	266997	437107	442734	461668
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-282056	-275943	-269853	-271636	-266111	-259363	-257458	-250854	-260052	-251269	-243384	-235446	-229246	-228662	-253723	-247087	-222606	-246996	-309913	-313864	-286059
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-11258	-10575	-9883	-9381	-8689	-8156	-7668	-7157	-6206	-5736	-5266	-4724	-4292	-3952	-3559	-3468	-3468	-3467	-3462	-7742	-7440
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1824334	1781997	1779615	1729998	1705219	1761747	1771140	1690010	1697699	1687682	1694468	1592372	1609147	1642584	1393557	1392299	1989326	1212792	1899545	995096	906781
Tài sản dài hạn khác###Other long term assets	36020	36840	37562	37462	42410	80459	49850	52313	52093	59829	62760	65316	70526	75562	137653	139621	92608	69013	76328	4679	4229
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	5921433	5793337	5709444	5636804	5629540	5603870	5696092	5713589	5885054	5962027	6230100	6252150	6114491	6397532	6155449	6158388	6601279	6308017	6785214	5676050	5110215
Nợ phải trả ###Liabilities	3100702	2948602	2888069	2863953	2887947	2911107	2976296	3052575	3216584	3325440	3657300	3756871	3608396	3855322	3696393	3761129	3646007	4043676	3266792	3327913	2963078
Nợ ngắn hạn###Short term Liabilities	3032941	2880291	2820160	2797815	2830271	2856340	2918569	2995997	3159591	3267374	3598776	3696645	3548169	3808018	3642589	3711219	3590859	3988526	3182357	3183276	2809675
Nợ dài hạn###Long term Liabilities	67760	68311	67909	66138	57677	54766	57726	56578	56993	58066	58524	60226	60226	47304	53804	49910	55148	55150	84434	144636	153403
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2820731	2844735	2821375	2772852	2741593	2692764	2719797	2661015	2668470	2636587	2572800	2495279	2506096	2542210	2459057	2397259	2955272	2264341	3488258	2290364	2147137
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2820731	2844735	2821375	2772852	2741593	2692764	2719797	2661015	2668470	2636587	2572800	2495279	2506096	2542210	2459057	2397259	2955272	2264341	3488258	2290364	2147137
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57774	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1217506	1329679	5723376	1596238	1431892	1472968	1285718	6048684	1663578	1445973	1499244	1370272	6848405	1858208	1595926	2010588	1377293	6122122	7380800	8085847	8092962
Các khoản giảm trừ doanh thu###Deduction revenues	14089	7880	30389	13803	11249	12216	6221	48002	22797	10459	8708	5918	34111	13860	10305	5194	10893	86012	99683	69944	53124
Doanh thu thuần###Net Sales	1203416	1321799	5692987	1582435	1420643	1460752	1279496	6000682	1640781	1435513	1490536	1364354	6814294	1844349	1585621	2005394	1366399	6036110	7281118	8015903	8039838
Giá vốn hàng bán###Cost of goods sold	1087395	1204244	5199374	1432591	1299922	1340521	1175405	5485420	1490363	1315490	1365027	1250559	6218702	1709582	1432618	1807393	1245908	5487032	6606452	7297354	7294299
Lợi nhuận gộp###Gross profit	116022	117554	493612	149844	120721	120231	104091	515262	150418	120023	125509	113795	595592	134767	153003	198001	120491	549079	674666	718549	745540
Doanh thu hoạt động tài chính###Financial activities Revenues	27444	14791	100039	34755	18560	25920	20595	93445	27588	19066	32701	14209	78260	30510	12383	12954	16868	344973	229364	197988	137279
Chi phí tài chính###Financial Expenses	527	53616	99000	31258	13819	32405	21068	124789	38403	21495	33296	30836	135959	31402	31739	57809	20045	102389	165637	123973	150075
Chi phí bán hàng###Selling Expenses	61006	61147	266060	85279	65657	59536	55725	290406	79493	67464	74345	61479	340323	87051	82758	107003	69217	329182	361105	354848	344765
Chi phí quản lý doanh nghiệp###Managing Expenses	31902	26383	137101	45275	33688	33553	25913	126369	34740	34090	30779	29670	134055	51419	32980	27381	24911	115903	187972	204988	212094
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	83755	31534	239605	52213	52645	61928	65453	217277	47492	65522	72404	40140	228570	47909	60015	77907	58425	484040	363309	232728	329467
Thu nhập khác###Other incomes	593	188	3936	3236	443	180	100	3485	-786	249	2889	2018	47258	72138	640	7653	492	200267	16002	63041	45316
Chi phí khác###Other Expenses	296	6	2055	503	319	280	1135	3009	2290	128	101	237	18215	48223	589	1494	416	3900	3964	56113	31499
Lợi nhuận khác###Other profits	297	183	1882	2734	124	-99	-1034	475	-3076	121	2788	1780	29043	23915	51	6160	76	196367	12038	6929	13816
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	84052	31717	241487	54947	52769	61828	64419	217752	44416	65643	75192	41920	257613	71824	60066	84067	58501	680408	375346	411071	343283
Chi phí thuế TNDN###Corporate Income Tax Expenses	3456	3582	12806	4225	2643	2781	3009	11434	4001	2388	2299	3861	14597	5184	3940	5159	4498	18571	25329	26459	31902
Chi phí thuế TNDN###Corporate Income Tax Expenses	3456	3582	12806	4225	2643	2781	3009	11434	4001	2388	2299	3861	14597	5184	3940	5159	4498	18571	25329	26459	31902
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	85677	33062	250428	57694	54804	64356	66255	225715	45464	66719	72893	43522	271554	73345	61115	86609	59964	682038	353515	392150	311381
---Cac Chi So Tai Chinh---																					
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	10.30	9.05	10.21	10.21	12.33	14.45	15.95	15.57	15.57	16.14	14.06	17.93	19.53	19.53	15.00	21.14	0.00	0.00	0.00	0.00	0.00
