CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	160446	183762	142366	144255	124132	137090	121119	102124	120373	116389	117735	139934	145737	156928	165657	208067	218167	212385	219443	201002	199099	143813	132035	136587	114264	108049	107736	132203	142119	127849	111633	112320	111052	111052	109435	118854	131304	151527	163006	158532	156784	171171	178202	180778	136740	141093	124433	130499	131376	169889	119782	149548	171790	173147	139860	99438	80176	87987	62300	29325	21007
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4138	660	234	287	269	2005	160	264	263	1183	557	3419	3090	3101	1110	1189	787	1414	1425	10075	5819	206	660	660	1432	2897	1950	10828	10854	2782	4082	1677	6494	6494	2878	3975	1052	26024	19463	3256	2337	2282	16273	16278	2513	8982	5009	6918	6933	2554	1596	2504	14134	13298	2687	2857	2422	10424	5489	1027	1109
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	39084	0	0	0	0	0	0	110	110	148	148	148	148	148	358	358	358	358	358	358	358	358	358	358	358	358	0	358	303	3707	6062	6501	3293	3293	4035	3568	8962	6014	12580	8726	7526	7526	7526	7526	426	26	3526	4926	4926	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	66019	129669	74566	76249	59768	73134	44208	41362	58978	55717	53071	68618	72918	83924	73742	114316	120818	128300	135827	114952	119783	72174	74584	79090	40329	55957	56655	85800	82993	54932	48955	58282	47973	47973	32074	43201	35456	35321	45061	66913	43715	66620	80513	84483	47084	37087	41821	59688	59797	75110	43361	50239	78063	113221	79024	49066	27885	41945	19680	9417	9830
Hàng tồn kho###Inventory	51118	53297	67413	67535	63773	61820	75451	60057	60706	58860	63689	67454	69215	69215	89243	89739	94220	80930	80444	74079	71171	68790	56265	56270	69682	48112	47571	34997	36567	53811	43585	36704	46500	46500	57664	56720	71691	67718	69772	63671	82081	71369	50129	49154	67846	70935	55754	43791	42856	69415	48695	75109	60783	31776	39532	28846	32014	23164	29329	15841	9922
Tài sản ngắn hạn khác###Other Current Assets	87	135	152	185	323	131	1300	331	315	481	270	296	367	540	1205	2465	1984	1383	1389	1539	1968	2285	169	210	2463	725	1560	220	11402	12617	8950	9156	6792	6792	12783	11391	14144	16450	16131	15966	21125	23374	23761	23336	18871	24063	18323	15176	16863	22810	26131	21696	18811	14851	18617	18669	17854	12454	7803	3040	146
Tài sản dài hạn###Non-current Assets	29878	31814	32598	33003	35554	37126	37953	39571	39725	41705	42987	44703	46483	46403	48329	50069	52058	54127	54269	55691	57721	58696	60406	60215	57559	57655	58915	59871	59514	61441	63392	64626	66651	66651	69012	69846	71107	72302	73772	73948	67275	68052	69930	70601	71608	72033	59411	63290	92764	74890	54546	15795	11831	8930	8958	9184	9334	9744	4186	4063	4788
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18071	13204	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	29648	31453	31981	32726	35013	35538	36823	38158	38267	39948	40968	42380	43867	41924	43525	45176	46828	48525	48679	49782	51429	52208	53647	53458	50586	51006	52029	52760	52536	54127	55713	56832	58435	58435	60201	60846	63072	61758	65381	65249	0	59996	58274	61350	62184	62911	59409	4614	54467	54020	48877	12100	10621	8862	8877	9089	9288	9742	4182	3981	4596
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-53792	-53784	-51891	-51954	-53231	-52082	-51063	-49294	-49333	-48009	-45865	-44090	-42294	-44339	-42816	-41105	-39464	-37691	-37662	-35434	-33536	-32804	-31104	-31266	-29470	-27237	-25573	-23829	-24451	-22882	-21318	-19640	-18070	-18070	-16946	-15884	-15466	-13887	-13866	-12414	0	-8562	-7802	-7843	-7670	-6222	-4434	-4339	-4341	-4125	-3895	-3676	-3449	0	0	0	-2745	-2528	-1866	-1613	0
