CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	142298	121159	128989	128989	151387	147545	135978	129569	129580	158621	154712	116609	128208	128200	167456	152846	123988	140680	140680	159559	122839	114288	126028	125989	122745	108490	96116	98324	99283	135335	128723	120544	120471	122789	133735	132645	135780	155225	155322	171057	155849	142409	151735	150562	142360	125860	143755	157129	154917	143615	117222	106328	64837	64626	75037	68249	54819	54430	54430	70497	53570	44629	53786	53618	59256	51292	38058	34809	34809	27486
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	9316	5781	11153	11153	19990	7289	14809	24585	24585	5141	3531	29751	26780	26780	12355	7728	13088	27639	27639	16054	8515	12612	9340	9340	14312	3762	11267	13400	13398	9911	9927	13056	39177	39177	33440	39064	61831	63022	64812	66885	59554	71108	71878	65488	40189	35308	85722	98425	98325	57595	15986	16810	4714	4705	2142	5233	4840	13657	13657	8609	3064	312	8758	8758	4519	972	764	2762	2762	2443
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	29554	33000	21000	21000	0	0	0	0	0	0	0	0	0	0	0	2000	10000	10000	10000	8000	8000	18842	28870	28870	14868	14000	22205	14000	21705	32705	29705	30705	20705	20705	12576	12866	6951	8796	7005	12315	16893	11943	11943	18333	23810	19810	0	0	0	0	36000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	83671	53764	68720	68720	95055	75970	50467	64428	64440	104624	76497	45573	63197	63197	107226	75143	40812	58776	58776	92176	59512	38403	37921	37959	59779	49688	20892	35988	28572	49705	39830	24630	25350	27602	48446	38142	22703	42884	43093	53001	41543	23480	39822	38696	47029	36852	25033	28835	27073	52697	33773	53494	22795	22592	42124	31082	24878	18495	18495	36130	24644	23472	28156	28287	38297	28704	19626	16873	16873	12822
Hàng tồn kho###Inventory	18413	28438	27478	27478	34993	63054	68843	40542	40541	48783	74201	37848	37462	37462	47107	66646	57462	43527	43527	42335	45827	42885	49071	48967	32784	40355	38708	33877	33842	41011	47238	49503	32906	32906	36201	40143	41393	38419	38423	36525	35207	32850	25843	25842	29816	32128	30906	28977	28691	32283	30136	34417	35854	35854	30082	31234	23907	21392	21392	25163	25069	19495	15809	15509	15934	21003	16868	14349	14349	11880
Tài sản ngắn hạn khác###Other Current Assets	1344	177	638	638	1349	1232	1858	15	15	73	483	3438	770	762	768	1328	2625	738	738	995	984	1547	826	854	1002	685	3044	1059	1766	2003	2023	2650	2333	2399	3073	2430	2903	2105	1988	2331	2652	3028	2250	2204	1517	1761	2093	891	828	1040	1327	1606	1475	1475	689	700	1195	886	886	594	793	1350	1064	1064	506	612	800	826	826	341
Tài sản dài hạn###Non-current Assets	20755	21358	21731	21805	23294	24034	24600	24514	24512	24431	24659	25406	25911	25911	26261	25677	26411	26917	26917	27629	27923	28102	27861	27861	28241	30031	29095	27081	26121	13943	10640	23834	25999	23758	21945	12163	9267	11004	11004	5857	7284	8638	22591	22228	19533	22095	22338	23599	25857	23538	24948	31836	30699	30699	30896	30759	32462	35691	35691	33357	39099	38061	26599	26549	22010	18089	17954	15885	15885	14078
Các khoản phải thu dài hạn###Long term Account Receivable	3792	3575	3544	3544	3536	3536	0	0	0	0	0	5	5	5	5	5	5	5	5	5	980	1030	1030	1030	1030	1030	950	1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1992	2234	2389	2389	2622	2855	3089	3322	3321	3554	3680	3292	3092	3092	3295	3416	3461	3651	3651	3840	4030	3446	3505	3505	3662	3819	2549	4302	1682	386	425	2703	2772	532	564	460	630	1644	1644	1792	1863	2012	14296	14013	13828	14006	14188	14350	14342	14466	14235	14441	14560	14560	14741	14900	14629	14802	14802	14964	14568	14485	1929	1922	786	862	679	743	743	610
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4841	-4459	-4386	-4386	-4158	-3929	-3701	-3473	-3475	-3247	-3023	-2805	-2603	-2603	-3093	-2897	-2705	-2515	-2515	-2326	-2136	-2470	-2308	-2308	-2151	-1994	-1791	-1667	-1667	-2447	-2409	-2370	-2333	-2333	-2269	-2177	-2351	-3230	-3230	-3484	-3355	-3213	-4159	-4246	-4071	-3901	-3726	-3548	-3557	-3411	-2341	-2083	-1953	0	0	-1752	0	-1404	0	0	0	0	-734	0	0	-923	-844	-783	-783	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-63	-58	-54	-54	-49	-44	-38	-33	-33	-28	-23	-17	-12	-12	-7	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-74	-96	-96	-105	-97	-90	-82	-82	-75	-67	-60	-52	-52	-49	-45	-39	-37	0	0	-32	0	-27	0	0	0	0	-19	0	0	-18	-14	0	-11	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	489	0	489	506	524	559	541	559	629	629	629	876	973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	4448	4666	4666	4740	4832	4832	4930	4930	4930	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	3150	3150	750	750	930	930	930	930	930	930	930	14231	15331	15331	14231	4529	930	750	750	750	750	750	750	750	750	750	750	750	2770	2328	2730	6590	4410	4410	4410	5844	5844	5094	5094	5094	5094	5094	5094	5094	5034	5034	3600	270	270	0
Tài sản dài hạn khác###Other long term assets	10523	10883	11132	11132	12305	12811	13119	12800	12800	12326	12428	13557	14263	14263	14410	13705	14454	14835	14835	15401	16529	17806	19906	19906	19948	21631	22045	20739	20889	10007	6665	6900	7895	7895	7149	7174	7707	8121	8121	2808	4147	5334	6986	6906	4378	6746	6772	7870	7870	5770	7983	10805	11729	11729	11745	10015	11990	15795	15795	13299	19437	18482	19577	19534	16190	12194	13674	14871	14871	13469
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	163054	142517	150720	150794	174681	171579	160578	154083	154093	183052	179371	142015	154120	154112	193717	178523	150398	167597	167597	187189	150762	142390	153889	153850	150986	138520	125211	125405	125404	149279	139363	144378	146470	146547	155680	144808	145047	166229	166326	176914	163133	151046	174326	172790	161893	147955	166094	180728	180774	167153	142171	138164	95536	95324	105933	99008	87281	90120	90120	103853	92669	82691	80385	80168	81267	69381	56012	50694	50694	41564
