CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	69494	97178	152398	76470	81858	114005	101206	73734	83598
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4473	9566	48404	7319	8097	16433	17632	10514	6729
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	3500	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	22042	39757	60346	35231	40705	35567	32550	34993	46521
Hàng tồn kho###Inventory	33563	41505	37196	33375	32796	61018	49765	27937	28490
Tài sản ngắn hạn khác###Other Current Assets	5916	6350	6451	544	260	987	1259	291	1858
Tài sản dài hạn###Non-current Assets	18931	17760	16040	19109	23436	18755	20230	20798	21916
Các khoản phải thu dài hạn###Long term Account Receivable	167	164	214	173	166	0	0	0	0
Tài sản cố định ###Fixed assets	9689	9289	7930	4225	4521	4271	5068	13598	14685
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-18321	-16370	-14701	-20514	-19367	-18924	-17738	-20735	-19610
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	-3550	-3043
Lợi thế thương mại	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	5579	6086	6594	7101	7608	8115	8622	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	160	160	160	160	160	160	160	160	160
Tài sản dài hạn khác###Other long term assets	3337	2060	99	5497	5677	6208	6380	7040	7070
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	88425	114939	168438	95579	105294	132759	121436	94532	105513
Nợ phải trả ###Liabilities	22413	45442	87176	49775	55917	81288	70508	41741	53014
Nợ ngắn hạn###Short term Liabilities	21265	44294	86029	48627	54769	81288	70508	41364	45028
Nợ dài hạn###Long term Liabilities	1148	1148	1148	1148	1148	0	0	377	7985
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	66012	69497	81262	45804	49377	51472	50928	52791	52500
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	66012	69497	81262	45804	49377	51472	50928	52791	52500
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	71085	98203	119349	103571	156219	195212	132885	126658	105656
Các khoản giảm trừ doanh thu###Deduction revenues	0	240	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	71085	97963	119349	103571	156219	195212	132885	126658	105656
Giá vốn hàng bán###Cost of goods sold	61479	82879	124693	83567	133427	168941	106761	101934	82737
Lợi nhuận gộp###Gross profit	9606	15084	-5344	20003	22793	26271	26124	24724	22919
Doanh thu hoạt động tài chính###Financial activities Revenues	468	1003	149	61	87	58	89	100	128
Chi phí tài chính###Financial Expenses	1173	1588	2279	1975	2159	1903	1416	1702	3433
Chi phí bán hàng###Selling Expenses	3130	8509	375	303	253	451	513	2112	679
Chi phí quản lý doanh nghiệp###Managing Expenses	5992	6126	9064	15572	16954	18271	17880	17299	14266
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-221	-137	-16914	2215	3514	5704	6404	3712	4670
Thu nhập khác###Other incomes	751	760	79592	2622	653	1425	999	3030	1772
Chi phí khác###Other Expenses	433	405	17874	2577	144	134	510	196	130
Lợi nhuận khác###Other profits	318	355	61718	46	509	1291	490	2834	1642
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	97	218	44804	2260	4022	6995	6894	6546	6312
Chi phí thuế TNDN###Corporate Income Tax Expenses	61	150	9168	479	916	1603	1790	1201	1147
Chi phí thuế TNDN###Corporate Income Tax Expenses	61	150	9168	479	924	1603	1790	1201	1147
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	-8	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	36	68	35635	1781	3107	5392	5104	5344	5165
---Cac Chi So Tai Chinh---									
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	65.00	69.27	17.35	0.00	0.00	0.00	0.00	0.00	0.00
