CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	 2011	 2010
Tài sản ngắn hạn###Current Assets	638301	687873	694677	695909	712161	733344	731899	711162	713502	729117	725515	738187	686994	687191	682152	679143	619519	642903	642903	617026	586133	507229	537376	569938	599769	595045	665091	645102	639151	610214	423691	405051	339322	339322	333613	324249	300531	185142	110620	103582
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	79392	64436	78791	78791	46800	58408	29994	30000	30000	48282	52200	35016	23273	23273	23538	33450	31830	28874	28874	36310	29800	42069	45368	45368	45234	68738	36687	30662	30662	68663	12209	26091	6430	6430	23109	32651	59186	21630	19451	2956
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	375918	431746	379611	381508	421753	430339	432408	384954	387294	306610	326916	377476	339850	339668	298235	317828	272835	325073	325073	281160	242998	193435	232954	256300	238109	279965	380455	371347	366596	225993	267137	307131	260393	260393	195217	244948	188144	108340	42354	57283
Hàng tồn kho###Inventory	169101	185677	215276	214633	224256	226196	253957	277302	277302	362556	342454	316709	309161	309462	339714	315385	310224	278847	278847	285552	293869	257613	243012	243175	278032	214088	219269	220080	220081	288755	125591	62723	68558	68558	103683	40682	52795	54539	48458	31926
Tài sản ngắn hạn khác###Other Current Assets	8890	1014	15999	15977	14351	13401	10540	13905	13905	11668	3945	8986	14709	14788	20665	12481	4630	10109	10109	14004	19465	14112	16042	25095	38394	32254	28680	23013	21812	26804	18754	9106	3940	3940	11605	5968	407	631	357	11416
Tài sản dài hạn###Non-current Assets	194771	203304	211229	210743	267492	207421	212409	223808	221290	231326	241812	336573	350186	350186	346247	357029	376046	375819	375819	369680	382348	388477	399363	370634	344167	342049	333004	315901	319032	308974	241484	233445	234237	234237	212945	216330	211682	219376	220722	186876
Các khoản phải thu dài hạn###Long term Account Receivable	2599	2599	2566	2599	2670	2580	252	3052	534	505	505	500	500	500	1845	1845	3481	1825	1825	1825	1868	1815	1815	1815	1684	1537	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	169767	178139	185669	185669	193778	200417	208933	217542	217542	217325	222701	310229	315623	315623	326049	332500	344581	349276	349276	349196	358249	357983	352949	353025	326718	321109	324344	308535	285087	290216	217120	206869	219052	219052	202456	206273	201411	208198	216127	92019
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-349867	-341552	-333118	-333118	-324553	-309692	-301543	-290263	-290263	-281493	-275106	-277295	-268347	-268347	-243487	-235404	-227337	-219230	-219230	-210588	-200953	-191975	-183768	-183803	-175038	-167392	-160195	-146277	-146286	-139004	-128714	-121273	-111572	-111572	-103194	-95799	-89230	-82720	-55904	-27497
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	-6285	-5881	-8525	-8525	-7994	-7464	-6933	-6403	-6403	-21323	-20862	-19752	-18688	-18688	-16833	-14528	-12223	-10011	-10011	-15686	-13946	-11886	-9837	-9837	-8053	-4751	-3635	-3201	-3201	-2812	-1992	-1217	-448	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-2004	-1947	-1894	-1894	-1843	-1790	-1736	-1683	-1683	-1630	-1577	-4679	-4308	-4308	-3681	-3398	-3413	-3128	-3128	-3138	-2879	-3005	-2750	-2750	-4490	-4449	-3171	-1906	-1906	-1027	-966	-904	-859	-859	-843	-762	-726	-674	-445	-261
Lợi thế thương mại	81	91	96	19591	96	0	109	111	111	115	120	125	130	130	135	140	145	150	150	154	159	164	169	-17317	-16381	-16381	190	0	195	195	22	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	865	865	865	865	865	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	67580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18900	15000	5000	5000	1000	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	1039	1559	1987	21482	2268	2542	2673	3214	3214	2731	2585	2738	6797	6797	2593	3815	10200	2709	2709	2519	4731	8442	11614	4463	2555	2983	5171	7177	7177	15354	5404	8559	10185	10185	9489	10056	10271	11178	4357	2247
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	833072	891178	905906	906652	979653	940765	944308	934969	934792	960442	967327	1074760	1037180	1037377	1028399	1036172	995565	1018721	1018721	986705	968481	895707	936739	940572	943936	937094	998095	961003	958183	919188	665176	638496	573559	573559	546559	540579	512214	404518	331342	290457
Nợ phải trả ###Liabilities	269570	303750	336385	338164	414757	391229	411367	386950	386773	429446	447583	502273	469255	469108	464727	475885	427854	455264	455264	432251	420369	331065	372464	393007	412338	403796	454489	451682	448909	419215	359700	342853	267683	267683	258405	247143	226647	233605	180806	137938
Nợ ngắn hạn###Short term Liabilities	268811	302877	335523	337303	412363	389093	407878	381420	382596	422459	439130	492103	453834	456895	447266	448106	384738	434290	434290	387129	368045	275214	313421	338104	339139	317589	395336	384445	381670	320935	278464	252801	178570	178570	166927	155604	112996	112162	72733	72049
