CAN DOI KE TOAN	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Tài sản ngắn hạn###Current Assets	156373	162214	157688	188434	174202	125896	128420	135109	154623	172570	103756	92341	99767	118788	98172	106214	77641	90405	117226	113455	95938	84822	88344	106239	121377	103339	93214	94667	146496	147972	123415	110555	111891	144841	125365	95260	92749	92737	131831	121739	117490	132171	132171	86569	86569	74758	74725	123566
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	11928	34036	34220	20098	26464	13330	41117	41117	28733	18917	12274	19968	19968	11458	8714	14719	16316	8457	5145	9861	15005	16103	16182	9860	11889	10881	17339	17314	14074	30904	18275	25392	25392	25330	29030	22828	25748	25748	22444	22692	24225	37380	37380	32866	32866	16928	16928	19070
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	59	59	59	59	59	10046	10046	24044	24044	190
Các khoản phải thu ngắn hạn###Short term Account Receivables	95311	92079	87883	95488	88291	84190	50903	57664	77883	101061	63689	48538	55964	70972	51514	56689	41621	50501	71473	77421	56659	41045	44793	54490	69071	56735	41240	42855	67287	46889	64511	42911	49406	51936	34659	31146	30832	32935	40854	46651	45206	40423	40423	17138	17138	13706	13673	10915
Hàng tồn kho###Inventory	48617	35321	35321	72246	57018	27209	34187	34116	45407	48492	24347	22034	22034	33440	34379	25569	15876	15858	28804	22742	15207	17990	17624	29603	26263	22799	20923	20848	50962	49348	25512	26463	21444	49141	39154	25405	20782	18608	45322	32401	30701	34943	34943	16966	16966	10547	10547	86671
Tài sản ngắn hạn khác###Other Current Assets	518	778	263	602	2430	1166	2213	2213	2600	4101	3446	1800	1800	2918	3565	9237	3828	15589	11804	3431	9067	9684	9745	12285	14155	12924	13712	13650	14174	20832	15116	15789	15648	18435	22522	15880	15387	15387	23152	19936	17299	19367	19367	9554	9554	9534	9534	6721
Tài sản dài hạn###Non-current Assets	19894	20246	20838	21968	21120	21690	21877	21877	25193	25610	25957	26287	26287	26845	27655	28379	29243	29309	28854	30302	22805	16876	16876	14200	17057	17450	18565	18795	19804	20728	21400	22736	22738	23141	24550	25274	24723	24674	25626	26555	26974	26734	26734	19857	19857	21567	21567	21111
Các khoản phải thu dài hạn###Long term Account Receivable	614	684	684	684	684	626	626	626	626	626	626	626	626	626	626	0	717	0	0	717	0	0	0	0	0	0	2	2	4	10	10	16	16	16	24	24	24	24	32	32	32	32	32	40	40	53	53	74
Tài sản cố định ###Fixed assets	8273	8528	8528	8768	9007	9260	9534	9534	9851	10179	10536	10910	10910	11458	12022	23077	13185	23741	23307	24363	17477	11289	11343	8041	10386	11021	11728	11728	12456	13386	15228	16025	15844	16844	17857	18307	17883	17896	18891	19753	20596	20228	20479	15254	15254	17237	17237	15738
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-38402	-38172	-38172	-37940	-37707	-37461	-37193	-37193	-36884	-36562	-36212	-35845	-35845	-35304	-34746	-34179	-33596	-33483	-33924	-32745	-31918	-31266	-31272	-31871	-35891	-35212	-34514	-34873	-34155	-33385	-35071	-34227	-34408	-33351	-32298	-31393	-30354	-30354	-29334	-28916	-28046	-26999	-26999	-25042	-25042	-22221	-22221	-19250
