CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	1423997	1068219	1098183	1104169	1046634	1179392	1028727	1187087	1190213	1278449	1202616	1112760	1343058	1343058	1384650	1132506	984255	1078259	1078259	1237868	867645	828081	1091370	1078846	1075150	983721	782386	999102	1015616	931975	554727	577561	605705	605705	630800	505241	316525	329653	329504	473678	441304	403926	651542	651542	482683	468199	429523	379762	380222	516778	228761	204725	505691	505691	610930	324902	151779	213217	212844	350087	255992	218400	279388	279388	261554	193462	139352	139352	139352	129420	139352	129187
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	268411	311023	244107	244107	66518	101448	194369	26594	31694	74577	277829	100166	165795	165795	62079	150177	276797	325929	325929	193460	154943	262568	322682	322424	173249	134429	195802	240983	261983	98525	84551	110003	151574	151574	20963	159841	56325	12738	12738	40944	98696	97370	134547	134547	6390	142389	200376	40590	40847	8337	11531	37357	282929	282929	305654	119907	1844	1251	1251	9968	11699	399	2668	2668	10882	4123	7698	7698	7698	20939	7698	34892
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	9516	8616	8616	8616	6616	12299	5100	5100	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	92285	82285	0	86000	0	21000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	337459	221000	242328	245362	399212	346705	228571	288856	291982	475397	323694	332005	412561	412561	397046	354429	177453	250967	250967	382057	170495	178590	208407	208665	263535	228278	144069	183550	237307	313922	253105	161229	131490	131490	226333	108990	88308	128733	128595	105494	85936	73417	122058	122058	190153	118428	74548	90080	90284	207125	66030	52402	57652	57652	106693	83243	54106	94459	94072	127129	94161	77922	107483	107483	75481	97037	35124	35124	35124	59398	35124	37506
Hàng tồn kho###Inventory	775198	504624	577710	580663	556048	699084	584272	837299	837299	695318	573353	657077	736345	736345	895014	607047	506348	476874	476874	624691	511825	358172	441418	438914	610142	506093	423015	531635	493325	501482	204260	291000	300126	300126	346964	215487	160964	181272	181272	317732	243840	225085	387451	387451	275439	197292	148494	243228	243228	287173	146246	110844	161158	161158	189524	114638	92724	111912	111912	200078	142112	135249	162920	162920	166650	87102	87087	87087	87087	43072	87087	44074
Tài sản ngắn hạn khác###Other Current Assets	33413	22956	25421	25421	18240	19856	16415	29238	29238	33158	27740	23512	28357	28357	30510	20853	23657	24488	24488	27660	20382	18752	26579	26559	28224	28921	19500	21933	23000	18046	12810	15329	22515	22515	36540	20923	10928	6910	6899	9508	12832	8054	7486	7486	10701	10090	6105	5863	5863	14142	4954	4123	3951	3951	9059	7114	3106	5594	5608	12912	8020	4831	6317	6317	8541	5200	9443	9443	9443	6010	9443	12715
Tài sản dài hạn###Non-current Assets	511925	449896	422656	415532	318893	332183	315871	308157	299740	333347	328496	308087	306693	306693	321119	294953	315840	295762	295762	300388	297655	253682	252589	262589	259357	249047	213983	190800	137811	144327	172131	133814	136065	136065	141997	142768	139282	129307	129307	132221	137159	122753	126507	126507	133942	134158	128417	122212	122212	121043	113329	113894	117716	117587	126358	131570	127744	121903	121254	115595	102625	105557	103773	103773	89121	86193	78493	78493	78493	73653	78493	94145
Các khoản phải thu dài hạn###Long term Account Receivable	0	1508	3034	0	0	0	0	0	0	0	0	0	0	0	368	368	368	368	368	368	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	331302	261852	267153	267153	259106	264910	278395	276025	276025	280339	265428	268252	276213	276213	285491	222835	222881	234252	234252	230261	229730	213302	217679	224714	203138	203504	90825	96844	96844	98518	95819	116326	118082	118082	128269	129603	125974	98454	114482	116113	119838	105072	75718	107928	109087	107735	101519	72995	93977	91410	83107	82712	86035	85465	88550	92128	86977	80909	80820	77896	64258	66429	64095	64095	48873	45615	51481	51481	51481	56575	51481	78244
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-509209	-491645	-473679	-473679	-456437	-439692	-427622	-411877	-411877	-395888	-381400	-366567	-351480	-351480	-337589	-325134	-313687	-301630	-301630	-289904	-278205	-267214	-256194	-256194	-245921	-235731	-229013	-223597	-223597	-217698	-213702	-210380	-204860	-204860	-199009	-193960	-195473	-191604	-191604	-186719	-181940	-179243	-175365	-175365	-173472	-169744	-166274	-163005	-163005	-160802	-158997	-159925	-157924	-158004	-154496	-150805	-147278	-143729	-143691	-140495	-137296	-133990	-130849	-130849	0	-123648	-115757	-115757	0	0	-115757	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1024	-1187	-1152	-1152	-1117	-1170	-1048	-1012	-1012	-975	-938	-901	-864	-864	-827	-793	-767	-735	-735	-700	-665	-630	-598	-1283	-1204	-1135	-1066	-1152	-1152	-1078	-1004	-928	-852	-902	-826	-750	-678	-612	-612	-565	-523	-486	-461	-461	-438	-414	-391	-367	-367	-346	-326	-305	-284	-284	-263	-243	-222	-201	-201	-186	-175	-165	-155	-155	0	-134	-116	-116	0	0	-116	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
