CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	6583628	6813861	6934017	6941158	6383788	6021847	5725277	7034989	7030470	6615257	5687511	4502620	4260887	4260887	4174598	4713689	4792693	4534820	4560089	3956745	4372181	4205135	4160898	4069828	3019066	2519426	1100102	950870	1213451
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	532767	642194	552340	553894	433375	426982	370891	544516	544516	489548	751260	546906	637367	637367	691231	707457	623962	976979	977111	452167	1134289	1599321	735084	735084	892360	1056467	349357	354218	725754
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	3993120	4033311	4173210	4175489	3468702	3015528	2709759	3792299	3792299	3453089	2523222	1659884	1472830	1472830	1348852	1929146	2345354	1680039	1680039	1628099	1206194	578048	1065619	1065619	548853	11947	4000	4000	18000
Các khoản phải thu ngắn hạn###Short term Account Receivables	1003724	1039728	987902	991210	1091072	1100492	1036792	984461	979940	985080	922698	865968	836928	836928	919003	887104	834208	808599	833736	893498	877272	834094	976036	994444	703045	629259	487589	400978	311825
Hàng tồn kho###Inventory	544464	516889	656730	656730	750421	825628	701238	840231	840231	831192	673490	597868	519570	519570	437007	472252	333841	406625	406625	306151	392709	504153	505587	505587	221071	264580	118582	82935	63913
Tài sản ngắn hạn khác###Other Current Assets	509552	581740	563835	563835	640219	653216	906597	873482	873484	856348	816842	831994	794191	794191	778505	717731	655328	662578	662578	676830	761716	689519	878572	769094	653737	557172	140575	108740	93959
Tài sản dài hạn###Non-current Assets	6555871	6497143	6396938	6393105	6028274	5470234	4971807	4688852	4693373	4290939	4198404	4040469	3956838	3956838	3852257	3842801	3864895	3993338	3993338	3965643	3979108	3931220	3784506	3893984	3604163	2622412	2144520	1587996	1205146
Các khoản phải thu dài hạn###Long term Account Receivable	25856	25451	25876	22044	21991	21931	22070	22061	22061	21725	21174	20897	21095	21095	16666	19959	16652	16652	16652	16553	1525	1503	4517	4517	0	2762	0	0	0
Tài sản cố định ###Fixed assets	4752810	4672977	4791799	4791799	4616016	4434198	4242579	4089813	4094334	3732929	3687687	3424475	3456646	3456646	3358723	3146276	3151887	3255469	3249384	3297414	3301397	3204122	3093537	3093537	2982580	2158625	1856359	1226852	1011500
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4214737	-4012176	-3948786	-3948786	-3805871	-3607514	-3456359	-3354423	-3354177	-3291020	-3164677	-3058853	-2894009	-2894009	-2751955	-2581007	-3279201	-3120159	-3115692	-2910109	-2723912	-2549875	-2399058	-2399058	-2180282	-1878807	-1494914	-1234442	-991940
