CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	4304211	5622224	6173239	6177580	5407196	4915308	4347832	4815269	5002461	3878506	3781034	3760975	3509330	3514812	2578706	2610168	4408713	2429531	1420651
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	588664	912495	869650	919650	1152391	1085364	542460	948378	1068737	874118	403295	605772	638076	638076	574013	584413	1457507	788691	300260
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	403593	465802	494643	444643	573870	598530	15942	4140	4140	260209	151050	83859	0	212050	280550	500	300	50000	362000
Các khoản phải thu ngắn hạn###Short term Account Receivables	851235	1065031	1178069	1178443	1189117	985435	1291941	1206757	1273590	887951	1221640	1055328	1016354	808126	597874	826254	864711	308275	113483
Hàng tồn kho###Inventory	2313698	3011698	3383542	3383542	2324968	2144719	2385189	2506219	2506219	1771162	1901019	1894544	1723478	1723478	1066808	1137428	1948265	1206102	599323
Tài sản ngắn hạn khác###Other Current Assets	147020	167198	247335	251302	166849	101260	112300	149775	149775	85067	104030	121471	131422	133082	59461	61574	137930	76463	45585
Tài sản dài hạn###Non-current Assets	421867	423704	420534	415778	395162	374430	357314	352400	352400	352900	357118	358175	361898	360239	344882	331407	301687	193706	150723
Các khoản phải thu dài hạn###Long term Account Receivable	114462	112560	105270	105270	99556	93617	88293	84028	84028	83147	80783	77851	75677	75677	73602	72082	66086	51563	0
Tài sản cố định ###Fixed assets	50016	49976	48571	48571	48455	47968	47313	45592	45592	45649	45886	46070	46331	46331	46120	1341	1697	3541	5144
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-5000	-4772	-4576	-4576	-4440	-4348	-4278	-4190	-4190	-4172	-4061	-3958	-3835	-3835	-3728	-3644	-3337	-3087	-1721
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-4688	-4569	-4459	-4459	-4357	-4264	-4172	-4044	-4044	-4038	-3912	-3777	-3639	-3639	-3500	-3362	-3052	-2270	-1267
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44608	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	257388	261168	266693	261937	247151	232846	221708	222781	222781	224104	230450	234255	239891	238231	225161	213377	233904	138602	145579
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	4726078	6045928	6593773	6593358	5802358	5289739	4705146	5167669	5354861	4231406	4138152	4119150	3871228	3875050	2923589	2941576	4710400	2623237	1571374
Nợ phải trả ###Liabilities	3430849	4730944	5314410	5311150	4475588	4034791	3482405	4008902	4196094	3207539	3195167	3258813	3074774	3078596	2233094	2313423	4195169	2311318	1509985
Nợ ngắn hạn###Short term Liabilities	3420660	4708403	5308130	5308438	4475588	4034791	3482405	4008902	4196094	3207539	3195167	3258813	3074774	3078596	2233094	2313423	4195169	2311318	1509985
Nợ dài hạn###Long term Liabilities	10189	22542	6279	2712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1295229	1314984	1279363	1282209	1326770	1254948	1222741	1158767	1158767	1023868	942985	860337	796454	796454	690495	628153	515230	311919	61389
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1295229	1314984	1279363	1282209	1326770	1254948	1222741	1158767	1158767	1023868	942985	860337	796454	796454	690495	628153	515230	311919	61389
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	3246783	4141484	16988957	4281594	4509671	4078675	4119017	15889646	4421775	3725610	3786391	4033673	13795036	4145823	3004073	3160936	11722218	8654050	5495841
Các khoản giảm trừ doanh thu###Deduction revenues	42570	48517	354997	74717	85418	93499	101362	591311	155971	172944	222545	149366	648521	196901	128146	139186	869062	703658	213265
Doanh thu thuần###Net Sales	3204212	4092967	16633960	4206877	4424253	3985176	4017654	15298335	4265804	3552667	3563846	3884307	13146515	3948923	2875927	3021749	10853155	7950392	5282576
Giá vốn hàng bán###Cost of goods sold	2741203	3529436	14522903	3695764	3869543	3441224	3538305	13254725	3703003	3057907	3066210	3395909	11330255	3381088	2430715	2631453	9442776	6819456	4535711
Lợi nhuận gộp###Gross profit	463009	563532	2111057	511113	554709	543952	479349	2043609	562801	494760	497636	488398	1816260	567835	445212	390296	1410379	1130936	746865
Doanh thu hoạt động tài chính###Financial activities Revenues	15769	23424	78050	31741	24832	14614	9554	42866	16569	8445	7813	10039	54297	11952	11057	11323	74622	52063	21898
Chi phí tài chính###Financial Expenses	41862	51679	147965	43648	39286	32918	34804	100573	29386	18959	26427	25801	82023	12024	16619	24314	75068	101550	34772
Chi phí bán hàng###Selling Expenses	362894	390743	1419310	405464	353822	335822	313298	1296275	298632	309632	337232	306803	1154045	342143	304709	233294	936941	694843	488133
Chi phí quản lý doanh nghiệp###Managing Expenses	96710	101990	349010	114416	102357	77080	66061	286840	108982	82470	46542	92807	300251	88787	63827	70403	243426	224621	217793
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-22688	42544	272823	-20674	84077	112746	74740	402788	142370	92144	95248	73026	334239	136834	71114	73609	229567	161985	28065
Thu nhập khác###Other incomes	2381	4847	5334	6871	7012	7748	5635	34151	10088	8986	8204	6872	29488	7319	7186	6970	30314	22397	16823
Chi phí khác###Other Expenses	359	393	154	52	38	50	15	2164	1950	26	143	45	653	122	373	61	499	4515	3886
Lợi nhuận khác###Other profits	2022	4454	5180	6820	6975	7699	5621	31987	8138	8960	8062	6827	28835	7197	6813	6909	29815	17883	12937
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-20666	46998	278003	-13855	91052	120445	80361	434775	150509	101104	103310	79853	363074	144031	77927	80518	259383	179867	41002
Chi phí thuế TNDN###Corporate Income Tax Expenses	-911	11378	74155	12379	19229	26357	16387	87028	30175	20221	20662	15971	73196	29367	15585	16104	51877	34132	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-4821	11378	67876	9667	19229	26357	16387	87028	30175	20221	20662	15971	73196	29367	15585	16104	51877	34132	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	3910	0	6279	2712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-21816	34355	194679	-32195	70548	91251	63580	347731	120318	80883	82648	63883	289878	114663	62342	64414	207506	145735	41002
---Cac Chi So Tai Chinh---																			
EBITDA	1.62	0.97	0.74	0.74	0.56	0.62	0.13	0.12	0.12	-0.13	-0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	21.10	10.69	20.19	20.19	43.44	53.37	40.68	58.85	58.85	62.29	66.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
