CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	81878	96019	95370	95370	97915	90267	113601	116966	116966	107442	136788	135347	140186	140186	147664	158492	181894	193592	193592	190491	167848	188693	181812	181812	153221	138476	147829	136498	136498	132642	139931	149762	149762	142188	147131	159364	159364	94251	182088	94251	106205	97452	110909	109523	108668	110035	119817	128096	122604	115886	106307	117213	133550	134617	136696	139680	1131692	128382	76032
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	17508	13115	22953	22953	27066	14965	27400	10834	10834	8123	7277	8501	18834	18834	27134	45931	15098	29312	29312	29674	23982	54239	23177	23177	27559	19518	35731	21775	21775	18841	20269	25107	25107	18699	25512	59406	59406	27620	63351	27620	22136	27233	15981	16013	4893	4653	19078	13540	10539	14933	12343	3303	3776	3774	14607	11079	2850	3339	7633
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	25687	32257	32168	32168	26094	36524	21711	21751	21751	28155	28043	30355	34100	34100	40496	48347	32014	28057	28057	32077	34978	34422	29404	29404	23702	28630	50875	57671	57671	59311	56359	53608	53608	53608	56218	41232	37241	5278	11064	5278	4521	2940	11964	11964	8924	2579	0	8580	8580	13800	14000	16728	6585	6585	10394	36	231	446	2000
Các khoản phải thu ngắn hạn###Short term Account Receivables	16944	32686	19818	19818	26021	19139	45148	61145	61145	43483	50255	67319	57728	57728	54932	40074	106310	65458	65458	49827	48120	73074	106038	106038	77343	51319	41034	25091	25091	31075	38922	48739	48739	42844	56200	32533	32533	35882	79206	35882	57249	41810	63249	62249	62916	71573	60685	78495	77730	48030	49825	63361	89417	91885	52521	67993	77684	91230	49998
Hàng tồn kho###Inventory	16237	13655	14486	14486	13949	14140	15271	17504	17504	22090	43826	24688	23402	23402	21379	20644	25230	64453	64453	72406	54307	22194	18344	18344	21370	33715	14038	25425	25425	17825	17704	15984	15984	18085	18655	23917	23917	19427	20675	19427	17049	18293	12520	12236	26660	25510	32238	21335	20008	32982	22283	27331	27405	26349	53233	53739	43444	24321	13557
Tài sản ngắn hạn khác###Other Current Assets	5503	4305	5945	5945	4785	5499	4071	5732	5732	5591	7386	4484	6122	6122	3722	3496	3241	6312	6312	6506	6461	4764	4849	4849	3247	5294	6151	6537	6537	5591	6677	6325	6325	6342	5532	6266	6266	6044	7793	6044	5250	7177	7195	7059	5275	5719	7817	6147	5748	6141	7856	6490	6368	6024	5941	6833	7482	9046	2844
Tài sản dài hạn###Non-current Assets	34654	35736	36054	36054	35499	35132	33917	33733	33733	33027	33409	30196	26398	26398	24519	19722	19645	19847	19847	18121	18814	23582	28680	28680	29197	29991	24082	25545	25545	19553	20196	21878	21878	26963	29603	32090	32090	85736	33374	85736	86495	85897	85261	84905	73281	73792	74388	70755	68920	69692	69819	69064	68678	65082	66040	63662	60812	62180	14701
Các khoản phải thu dài hạn###Long term Account Receivable	5862	5867	5832	5832	5856	5856	5783	5737	5737	5560	5397	5193	4876	4876	3655	3292	3264	3199	3199	3200	4372	10031	14901	14901	15085	15062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	8159	8259	8359	8359	8468	8383	8519	8642	8642	8791	8940	9088	9239	9239	9394	9551	9708	9865	9865	10022	10178	10335	10492	10492	10650	10809	10970	11102	11102	11262	11393	11557	11557	11762	11991	1719	1719	750	730	945	1061	2553	1172	13587	2497	2525	2581	1419	2462	1887	1584	1889	1998	1998	1722	2191	1886	1981	798
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-2257	-2250	-2244	-2244	-2230	-2219	-2177	-2114	-2114	-2059	-2004	-1950	-1893	-1893	-1832	-1769	-1706	-1643	-1643	-1613	-1550	-1487	-1424	-1424	-1360	-1295	-1228	-1159	-1159	-1092	-1024	-954	-954	-1873	-1740	-1607	-1607	-3467	-3212	-3467	-3291	-3361	-3121	-3121	-3366	-3366	-3234	-3183	-3076	-3047	-2942	-2810	-2648	0	-2685	-2804	0	-2343	-1602
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3398	-3304	-3210	-3210	-3116	-3022	-2928	-2834	-2834	-2740	-2646	-2552	-2458	-2458	-2364	-2270	-2176	-2082	-2082	-1988	-1895	-1801	-1707	-1707	-1613	-1519	-1425	-1331	-1331	-1237	-1143	-1049	-1049	-955	-859	-99	-99	-80	-90	-80	-71	-62	-44	-138	-35	-26	-16	-7	-7	-1	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	253	337	422	422	506	591	675	759	759	844	928	1012	1097	1097	1181	1266	1350	1434	1434	1519	1603	1687	1772	1772	1856	1940	2025	0	2109	2194	2278	2362	0	2447	2531	2615	2700	2790	0	2615	2790	2874	3122	3037	3122	3290	0	0	0	0	0	0	0	0	0	0	0	0	0
