CAN DOI KE TOAN	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tài sản ngắn hạn###Current Assets	11624	11624	11523	12015	12487	12847	12847	12986	50974	50333	50591	50591	51459	51811	50055	49957	49956	219690	223729	176432	232982	550184	541803	544221	546955	538389	675961	572735	561251	596640	560036	562449	551445	533434	531081	505121	466030	397864	371374	323580	286242	286242	271145	242924	204082	223109	223865	372954	139896	57111	75697	105047
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	56	56	54	100	70	127	127	105	120	93	90	90	298	113	160	106	106	115	239	152	623	623	235	558	428	300	300	805	973	3444	334	335	473	1712	1405	3070	3070	1439	1577	1225	1221	1221	640	1122	1088	2986	11300	648	1000	709	15527	3827
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400000	400000	400000	400000	400000	400000	400000	400000	400000	400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	8788	8788	8696	9183	9718	10002	10002	9946	47759	47294	47570	47570	48242	48226	46986	46833	46778	216069	215733	171085	225898	543099	533923	535754	135583	129979	267686	162361	149751	182118	148286	148811	128359	120516	506925	490987	451896	374065	350173	305727	270933	270933	255801	225073	183659	196003	188445	346670	111540	24588	23887	56826
Hàng tồn kho###Inventory	2539	2539	2391	2516	2618	2563	2563	2604	2615	2515	2548	2548	2611	3117	2711	2782	2778	3183	3192	3408	3507	3507	3829	3727	4080	4004	4968	4888	5254	4973	5439	7526	4249	4767	5377	5353	5353	5428	5643	5872	6371	6371	5968	7252	7743	7689	7689	7128	7526	13022	12485	6784
Tài sản ngắn hạn khác###Other Current Assets	241	241	383	216	81	155	155	331	479	431	384	384	308	355	199	237	295	323	4565	1786	2955	2955	3815	4182	6863	4106	3007	4681	5273	6104	5977	5776	18364	6439	17374	5711	5711	16932	13981	10756	7717	7717	8738	9477	11591	16430	16430	18509	19830	18792	23799	37609
Tài sản dài hạn###Non-current Assets	701774	701774	711056	719950	728843	737827	734321	742848	755134	763931	772220	772249	780939	790034	798995	808060	808060	817015	826051	835024	889451	889451	922010	934959	961149	963853	963853	1003959	1009920	1005408	1015582	1005421	1019363	1027866	1048144	1051793	1081152	1073885	1081996	1104604	1114932	1114932	1129280	1144576	1150140	1151750	1151970	1117243	1127718	1135313	973899	656212
Các khoản phải thu dài hạn###Long term Account Receivable	271	271	271	271	271	271	271	271	271	271	271	271	371	371	371	371	371	371	371	461	461	461	471	479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	687997	687997	693714	699421	705132	710870	707364	711364	720582	726323	732064	732064	737935	743823	749748	755546	755546	761375	767031	772904	824434	824434	853740	863041	874187	889707	883682	894007	902746	903748	912649	914725	921128	928194	944807	945929	948998	959047	964915	978450	979122	987162	995287	1003444	1000737	970133	977583	969538	964965	966643	939194	645343
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-253416	-253416	-247699	-241992	-236282	-230543	-229704	-224016	-219143	-213402	-207773	-207773	-201902	-196014	-190090	-184168	-184168	-178553	-172680	-166771	-220960	-220960	-225100	-215913	-207600	-198034	-198034	-189074	-179298	-169669	-163658	-161581	-152805	-143814	-117078	-109399	-109399	-102551	-95820	-88638	-81786	-81786	-76422	-69190	-65329	-56858	-56858	-47015	-41851	-36388	-30782	-17420
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-26455	-24723	-24723	-24262	-22064	-23480	-21093	-21093	-21806	-19241	-18661	-20789	-20789	-23434	-25140	-23076	-21012	-13540
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	6820	6820	9990	13177	16360	19605	19605	22852	26113	29237	32484	32484	35775	39010	42047	45313	45313	48453	51615	54997	58351	58351	61732	65370	80931	74146	74146	103927	100935	101660	102933	90695	98235	99672	103337	104020	132154	114838	117081	126154	127770	127770	133992	141132	149403	151336	174387	147705	162753	168670	34706	10868
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	713398	713398	722579	731964	741330	750674	747168	755834	806107	814264	822812	822840	832398	841845	849051	858017	858016	1036705	1049780	1011456	1122432	1439634	1463813	1479180	1508104	1502241	1639814	1576695	1571171	1602048	1575617	1567869	1570808	1561300	1579224	1556914	1547182	1471749	1453370	1428184	1401174	1401174	1400425	1387500	1354222	1374859	1375835	1490197	1267614	1192424	1049597	761259
Nợ phải trả ###Liabilities	1702193	1702193	1668206	1636768	1605240	1573600	1542021	1510103	1518673	1489696	1456058	1455438	1419892	1386994	1347760	1331315	1281468	1294615	1283915	1250083	1297116	1294919	1282233	1272201	1243700	1238097	1188503	1125023	1120103	1150303	1124789	1118962	1120596	1111739	1128952	1107634	1097862	1020699	1003021	978994	953011	953011	937447	925034	892168	927817	928782	1152210	949713	902386	936244	677595
Nợ ngắn hạn###Short term Liabilities	1657714	1657714	1628955	1603681	1576907	1539667	1418888	1393760	1372926	1347494	1319763	1255652	1224589	1252190	1162423	1145217	950630	976346	1052822	929169	931139	928942	906919	894881	865246	856933	773392	670093	663544	695432	688235	637916	596133	585092	403014	399017	389542	322127	310043	297535	278426	278426	246562	217175	230843	230182	230927	379791	321597	277971	306551	251448
Nợ dài hạn###Long term Liabilities	44479	44479	39252	33087	28333	33933	123133	116343	145747	142202	136295	199787	195303	134804	185337	186098	330838	318270	231092	320914	365977	365977	375314	377320	378453	381164	415110	454930	456559	454871	436554	481046	524464	526648	725939	708617	708320	698572	692978	681459	674585	674585	690884	707860	661325	697635	697855	772418	628116	624416	629693	426148
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	-988795	-988795	-945628	-904804	-863910	-822926	-794853	-754269	-712566	-675432	-633246	-632598	-587494	-545149	-498709	-473298	-423452	-257910	-234135	-238627	-174683	144715	181580	206979	264404	264144	451311	451672	451067	451744	450828	448907	450212	449560	450272	449279	449320	451050	450350	449190	448163	448163	462978	462466	462054	447042	447053	337987	317900	290037	103340	83663
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	-988795	-988795	-945628	-904804	-863910	-822926	-794853	-754269	-712566	-675432	-633246	-632598	-587494	-545149	-498709	-473298	-423452	-257910	-234135	-238627	-174683	144715	181580	206979	264404	264144	451311	451672	451067	451744	450828	448907	450212	449560	450272	449279	449320	451050	450350	449190	448163	448163	462978	462466	462054	447042	447053	337987	317900	290037	103340	83663
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10012	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1571171	1602048	1575617	1567869	1570808	1561300	1579224	1556914	1547182	1471749	1453370	1428184	1401174	1401174	1400425	1387500	1354222	1374859	1375835	1490197	1267614	1192424	1049597	761259



KET QUA KINH DOANH	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	24463	4780	7422	8114	4147	30015	4085	10308	10756	4866	47871	6218	12715	16490	12456	96193	11133	22832	20882	41346	203418	40151	51680	53966	57639	221593	32418	71439	49285	68451	285342	39050	85705	66585	88353	526585	154546	103349	117039	112561	517978	110118	140235	148412	119212	419217	137878	315660	101968	64776	202248	215403
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	6	0	0	1	5	171	54	43	6	85	315	78	76	110	50	742	535	46	129	32	594	61	79	264	190	736	145	175	170	245	820	43	206	178	260	368	283
Doanh thu thuần###Net Sales	24463	4780	7422	8114	4147	30015	4085	10308	10756	4866	47871	6216	12709	16490	12456	96187	11133	22832	20881	41341	203247	40098	51636	53959	57554	221278	32340	71363	49175	68400	284600	38515	85660	66456	88321	525991	154485	103270	116775	112371	517243	109974	140060	148242	118967	418397	137835	315454	101790	64515	201880	215119
Giá vốn hàng bán###Cost of goods sold	16457	3948	4201	4672	3635	19739	2918	5962	6744	4115	30384	4521	9788	9157	8691	72547	9061	13420	14874	35193	168223	37054	41424	52771	36974	203734	55736	47725	60217	40173	260489	47771	57288	84782	59100	295946	85846	68514	68104	73482	276017	63893	75415	74461	62247	197258	61322	242477	56034	41349	161365	174233
Lợi nhuận gộp###Gross profit	8006	833	3221	3441	512	10276	1166	4346	4012	751	17487	1695	2921	7333	3765	23640	2072	9412	6007	6149	35024	3044	10213	1188	20580	17545	-23396	23638	-11042	28228	24112	-9256	28372	-18326	29221	230045	68638	34756	48671	38889	241226	46081	64645	73780	56720	221139	76513	72976	45756	23166	40515	40886
Doanh thu hoạt động tài chính###Financial activities Revenues	200	0	0	0	200	428	-75	2	501	0	603	0	0	0	602	478	452	2	3	21	4	0	1	1	1	8	1	2	2	3	57613	28801	4	28804	3	20	5	3	7	5	28	8	7	4	9	9121	7	160	783	8171	139	295
Chi phí tài chính###Financial Expenses	105051	26479	26479	26191	25903	105584	26512	30477	22519	26076	105819	26664	26658	35260	17236	119751	17716	17901	21500	14603	78254	19217	19168	27398	11465	91767	72045	10447	-3542	12847	100479	33968	13260	38194	15043	139506	45083	18085	24095	22884	154372	39587	43153	47564	24069	107988	45011	25693	17690	19594	36671	45339
Chi phí bán hàng###Selling Expenses	22976	5364	6265	6142	5206	23442	5294	5870	5586	6692	22116	5195	6621	5955	4344	19588	4228	4833	4912	5615	27117	6383	6939	9407	4387	28481	7178	6889	7326	7008	25212	14495	6206	12893	5549	43917	16299	7194	14168	6256	42104	10647	10626	14318	6513	44242	13266	11248	12190	8063	43695	33611
Chi phí quản lý doanh nghiệp###Managing Expenses	40431	9707	10261	9724	10739	63933	10140	9953	11373	9522	43566	12525	10690	10276	8274	171392	145316	8007	8982	9087	358433	9904	10148	15942	4606	56187	13065	6171	5123	7261	38383	16955	8559	11456	7603	38809	11683	8999	8602	9525	46279	10686	10425	12256	12912	46352	18134	9867	11374	3473	17014	11809
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-160252	-40716	-39784	-38616	-41136	-182255	-40855	-41952	-34965	-41539	-153411	-42689	-41048	-44158	-25487	-286614	-164736	-21327	-29384	-23136	-428774	-32460	-26041	-51558	122	-158882	-115683	134	-19946	1114	-82349	-45872	351	-52064	1029	7833	-4422	481	1813	228	-1501	-14831	448	-354	13236	31678	109	26328	5285	207	-56727	-49579
Thu nhập khác###Other incomes	400	33	133	77	156	615	272	5067	241	56	426	174	62	113	76	3487	590	307	233	2357	2261	19947	906	702	518	5064	116295	962	19403	1911	86747	45951	672	53917	746	10687	4080	909	4409	1288	20699	1925	2386	5673	10715	46149	2599	6251	35653	1589	116510	120231
Chi phí khác###Other Expenses	6016	2485	1173	2356	3	8040	0	4818	2411	703	6963	2589	1359	2395	0	14183	1397	2754	-33643	43166	12314	24351	265	6643	308	32810	1074	321	147	1804	3394	6	154	2682	448	7069	1848	457	4676	87	16832	5977	2151	4769	3935	12260	631	5797	3787	1486	32163	70048
Lợi nhuận khác###Other profits	-5617	-2452	-1040	-2278	153	-7425	272	248	-2169	-647	-6537	-2415	-1297	-2282	76	-10696	-806	-2448	33876	-40808	-10053	-4405	641	-5940	211	-27746	115221	641	19256	107	83353	45945	518	51235	298	3618	2232	452	-267	1200	3866	-4052	235	904	6780	33890	1968	454	31866	103	84347	50183
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-165869	-43168	-40824	-40894	-40983	-189680	-40584	-41704	-37134	-42186	-159948	-45104	-42345	-46440	-25412	-297310	-165542	-23775	4492	-63944	-438828	-36865	-25400	-57498	333	-186628	-463	775	-690	1221	1004	73	869	-829	1327	11451	-2189	934	1546	1429	2365	-18883	683	549	20015	65568	2077	26783	37151	310	27620	604
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1305	0	0	0	0	0	0	0	-73	73	0	0	170	-172	305	301	18	217	0	0	10290	0	0	0	357	1244	0	171	137	5004	16577	519	6696	9288	77	7260	120
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1305	0	0	0	0	0	0	0	-73	73	0	0	170	-172	305	301	18	217	-210	334	10290	0	233	386	357	1244	0	171	137	5004	16577	519	6696	9288	77	7260	144
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-24
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-165869	-43168	-40824	-40894	-40983	-189680	-40584	-41704	-37134	-42186	-159948	-45104	-42345	-46440	-25412	-298614	-165542	-23775	4492	-63944	-438828	-36865	-25400	-57425	260	-186628	-463	604	-517	916	703	55	652	-619	993	1161	-2189	700	1159	1072	1121	-18883	512	412	15012	48991	1558	20087	27863	232	20360	485
---Cac Chi So Tai Chinh---																																																				
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.20	0.20	0.30	0.30	0.40	0.30	0.30	0.30	0.40	0.40	0.40	0.40	0.60	0.50	0.40	0.30	0.30	0.50	0.60	1.10	1.10	1.10	1.30	2.20	3.00	4.00	4.00	4.80	5.40	7.70	12.00	12.00	12.00	10.60	11.50	7.60	7.60	5.50	6.60	6.90	5.20	5.20	6.60	6.10	6.60	9.60	9.60	9.99	13.90	0.00	0.00	0.00
