CAN DOI KE TOAN	 2019	 2018	Q2 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	510717	307548	372767	397041	397041	427164	452807	428036	462344	462265	509517	556508	506712	526397	526397	483298	447248	359613	352722	397463
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	69444	31016	25058	19854	19854	13256	15635	10576	17914	17914	6978	21824	3921	13108	13108	9765	8375	14246	2798	4581
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	250584	153106	186704	163959	163959	176049	195114	211685	198620	198541	170964	190075	204639	186001	186001	186715	193333	122469	129037	140129
Hàng tồn kho###Inventory	189512	117497	160969	210893	210893	237859	242058	205774	245810	245810	331575	342743	298151	327012	327012	286817	244203	221310	219917	252539
Tài sản ngắn hạn khác###Other Current Assets	1177	5929	36	2335	2335	0	0	0	0	0	0	1866	0	276	276	0	1338	1588	970	214
Tài sản dài hạn###Non-current Assets	99563	144650	119872	135644	135644	144718	154928	164508	176248	176248	187355	188204	201932	216982	216982	223748	261712	286228	330602	350137
Các khoản phải thu dài hạn###Long term Account Receivable	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0
Tài sản cố định ###Fixed assets	98018	105234	107447	117706	117706	126599	135673	142996	151817	151817	147567	157999	171095	183946	183946	191393	218311	237209	272159	312803
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-659174	-604218	-578567	-554577	-554577	-542607	-540696	-528947	-526093	-526093	-516674	-506245	-493343	-480250	-480250	-467309	-423840	-377546	-338237	-293593
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5791	0	-2405	-1046
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-78	-78	-78	-78	-78	-78	-78	-72	-65	-65	-54	-52	-46	-39	-39	-33	-13	-4098	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	740	10072	10428	17179	17179	17481	18617	21512	24432	24432	24834	28390	30789	32953	32953	32356	42951	48983	57072	37334
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	610280	452198	492639	532685	532685	571882	607735	592544	638593	638513	696872	744712	708644	743379	743379	707046	708960	645841	683324	747600
Nợ phải trả ###Liabilities	443980	333063	400040	434783	434783	482904	519818	499231	547847	547768	609411	659916	615917	653299	653299	619133	619996	558602	607105	691236
Nợ ngắn hạn###Short term Liabilities	432538	317980	356082	403529	403529	419299	456214	435627	484242	484163	507378	559149	516663	550245	550245	477723	480574	383968	387914	444791
Nợ dài hạn###Long term Liabilities	11441	15083	43958	31254	31254	63605	63605	63605	63605	63605	102033	100767	99254	103054	103054	141410	139422	174635	219191	246445
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	166300	119136	92599	97902	97902	88978	87917	93312	90746	90746	87461	84796	92727	90081	90081	87913	88964	87239	76219	56363
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
