CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	174662	147392	146454	147106	127502	106870	126211	111635	112840	212595	235270	131898	185146	193402	411159	440642	415998	448642	450409	376173	432331	377464	383602	383680	527085	221668	175102	167550	167550	361376	140766	116586	72286	72286	66406	60802	88531	63482	71944	60143	40167	29205	3422
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	12475	46620	19820	19981	66951	5299	31662	23943	25030	12686	19049	37542	24650	24650	89946	133252	46772	86229	86262	41806	5570	11688	43903	43902	11941	5463	8469	11699	11699	103761	3153	7787	5677	5677	6540	143	6422	4693	28956	13489	879	516	1282
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	19	19	2678	2678	12	0	0	0	0	0	0	0	0	0	131050	0	1050	0	0	0	35000	41101	6101	6101	8101	15500	15500	15500	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	153515	91423	116874	117364	49210	89396	61327	74746	74772	189109	132299	75331	139674	147927	300809	295674	360305	354540	354463	333116	424748	363052	336923	337002	383345	114876	165176	150894	150894	237087	100924	67115	60123	60123	51153	44601	65411	40847	40546	42400	32471	27353	2074
Hàng tồn kho###Inventory	0	0	0	0	0	0	0	0	0	0	71960	6267	6150	6150	8327	0	4	0	0	0	0	0	0	0	0	100382	0	8	8	0	0	104	45	45	7	7	0	32	32	32	1340	339	4
Tài sản ngắn hạn khác###Other Current Assets	8672	9349	9761	9761	11341	12174	33221	12945	13038	10801	11944	12740	11993	11996	12064	11716	8917	7874	9684	1252	2013	2724	2776	2776	749	947	406	4949	4949	20528	1689	479	339	339	605	551	1197	2409	2410	4221	5478	997	61
Tài sản dài hạn###Non-current Assets	960215	985833	990312	993501	1047310	1069973	1054224	1068491	1065903	1028620	1067224	1185810	1174107	1171128	852656	748888	811395	758603	760799	711416	711706	701158	682656	681694	551852	446818	473409	474294	474193	328655	329132	339240	348257	348257	351959	400989	360150	386427	377581	383801	161143	114223	69524
Các khoản phải thu dài hạn###Long term Account Receivable	36630	36630	36630	36630	0	20000	0	20000	0	0	3	3	3	3	14	0	0	0	0	0	0	0	0	0	18000	18000	18000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	133143	134340	135538	135538	137134	228369	229596	230822	230822	232049	234804	300865	302235	302311	262088	261080	239117	237065	237065	283874	284013	304152	304200	280509	289420	289429	289438	369753	309538	213441	235708	239352	299077	299077	287459	324070	310410	255039	311221	317434	85948	74364	69524
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-2782	-2612	-2441	-2441	-3027	-2827	-2627	-2427	-2427	-2228	-8926	-8592	-8248	-8248	-7897	-1186	-977	-792	-792	-653	-514	-375	-238	-238	-148	-139	-130	-121	-121	-112	-3444	-3196	-2949	-2949	-2718	-2468	-2216	-1964	-1964	-1762	-1015	-48	0
